"","Combined"
"1","NCT02046382_Randomized Control Trial of IV Acetaminophen for Post Cesarean Delivery Pain Relief_This study is being done to evaluate the scheduled use of intravenous (IV) acetaminophen among cesarean section patients. The study hopes to find out if patients who receive scheduled IV acetaminophen for 48 hours following delivery have lower self-reported pain scores and use less narcotic pain medication than patients who do not receive IV acetaminophen._Female_18 Years_N/A_Conditions:  cesarean section~pain, postoperative_Inclusion Criteria:~Age greater than or equal to 18 years~Scheduled cesarean section delivery~Patient of TriHealth's Faculty Medical Center or Tri-State Maternal Fetal Medicine Associates~Singleton pregnancy~Term delivery (greater than or equal to 37 weeks)~Spinal/epidural anesthesia with epidural analgesia (duramorph)~Use of pfannenstiel incision~Exclusion Criteria:~Weight less than 50 kg~Allergy to study drugs (acetaminophen, oxycodone, duramorph, NSAIDS)~Multiple gestation pregnancy~Cesarean section for pre-term delivery (less than 37 weeks)~Fetal anomalies~Inability to use epidural duramorph at time of procedure~General anesthesia used~Vertical skin incision~Opioid addiction~Liver dysfunction (hepatitis, HELLP (hemolysis, elevated liver enzymes, and low platelet count), preeclampsia)"
"2","NCT00186069_Randomized, Double Blind Trial of Magnesium Sulfate Tocolysis Versus Intravenous Saline for Suspected Placental Abruption_To evaluate the safety and efficacy of magnesium sulfate for preterm suspected abruption._Female_18 Years_N/A_Conditions:  abruptio placentae_Inclusion Criteria:~- vaginal bleeding and contractions consistent with suspected placental abruption between 24 and 34 weeks gestation.~Exclusion Criteria:~- preterm labor, severe bleeding necessitating immediate delivery, maternal coagulopathy, fetal distress"
"3","NCT01741259_A Comparison of Meperidine for Post-Cesarean Analgesia: Bolus Versus Infusion and Bolus_The purpose of this study is to determine if epidural meperidine administered by patient-controlled bolus button is equivalent to a low dose infusion plus patient-controlled bolus._Female_18 Years_50 Years_Conditions:  cesarean section_Inclusion Criteria are as follows:~Over the age of 18~Undergoing non-urgent, non-emergent cesarean section at Mercy Hospital St. Louis~Exclusion Criteria:~non-English speaking~mentally disabled~allergy to meperidine~seizure disorder~renal impairment defined as a serum creatinine >0.8 mg/dL or patients who give a history of renal impairment~fever greater than 101~patients receiving low molecular weight heparin at any dose or unfractionated heparin at doses greater than 5000 u subcutaneous twice daily~pre-eclampsia requiring magnesium due to post-partum room assignment~obstructive sleep apnea due to post-partum room assignment~post-partum hemorrhage due to post-partum room assignment"
"4","NCT01662921_Non-inferiority Trial Comparing Insulin Glulisine to Insulin Lispro as Part of a Basal-bolus Insulin Regimen for the Treatment of Gestational Diabetes._We hypothesize that insulin glulisine is non-inferior to currently proven rapid-acting insulin lispro when used in a basal/bolus regimen to treat hyperglycemia in patients with gestational diabetes mellitus._Female_18 Years_N/A_Conditions:  diabetes during pregnancy_Inclusion Criteria:~Informed Consent to participate in clinical trial~Pregnant and 20-30 weeks gestation~Diagnosed with gestational diabetes~Failed diet therapy (failed lifestyle modification will be defined as 10% or greater SMBG values above pre-meal <90mg/dL and post prandial < 120mg/dL~Eat at least 2 meals per day~Exclusion Criteria:~Pregnant women <18 years old~Blood pressure > 140/80 mmHg~A1C equal to or greater than 6.5% at time of enrollment~Pre-pregnancy BMI > 40Kg/m squared~Evidence of any fetal anomaly on any fetal ultrasound~Currently using hypoglycemic agent~Refusal to use insulin before meals~Inability to understand instructions or to consent to participate~Pregnant women with history of T1DM or T2DM~Clinical judgment by investigator that patient is inappropriate for clinical trial or has a metabolic disorder that could interfere with results"
"5","NCT01668069_Is Zofran Superior to Pyridoxine at Reducing Nausea and Vomiting in Pregnancy_Our purpose is to determine whether ondansetron, a commonly used antiemetic, is equivalent in efficacy to the combination of pyridoxine and doxylamine, the currently recommended first line therapy for nausea and vomiting in pregnancy by the American Congress of Obstetricians and Gynecologists (ACOG). Since both treatments are safe in pregnancy, many physicians are using ondansetron as first line in practice. Despite this practice and the recommendations from ACOG, there is not data to suggest that ether practice is superior. This will be the first prospective, randomized, double blind, controlled trial comparing the two treatments. We hypothesize that ondansetron will be equally efficacious in reducing nausea and episodes of emesis. By alleviating nausea and vomiting associated with pregnancy, patients will likely benefit from less Emergency Department visits, urgent clinic visits, and admissions for progression to hyperemesis gravidarum._Female_18 Years_90 Years_Conditions:  vomiting of pregnancy_Inclusion Criteria:~Women who are less than 16 weeks pregnant by last menstrual period or ultrasound~Greater than 18 years of age~English speaking~No significant visual or hearing impairment~Requesting treatment for nausea associated with pregnancy~Exclusion Criteria:~If nausea or vomiting preexisted the pregnancy~Requires hospitalization at the time of initial enrollment~Already taking anti-emetics to include metoclopramide, ondansetron, doxylamine, pyridoxine, or promethazine~The patient has an allergy to either study regimen~If they are unable to return for a follow up visit in 1 week"
"6","NCT01669941_Intermittent Screening and Treatment (IST) or Intermittent Preventive Treatment (IPT) With Dihydroartemisinin-Piperaquine, Versus IPT With Sulfadoxine-Pyrimethamine for the Control of Malaria in Pregnancy in Kenya: a Randomized Controlled Trial_Malaria in pregnancy (MiP) due to Plasmodium falciparum infection is a major cause of maternal morbidity and poor birth outcomes. Intermittent preventive treatment in pregnancy (IPTp) with Sulfadoxine pyrimethamine (SP), the administration of SP at predefined intervals in the second and third trimesters of pregnancy irrespective of the presence of malaria parasitemia, is currently recommended for HIV-negative women in all areas with stable moderate to high transmission of malaria. Due to increasing resistance to SP, it is no longer used as a treatment for symptomatic malaria, and the efficacy of IPTp-SP seems to be decreased. This study aims to look at a new drug, Dihydroartemisinin-Piperaquine (DP) for IPTp, as well as to explore the strategy of intermittent screening and treatment in pregnancy (ISTp) with DP. This strategy uses increased screening at time of focused antenatal care (FANC) with treatment of women who screen positive.~The hypothesis is that the efficacy of both IPTp-DP and ISTp-DP will be associated with a reduction in malaria infection at delivery among HIV(-) women when compared to IPTp-SP, in an area with decreasing malaria transmission and high levels of SP resistance in Kenya._Female_N/A_N/A_Conditions:  pregnancy~malaria_Inclusion Criteria:~Viable pregnancy assessed by Doppler~Gestational age 16 to 32 weeks (inclusive) by fundal height~No history of IPTp use during this pregnancy~Willing to participate and complete the study schedule~Willing to sign or thumb print informed consent~Resident of study area and intending to stay in the area for the duration of the follow-up~Willing to deliver in the labor ward of the study clinic or hospital~HIV negative at enrolment~Exclusion Criteria:~HIV positive or unknown~Residence outside study area or planning to move out in the 12 months following enrolment~High risk pregnancy, including any pre-existing illness likely to cause complication of pregnancy (hypertension, diabetes, asthma, epilepsy, renal disease, liver disease, fistula repair, leg or spine deformity)~Severe anemia requiring blood transfusion (Hb ≤ 7.0 g/dL) at enrolment~Known allergy or previous adverse reaction to any of the study drugs~Unable to give informed consent (for example due to mental disability)~Previous inclusion in the same study~Gestational age >32 weeks~Previous IPTp during the current pregnancy~Participating in other malaria intervention studies~Known or suspected cardiac disease~Patients taking drugs in any of the following classes: antiarrhythmic agents, neuroleptics, macrolides, and certain antimalarial drugs such as mefloquine, chloroquine, halofantrine and lumefantrine."
"7","NCT05772156_Prophylactic Methylergonovine in Patients Undergoing Cesarean Delivery With Twin Gestations: A Randomized Controlled Trial_Obstetrical hemorrhage (excessive bleeding related to pregnancy) is a leading cause of maternal morbidity (disease or symptom of disease) and mortality (death) worldwide with a significantly higher frequency and severity following cesarean delivery. Twin gestations (twin pregnancy) are at particularly higher risk for postpartum hemorrhage, yet the management of obstetrical bleeding following twin delivery remains identical to singleton delivery.~The purpose of this study is to understand the effect of prophylactic methylergonovine on blood loss in scheduled twin pregnancy cesarean deliveries. Participants will be randomized (like tossing a coin) to Methylergonovine (investigational drug) or water with salt (saline) (placebo). Methylergonovine or saline will be given as an injection immediately after delivery._Female_N/A_65 Years_Conditions:  twin; complicating pregnancy~postpartum hemorrhage_Inclusion Criteria:~Twin gestation~Scheduled cesarean delivery (>=34 weeks)~Exclusion criteria:~Patients with known hypertensive disease: history of chronic hypertension, gestational hypertension or preeclampsia with or without severe features~Use of protease inhibitors given known vasoconstrictive side effects with concomitant methylergonovine administration~Hypersensitivity to methylergonovine or any of the ingredients~Participating in another intervention study where the primary outcome includes postpartum bleeding or thromboembolism, or the study intervention directly affects postpartum bleeding or thromboembolism~Receipt of uterotonics, other than oxytocin, or planned or expected use of uterotonic prophylaxis~Non-elective cesarean delivery"
"8","NCT03029702_Metabolic Analysis for Treatment Choice in Gestational Diabetes Mellitus_Gestational diabetes (GDM) is a significant clinical and public health burden, affecting over 400,000 pregnant women in the United States each year. Without adequate treatment, women with GDM and their infants are at risk for substantial morbidity. Because of this, experts recommend treatment focused on normalization of hyperglycemia to improve outcomes. However, providers have limited capacity to predict which treatment will achieve glycemic goals. This results in a choice based on provider and patient preference and a trial and error approach, which can create delays in glycemic control within the short (8-10 weeks) window between diagnosis and delivery. Maternal and fetal morbidity may be related to a mismatch between glycemic pathophysiology and the mechanism of action of glucose-lowering agents. In fact, GDM is heterogeneous, with predominant insulin resistance (IR) in 50%, insulin secretion deficit (ISD) in 30%, and a combination of both in 20% of women as underlying mechanisms of hyperglycemia. This variation in GDM pathophysiology and clinical outcomes supports the use of an individualized treatment approach. The overall goal of this project is to investigate an individualized treatment approach for GDM where treatment is based on each woman's GDM mechanism. The study will employ the same treatment in both arms, but choice of treatment will differ based on study arm (matched or unmatched to GDM mechanism)._Female_18 Years_45 Years_Conditions:  gestational diabetes~diabetes, gestational~pregnancy in diabetes_Inclusion Criteria:~Pregnant women beyond 24 weeks of gestation who are scheduled for a 3-hour oral glucose tolerance test.~Exclusion Criteria:~Fetal anomaly~Pregestational diabetes~GDM diagnosis without a 3-hour OGTT~Multifetal gestation~Treatment with non-inhaled steroids within 7 days~Allergy to glyburide, metformin or sulfa~History of severe pulmonary (pulmonary requirement for oxygen therapy or daily treatment for restrictive of obstructive pulmonary disease)~Hepatic (LFT's greater than two times of upper normal range)~Renal (serum creatinine higher than 1.2 mg/dL) disease~History of heart failure or myocardial infarction"
"9","NCT00993031_Protease Inhibitors to Reduce Malaria Morbidity in HIV-Infected Pregnant Women_This study is an open-label, single site, randomized controlled trial comparing protease inhibitor (PI)-based antiretroviral therapy (ART) to non-PI based ART for HIV-infected pregnant and breastfeeding women of all CD4 cell counts at high risk of malaria. The study is designed to test the hypothesis that pregnant women receiving a PI-based ART regimen will have lower risk of placental malaria compared to pregnant women receiving a non-PI based ART regimen. The primary study endpoint of the study is placental malaria. This study also enrolls the infants of these women at the time of delivery._Female_16 Years_N/A_Conditions:  malaria~hiv infections_Inclusion Criteria:~Age > 16 years (if <18 years old, living independently from parents)~Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Western blot, or rapid HIV antibody test~Confirmed pregnancy by positive serum or urine pregnancy test or ultrasound~Estimated gestational age between 12 and 28 weeks (based on first day of last menstrual period with physical exam confirmation and ultrasound confirmation) at time of enrollment~Residency within 30 km of the study site~Willing to provide informed consent~Exclusion Criteria:~Current or prior use of HAART~Exposure to single-dose NVP (alone or with zidovudine or zidovudine/lamivudine or other abbreviated monotherapy or dual therapy for PMTCT) less than 24 months prior to enrollment~Prior dose-limited toxicity to TS within 14 days of study enrollment~Receipt of any contraindicated medications within 14 days of study enrollment (See Appendix III.)~Active tuberculosis or other WHO Stage 4 diseases~Screening laboratory values:~Hemoglobin: <7.5 g/dL (Note: Women found to have a hemoglobin <7.5 at screening may receive iron and folic acid and/or a blood transfusion at the physician's discretion. If a repeat hemoglobin is ≥7.5 g/dL, the woman may be considered for study inclusion.)~Absolute neutrophil count (ANC): <750/mm3~Platelet count: <50,000/mm3~ALT: >225 U/L (>5.0x ULN)~AST: >225 U/L (>5.0x ULN)~Bilirubin (total): > 2.5x ULN~Creatinine: > 1.8x ULN~Known cardiac conduction abnormalities or structural heart defect~NOTE: A woman will be excluded from study participation during the current pregnancy if she goes into labor, experiences ruptured membranes or develops active tuberculosis or a WHO stage 4 condition following study enrollment but prior to study drug initiation."
"10","NCT02624765_FAST RCT: Prospective Randomized Clinical Trial of Fetal Atrial Flutter & Supraventricular Tachycardia Therapy_The Fetal Atrial Flutter and Supraventricular Tachycardia (FAST) Therapy Trial is a prospective multi-center trial that examines the efficacy and safety of standard prenatal antiarrhythmic treatment. Study components of FAST include three prospective sub-studies to determine the efficacy and safety of commonly used transplacental drug regimens in suppressing fetal AF without hydrops (Randomized Clinical Trial (RCT) A), SVT without hydrops (RCT B), and SVT with hydrops (RCT C). All RCTs are open label phase III trials of standard 1st line therapy, which either is started as monotherapy (no hydrops) or as dual therapy (hydrops)._Female_16 Years_50 Years_Conditions:  fetal atrial flutter without hydrops~fetal supraventricular tachycardia without hydrops~fetal supraventricular tachycardia with hydrops_Inclusion Criteria:~Mother has provided written informed consent to participate~Either fetal AF without hydrops, SVT without hydrops or SVT with hydrops~Tachyarrhythmia that is significant enough to justify immediate transplacental pharmacological treatment:~Tachycardia ≥ 180 bpm during at least 10% of observation time of 30 minutes or longer~Tachycardia ≥ 170 bpm during +100% of time (≤ 30 0/7 weeks of gestation)~Tachycardia ≥ 280 bpm (irrespective of SVA duration)~SVT with fetal hydrops (irrespective of duration)~Gestational age > 12 0/7 weeks and <36 0/7 weeks at time of enrollment~Untreated tachycardia at time of enrollment~Singleton Pregnancy~Healthy mother with ± normal pre-treatment cardiovascular findings:~ECG without significant abnormalities (sinus rhythm; QTc ≤ 0.47; PR ≤ 0.2 sec; QRS: ≤ 0.12 sec; isolated PACs or PVCs or isolated complete right bundle branch block allowed)~Resting heart rate ≥ 50 bpm~Systolic BP ≥ 85 bpm~Exclusion Criteria:~AF with hydrops (eligible for FAST Registry only)~Any maternal-fetal conditions associated with high odds of premature delivery or death other than tachycardia (e.g. severe IUGR; premature rupture of membrane; life-threatening maternal disease (incl. pre-eclampsia; HELLP syndrome); severe congenital fetal abnormalities (T 13 or 18; surgery or death expected < 1 month)~History of significant maternal heart condition (open heart surgery; sick sinus syndrome; channelopathy (long QT, Brugada syndrome); ventricular tachycardia; WPW syndrome; high-degree heart block; cardiomyopathy)~Relevant preexisting maternal obstructive airway disease including asthma~Current therapy with the following medications:~Antiarrhythmic drugs~Pentamidine~Maternal serum potassium level <3.3 mmol/L / <3.3 mEq/L (at start of treatment)~Maternal ionized serum calcium level of <1 mmol/L / <4 mg/dL) or total serum calcium level <2 mmol/L / <8mg/dL (at start of treatment)~Maternal serum creatinine level > 97.2 µmol/L (>1.1 mg/dl)"
