NCT_ID,AnyPregGPT,Preg_Only_GPT,Category,Secondary category,Pain,Summary,Certainty
NCT02046382,1,1,15. C-section/caesarean,None,1,"This study evaluates the use of IV acetaminophen for pain relief following cesarean section delivery. It specifically targets pregnant individuals undergoing scheduled cesarean sections, making it relevant to the category of C-section/caesarean. The focus on pain management justifies the Pain variable being set to 1.",100
NCT00186069,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial evaluates the safety and efficacy of magnesium sulfate for preterm suspected abruption, which is related to pre-term labor and premature birth. The inclusion criteria specify pregnant individuals between 24 and 34 weeks gestation, and the exclusion criteria further confirm the focus on pregnancy-related conditions.",95
NCT01741259,1,0,15. C-section/caesarean,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",1,"The trial focuses on comparing methods of administering meperidine for post-cesarean analgesia, indicating it is related to pain management after a C-section. The inclusion criteria specify participants undergoing non-urgent, non-emergent cesarean sections, which aligns with the primary category of C-section/caesarean. The secondary category of labor management is also relevant due to the context of labor and delivery. Pregnant individuals can enroll, but it is not exclusive to pregnant individuals.",95
NCT01662921,1,1,10. Gestational diabetes,None,0,"The trial focuses on comparing two types of insulin for the treatment of gestational diabetes, specifically targeting pregnant women diagnosed with this condition. The inclusion and exclusion criteria are centered around pregnancy and gestational diabetes, with no mention of pain management.",100
NCT01668069,1,1,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,None,0,"The trial aims to compare the efficacy of ondansetron and a combination of pyridoxine and doxylamine in reducing nausea and vomiting in pregnant women. The study exclusively enrolls pregnant individuals and focuses on managing a condition specific to pregnancy, which is nausea and vomiting. Therefore, it fits best under the category '27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis.' There is no indication that the trial evaluates a pain management drug or intervention.",100
NCT01669941,1,1,5. Malaria (with or without HIV),None,0,"This trial evaluates the efficacy of Dihydroartemisinin-Piperaquine (DP) for intermittent preventive treatment in pregnancy (IPTp) and intermittent screening and treatment in pregnancy (ISTp) for malaria in HIV-negative pregnant women. The study focuses on reducing malaria infection at delivery among HIV-negative women in Kenya. The trial exclusively enrolls pregnant women, making it a pregnancy-only study. The primary focus is on malaria prevention and treatment, fitting well into the category of 'Malaria (with or without HIV)'.",100
NCT05772156,1,1,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,0,"The trial focuses on the effect of prophylactic methylergonovine on blood loss in scheduled twin pregnancy cesarean deliveries, which directly relates to C-section/caesarean. The study also addresses postpartum hemorrhage, a significant complication following delivery, justifying the secondary category of Postpartum sepsis/hemorrhage/complications. Pregnant individuals are the sole participants, and the study does not involve pain management.",95
NCT03029702,1,1,10. Gestational diabetes,None,0,"This trial focuses on gestational diabetes mellitus (GDM), a condition that affects pregnant women and requires treatment to normalize hyperglycemia. The study aims to investigate an individualized treatment approach for GDM based on the underlying mechanism of hyperglycemia. The inclusion criteria specify pregnant women beyond 24 weeks of gestation, confirming that the trial is exclusively for pregnant individuals.",100
NCT00993031,1,1,Malaria (with or without HIV),"HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",0,"This study focuses on HIV-infected pregnant women and aims to compare the efficacy of protease inhibitor-based ART versus non-PI based ART in reducing placental malaria. The primary endpoint is placental malaria, and the study also enrolls the infants of these women. The inclusion criteria specifically target pregnant women, confirming the 'Preg_Only_GPT' classification. The primary condition being studied is malaria in the context of HIV, fitting the 'Malaria (with or without HIV)' category, with a secondary focus on PMTCT, fitting the 'HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)' category.",95
NCT02624765,1,1,8. Fetal growth/IUGR/Fetal Growth Retardation,None,0,"The trial focuses on the efficacy and safety of prenatal antiarrhythmic treatment for fetal atrial flutter and supraventricular tachycardia, conditions affecting fetal heart rhythm. Pregnant individuals are the sole participants, and the study aims to manage fetal conditions that could impact growth and development.",95
