"","Combined"
"1","NCT01636570_Double-Blind, Placebo-Controlled Trial of Vitamin D3 (Cholecalciferol) Supplementation for Heart Failure Patients_The purpose of this study is to determine if treatment with vitamin D3 of 10,000 International Units (IU) daily in vitamin D deficient patients for 6 months will improve B type natriuretic peptide (BNP), a marker of heart function, compared to placebo. The investigators also aim to determine if vitamin D helps cardiopulmonary function as evaluated by cardiopulmonary exercise test (CPX), laboratory values, strength, and quality of life in patients with stable congestive heart failure (Class II or III)._All_N/A_N/A_Inclusion Criteria:~NYHA Heart Failure Class II or II, stable~Vitamin D deficiency (32 ng/ml or less)~No recent medication changes for 3 months~Females of childbearing age must use effective contraceptive if they are sexually active~Exclusion Criteria:~Hypercalcemia~Nephrolithiases~Sarcoidosis~Acute cardiac insufficiency~Pregnancy~Breastfeeding~Any clinically unstable medical condition~Supplements of greater than or equal to 1000 units of vitamin D per day"
"2","NCT05897541_A Phase 3 Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of S-217622 in the Prevention of Symptomatic SARS-CoV-2 Infection in Household Contacts of an Individual With Symptomatic COVID-19_The purpose of this study is to measure the proportion of participants who are infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (positive reverse transcription polymerase chain reaction [RT-PCR] test) and have coronavirus disease 2019 (COVID-19) symptom(s) with S-217622 tablets compared with placebo tablets in participants who are household contacts of an individual with symptomatic COVID-19._All_N/A_N/A_Inclusion Criteria:~Index Participants~Only 1 index participant from each household will be enrolled in the study. Participants are eligible to be included as an index participant if all of the following criteria apply:~Pediatric participants or adult participants (of any age)~The index participant must:~Have at least 1 COVID-19 symptom within 24 hours before the index participant providing informed consent. COVID-19 symptom(s) must be deemed by the investigator as related to the current SARS-CoV-2 infection (not related to preexisting comorbidities) or deemed as preexisting and worsened due to SARS-CoV-2 infection.~Must have positive SARS-CoV-2 test (a nucleic acid amplification test or antigen test) from any respiratory tract specimen from a sample collected prior to randomization of the participant~Must have a potential study participant who can participate in the study after onset of COVID-19 symptoms in an index participant~Study Participants~Multiple study participants from the same household are allowed to be enrolled in the study. The study intervention randomization will be performed based at the study participant's level. Participants will be eligible to be included in the study only if all of the following criteria apply:~≥ 12 years of age at the time of signing the informed consent~Has a negative screening for SARS-CoV-2 infection, as determined by SARS-CoV-2 test (a nucleic acid amplification test or antigen test) from any respiratory tract specimen (for example, oropharyngeal, nasopharyngeal or nasal swab, or saliva).~Has lived in household with index participant and will continue to live in same household and share common areas such as dining rooms and bathrooms until the end of the study~Must not be considered by the investigator or subinvestigator to have SARS-CoV-2 infection and:~No measured fever at Screening (defined as body temperature ≥ 38.0°Celsius [C] per tympanic or rectal thermometer or ≥ 37.5°C per axillary, oral, or forehead/temporal thermometer)~No COVID-19 symptoms at Screening (if a participant has COVID-19-like symptoms caused by comorbidities, only 1 symptom will be allowed)~Capable and willing to complete a participant diary~a. Male participants: Participants with partners that are woman of childbearing potential (WOCBP) must agree to use effective contraception. Participants with pregnant partners must agree to use effective contraception.~b. Female participants: A female participant is eligible to participate if she is not pregnant or breastfeeding, and the following conditions applies:~Is not a WOCBP or~All of the following apply:~Is a WOCBP and using a contraceptive method that is effective as described in the protocol.~A WOCBP must have a negative urine pregnancy test within 24 hours before the first dose of study intervention period.~If a urine pregnancy test cannot be confirmed as negative (for example, an ambiguous result), a serum pregnancy test must be negative.~Additional requirements for pregnancy testing during and after study intervention as described in the protocol.~The investigator/subinvestigator will review medical history, menstrual history, and recent sexual activity to decrease the risk of inclusion of a woman with an early undetected pregnancy.~Participant must be randomized ≤ 72 hours from onset of COVID-19 symptoms in the index participant.~Exclusion Criteria:~Study Participants: Participants will be excluded from the study if any of the following criteria apply:~Tested positive for SARS-CoV-2 in the past 6 months.~Have an underlying disease requiring systemic corticosteroids (excluding topical), antipyretics/analgesics, or immunosuppressive agents.~Known current renal impairment defined as creatinine clearance < 30 milliliters/minute by Cockcroft Gault or requiring dialysis.~Participants with severe liver dysfunction, such as known history of cirrhosis or liver decompensation (including ascites, variceal bleeding, or hepatic encephalopathy).~Received approved, authorized, or investigational convalescent plasma, or other anti- SARS-CoV-2 biologic products within 3 months of the Screening Visit~Received approved, authorized, or investigational anti-SARS-CoV-2 monoclonal antibodies (mAbs) in the last 6 months.~Received any SARS-CoV-2 vaccine within 6 months prior to the Screening Visit or is expected to receive a SARS-CoV-2 vaccine or other approved, authorized, or investigational postexposure prophylaxis treatments until the end of the study.~Participants who have used any of the following drugs within 14 days prior to enrollment:~Strong cytochrome P450 (CYP) 3A inducer~Products containing St. John's wort~Exposed to an investigational drug within 30 days or 5 half-lives of the drug prior to the Screening Visit.~Positive urine pregnancy test at Screening Visit or are lactating.~Known allergy/sensitivity or any hypersensitivity to components of S-217622 or placebo for S-217622.~Any condition or circumstance that, in the opinion of the investigator or subinvestigator, would compromise the safety of the participant or the quality of the study data.~Note: Other protocol-defined Inclusion/Exclusion criteria may apply."
"3","NCT01669941_Intermittent Screening and Treatment (IST) or Intermittent Preventive Treatment (IPT) With Dihydroartemisinin-Piperaquine, Versus IPT With Sulfadoxine-Pyrimethamine for the Control of Malaria in Pregnancy in Kenya: a Randomized Controlled Trial_Malaria in pregnancy (MiP) due to Plasmodium falciparum infection is a major cause of maternal morbidity and poor birth outcomes. Intermittent preventive treatment in pregnancy (IPTp) with Sulfadoxine pyrimethamine (SP), the administration of SP at predefined intervals in the second and third trimesters of pregnancy irrespective of the presence of malaria parasitemia, is currently recommended for HIV-negative women in all areas with stable moderate to high transmission of malaria. Due to increasing resistance to SP, it is no longer used as a treatment for symptomatic malaria, and the efficacy of IPTp-SP seems to be decreased. This study aims to look at a new drug, Dihydroartemisinin-Piperaquine (DP) for IPTp, as well as to explore the strategy of intermittent screening and treatment in pregnancy (ISTp) with DP. This strategy uses increased screening at time of focused antenatal care (FANC) with treatment of women who screen positive.~The hypothesis is that the efficacy of both IPTp-DP and ISTp-DP will be associated with a reduction in malaria infection at delivery among HIV(-) women when compared to IPTp-SP, in an area with decreasing malaria transmission and high levels of SP resistance in Kenya._Female_N/A_N/A_Inclusion Criteria:~Viable pregnancy assessed by Doppler~Gestational age 16 to 32 weeks (inclusive) by fundal height~No history of IPTp use during this pregnancy~Willing to participate and complete the study schedule~Willing to sign or thumb print informed consent~Resident of study area and intending to stay in the area for the duration of the follow-up~Willing to deliver in the labor ward of the study clinic or hospital~HIV negative at enrolment~Exclusion Criteria:~HIV positive or unknown~Residence outside study area or planning to move out in the 12 months following enrolment~High risk pregnancy, including any pre-existing illness likely to cause complication of pregnancy (hypertension, diabetes, asthma, epilepsy, renal disease, liver disease, fistula repair, leg or spine deformity)~Severe anemia requiring blood transfusion (Hb ≤ 7.0 g/dL) at enrolment~Known allergy or previous adverse reaction to any of the study drugs~Unable to give informed consent (for example due to mental disability)~Previous inclusion in the same study~Gestational age >32 weeks~Previous IPTp during the current pregnancy~Participating in other malaria intervention studies~Known or suspected cardiac disease~Patients taking drugs in any of the following classes: antiarrhythmic agents, neuroleptics, macrolides, and certain antimalarial drugs such as mefloquine, chloroquine, halofantrine and lumefantrine."
"4","NCT01256658_A Cluster Randomized, Single-centre, Controlled, Parallel,12-month Prospective Study and Additional 12-month Follow-up in Africa of Malaria Incidence in a Community Setting Following Systematic Treatment of P. Falciparum Asymptomatic Carriers With Artemether-lumefantrine (Coartem® / Coartem® Dispersible)_This study assessed the impact of the systematic detection by Rapid Diagnostic Test (RDT) and treatment of asymptomatic carriers of malaria parasites (P. falciparum) with COA566 on a number of clinical malaria cases in children less than 5 years of age and the improvement of hemoglobin levels in the overall population._All_N/A_N/A_Inclusion:~Subjects who were diagnosed as Asymptomatic Carrier (AC) by Rapid Diagnostic Test (RDT).~Subjects who were diagnosed with a Symptomatic malaria episode, RDT-confirmed (SMRC)~Exclusion:~Body weight <5 kg.~Hypersensitivity to artemether-lumefantrine or to any of the excipients of the tablets or dispersible tablets.~Presence of severe malaria signs and symptoms~First trimester of pregnancy.~Family history of congenital prolongation of the QTc interval or sudden death or with any other clinical condition known to prolong the QTc interval such as history of symptomatic cardiac arrhythmias, with clinically relevant bradycardia or with severe cardiac disease.~Taking drugs that are known to influence cardiac function and to prolong QTc interval, such as class IA and III: neuroleptics, antidepressant agents, certain antibiotics including some agents of the following classes: macrolides, fluoroquinolones, imidazole and triazole antifungal agents, certain non-sedating antihistamines.~Known disturbances of electrolyte balance, e.g. hypokalemia or hypomagnesemia.~Taking drugs which may be metabolized by cytochrome enzyme CYP2D6"
"5","NCT00504725_Ketamine In Thoracic Surgery (KITS) Trial_The primary aim of the study is to demonstrate a reduction in circulating interleukin 6 levels at 4 and 24 hours after completion of lobectomy (either VATS or open). The null hypothesis (H0) is thus that there is no difference in circulating interleukin 6 levels when patients are given either ketamine or placebo (0.9% saline in equivalent volume). The alternative (two tailed) hypothesis (HA) if the null is disproved is that ketamine leads to significantly different levels of interleukin 6 at 4 and 24 hours after completion of surgery. We plan to randomize 40 patients to receive either ketamine or placebo, in a block of 4 randomization design stratified by whether surgery is performed by VATS or open lobectomy._All_N/A_N/A_Inclusion Criteria:~All patients presenting for lobectomy either VATS or open.~Exclusion Criteria:~Patients with myocardial infarction in the previous six months,~Patients with a history of psychotic disorder,~Patients with a history of chronic pain syndrome,~Patients with documented previous allergy to ketamine."
"6","NCT01052870_Study Evaluating the Association of CAG Repeat Polymorphisms and Finasteride Response in Women With Androgenetic Alopecia_Previous studies of finasteride treatment in women with hair loss have failed to show positive results, yet, some women have responded anecdotally. Given that polymorphisms of the androgen receptor gene which confer androgen sensitivity impact male response to finasteride therapy, it was hypothesized that the same polymorphism in women may identify the group that will respond. This study is designed to test the impact of finasteride therapy on hair loss in postmenopausal women._Female_N/A_N/A_Inclusion Criteria:~women with hair loss~Exclusion Criteria:~pre menopausal,~metabolic or medication or non-androgenetic causes of hair loss,~diffuse hair loss"
"7","NCT00357110_A Randomised Phase II Study Comparing Anastrozole and Fulvestrant to Anastrozole for Adjuvant Treatment of Postmenopausal Patients With Early Breast Cancer and Disseminated Tumour Cells in Bone Marrow_Purpose is to compare the frequency of events (presence of Disseminated Tumour Cells, clinical recurrence and/or death) after 1 and 2 years of adjuvant treatment with anastrozole and fulvestrant or anastrozole alone in patients with early breast cancer._Female_N/A_N/A_Inclusion Criteria:~Postmenopausal women with hormone receptor-positive early breast cancer and a positive Disseminated Tumour Cell immunocytochemical result from bone marrow aspiration prior to randomisation~Exclusion Criteria:~Inflammatory and/or metastatic breast cancer.~Current or previous malignancy within previous 5 years (other than Breast cancer or adequately treated non-melanoma skin cancer or in-situ cervical cancer).~History of bleeding diathesis."
"8","NCT02884635_Phase IIa Study of ASP1707 A Randomized, Placebo-Controlled, Double-Blind, Parallel Group Phase 2a Study of ASP1707 in Postmenopausal Female Patients With Rheumatoid Arthritis (RA) Taking Methotrexate (MTX)_The objective of this study is to evaluate the efficacy, pharmacokinetics, pharmacodynamics and safety of ASP1707 in combination with MTX in postmenopausal female patients with RA._Female_N/A_N/A_Inclusion Criteria:~Subject has RA that was diagnosed according to the 1987 ACR criteria or the 2010 ACR/EULAR criteria.~Subject meets the ACR 1991 Revised Criteria for the Classification of Global Functional Status in RA Class I, II or, III.~subject has active RA as evidenced by both of the followings:~≥ 6 tender/painful joints (using 68-joint assessment)~≥ 6 swollen joints (using 66-joint assessment)~CRP (C-reactive protein) of > 0.3 mg/dL or ESR (Erythrocyte sedimentation rate) of > 28 mm/hr at screening.~Subject who continuously received MTX and who is able to continue stable dose of MTX.~Subject who did not receive the following drugs, or received the drugs with stable dosage:~Non-steroidal anti-inflammatory drugs, oral morphine or equivalent opioid analgesics, acetaminophen, or oral corticosteroids.~Exclusion Criteria:~Inadequate responders to a biologic DMARD (Disease-modifying antirheumatic drug).~Subject has taken other investigational research products are prohibited within 12 weeks (84 days) or within 5 half-lives, whichever is longer, prior to screening.~Subject has undergone surgery which has residual effects on the assessed joints, or is scheduled to undergo surgery that may affect the study evaluation of the assessed joints.~Subject has another type of inflammatory arthritis other than RA.~Subject who meets any of the following criteria of laboratory values at screening:~White blood cell count <4000/μL~Platelet count <100000/μL~ALT (Alanine Aminotransferase) ≥ 2 x ULN (Upper Limit of Normal)~AST (Aspartate Aminotransferase) ≥ 2 x ULN~Total bilirubin ≥ 1.5 x ULN~Positive Hepatitis B surface antigen, Hepatitis B virus-DNA quantitation, or Hepatitis C virus antibody~Subject has a positive QuantiFERON-TB Gold test or T-spot.~Subject has a history of or concurrent malignant tumor.~Subject has any ongoing severe, progressive, or uncontrolled renal, hepatic, hematological, gastrointestinal, metabolic, endocrine, pulmonary, cardiac, neurological, infectious, or autoimmune disease except for RA, or diseases which preclude the subject's participation in the study.~Subject has a history of clinically significant allergy.~Subject has clinically significant abnormalities on the 12-lead Electrocardiogram.~Subject has a history of positive Human Immunodeficiency Virus infection."
"9","NCT03401073_A Double-Blind, Placebo Controlled Trial of Intravenous Immunoglobulin Therapy in Patient With Small Fiber Neuropathy Associated With Autoantibodies to TS-HDS and FGFR3_The objective of this study is to develop a rationale for the selective treatment of small fiber neuropathy with immune globulin (IVIG) in the appropriate patients.~The investigators hypothesize that individuals with auto-antibodies targeting neuronal antigens (TS-HDS and FGFR3) and confirmed evidence of small fiber neuropathy (by skin biopsy analysis of intra-epidermal nerve fiber density) will have an improvement in both nerve fiber density and pain after treatment with immune globulin.~The co-primary endpoints will be a change in neuropathic pain (by VAS pain score) and a change in intra-epidermal nerve fiber density (by punch skin biopsy).~The data gained from this pilot study will establish a rationale, with an appropriate screening test, for the use of immune globulin for the treatment of small fiber neuropathy._All_N/A_N/A_Inclusion Criteria:~Patient with clinically evident and biopsy proven pure small fiber neuropathy as evidenced by reduced intra-epidermal nerve fiber density seen on skin biopsy using PGP 9.5 as the immunostain.~Patients must have a baseline pain score on a VAS scale of Greater or equal to 4/10~Patients must have elevated titers of autoantibodies to TS-HDS or FFR3 as measured in Dr Alan Pestronk's lab at Washington University in St Louis.~Exclusion Criteria:~Any other known cause for small fiber neuropathy other than the presence of the elevated titers of auto-antibodies. For example patients with diabetes, HIV, Sjogrens, Vitamin deficiency etc.~Patients with generalized, severe musculoskeletal conditions other than SFN that prevent a sufficient assessment of the patient by the physician~Cardiac insufficiency (New York Heart Association III/IV), cardiomyopathy, significant cardiac dysrhythmia requiring treatment, unstable or advanced ischemic heart disease).~Severe liver disease (ALAT 3x > normal value).~Severe kidney disease (creatinine 1.5x > normal value).~Known hepatitis B, hepatitis C or HIV infection.~Patients with a history of deep vein thrombosis (DVT) within the last year prior to baseline visit or pulmonary embolism ever; patients with susceptibility to embolism or deep vein thrombosis.~Body mass index (BMI) ≥40 kg/m2.~Medical conditions whose symptoms and effects could alter protein catabolism and/or IgG utilization (e.g. protein-losing enteropathies, nephrotic syndrome).~Known IgA deficiency with antibodies to IgA.~History of hypersensitivity, anaphylaxis or severe systemic response to immuno-globulin, blood or plasma derived products, or any component of Gamunex.~Known blood hyperviscosity, or other hypercoagulable states.~Use of IgG products within six months prior to enrolment.~Use of other blood or plasma-derived products within three months prior to enrollment.~Patients with a history of drug or alcohol abuse within the past five years prior to enrollment.~Patients unable or unwilling to understand or comply with the study protocol~Participating in another interventional clinical study with investigational treatment within three months prior to enrollment.~Women who are breast feeding, pregnant, or planning to become pregnant, or are unwilling to use an effective birth control method (such as implants, injectable, combined oral contraceptives, some intrauterine devices (IUDs), sexual abstinence or vasectomized partner) while on study."
"10","NCT01266824_Randomized Control Trial of the Effects of Proparacaine on the Pain Response to Mydriatic Eye Drops_In this study, we will be evaluating whether premedication with an anesthetic eye drops leads to a decreased sensation of pain when given dilating eye drops prior to eye examinations to evaluate for retinopathy of prematurity in neonatal intensive care unit (NICU) infants._All_N/A_N/A_Inclusion Criteria:~Infants admitted to the Pennsylvania Hospital NICU who require an ophthalmologic examination.~Exclusion Criteria:~Infants with congenital anomalies, seizures, or other neurologic conditions or malformations that may alter the pain response~Infants with corneal abrasions, corneal ulcers or other relative or absolute contraindications to proparacaine administration"
