NCT_ID,Any_women,Enrolls 18-45,Reason,Either
NCT01636570,1,1,The trial includes women who are not pregnant or breastfeeding and does not have age restrictions that exclude people aged 18-45.,FALSE
NCT05897541,1,1,The study includes participants of any age and allows women who are not pregnant or breastfeeding to enroll.,FALSE
NCT01669941,1,1,"The trial specifically targets pregnant women, who are necessarily female and within the reproductive age range, which includes ages 18-45.",FALSE
NCT01256658,1,1,"The trial does not exclude women except for those in the first trimester of pregnancy. The trial includes the overall population, which implies it includes people aged 18-45.",FALSE
NCT00504725,1,1,The trial does not specify any gender or age restrictions that would exclude women or individuals aged 18-45.,FALSE
NCT01052870,1,0,"The trial enrolls postmenopausal women only, excluding premenopausal women.",TRUE
NCT00357110,1,0,"The trial enrolls postmenopausal women only, which excludes women aged 18-45.",TRUE
NCT02884635,1,0,"The trial enrolls postmenopausal female patients only, which typically excludes women aged 18-45.",TRUE
NCT03401073,1,1,The trial excludes only pregnant or breastfeeding women but allows other women to enroll. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT01266824,0,0,The trial only enrolls infants in the NICU and does not include any adults.,TRUE
NCT02181933,1,1,"The trial specifically enrolls pregnant women, who are by definition female, and includes women who are likely to be within the age range of 18-45.",FALSE
NCT02204163,1,0,"The trial enrolls prepubertal pediatric patients with Prader-Willi Syndrome, which includes both boys and girls, but does not include individuals aged 18-45.",TRUE
NCT02212119,1,0,"The trial does not specify gender restrictions, so it enrolls any women. However, it targets individuals with severe cognitive impairment who are fully dependent, which typically excludes the 18-45 age group.",TRUE
NCT02691936,1,1,"The trial enrolls menopausal women, which typically includes women aged 18-45 who have experienced early menopause.",FALSE
NCT00298233,1,1,"The trial excludes only pregnant or breastfeeding women but allows other women to enroll. The inclusion criteria do not specify any age restrictions, so it includes people aged 18-45.",FALSE
NCT01694797,1,1,"The trial includes healthy adult human subjects between 18 and 45 years of age, including women who are not pregnant or breastfeeding.",FALSE
NCT04270682,1,1,"The study includes both male and female participants aged 1 month and older, including those aged 18-45. Pregnant or breastfeeding women are excluded, but non-pregnant and non-breastfeeding women are allowed.",FALSE
NCT00929695,1,1,"The trial does not specify any gender restrictions and includes adults with newly diagnosed acute GVHD, which typically includes the age range 18-45.",FALSE
NCT05418426,1,0,"The trial enrolls postmenopausal women only, which excludes women aged 18-45.",TRUE
NCT01257698,1,1,"The inclusion and exclusion criteria do not specify any gender or age restrictions, so the trial enrolls both men and women, and includes people aged 18-45.",FALSE
NCT01708707,0,0,The trial enrolls only neonates (infants) and does not include any adults.,TRUE
NCT01710696,1,0,"The trial enrolls only girls with Turner Syndrome, excluding those with signs of spontaneous puberty. It does not include adults aged 18-45.",TRUE
NCT03710642,1,0,"The trial includes women who are postmenopausal or otherwise not of childbearing potential. The trial is for adults with Alzheimer's disease, which typically affects older adults, thus excluding the 18-45 age group.",TRUE
NCT01524133,1,1,"The trial does not exclude women except for those who are pregnant. It includes Operation Enduring Freedom/Operation Iraqi Freedom/Operation New Dawn (OEF/OIF/OND) combat veterans, which typically includes individuals aged 18-45.",FALSE
NCT00898807,1,0,"The trial does not specify gender restrictions, so women can enroll. However, it is for Alzheimer's disease, which typically affects older adults, and there is no indication that it includes people aged 18-45.",TRUE
NCT01734447,1,0,"The trial enrolls children with bone age below 14 years in boys and 12 years in girls, thus excluding adults aged 18-45.",TRUE
NCT01734486,1,0,"The trial enrolls only girls with Turner Syndrome, which includes females but does not include the age range 18-45.",TRUE
NCT01061151,1,1,"The study specifically targets HIV-infected pregnant and postpartum women, which includes women aged 18-45.",FALSE
NCT05590637,1,1,"The trial does not specify any gender or age restrictions, so it is assumed to enroll both men and women of any age, including those aged 18-45.",FALSE
NCT01549873,1,1,"The trial includes patients with idiopathic scoliosis without specifying gender or age restrictions, thus allowing women and individuals aged 18-45 to enroll.",FALSE
NCT01032837,1,1,"The trial includes pediatric, adolescent, and adult patients >= 1 year of age, which includes women and individuals aged 18-45.",FALSE
NCT04081103,1,1,"The study includes both male and female participants of any age, and there are no specific age restrictions that exclude individuals aged 18-45.",FALSE
NCT01573910,1,1,"The trial excludes only pregnant or lactating women but allows other women to enroll. It also includes patients of all ages, including those aged 18-45.",FALSE
NCT01222247,1,1,"The trial enrolls pregnant women between 34 and 36.5 weeks of gestation, which includes women aged 18-45.",FALSE
NCT01014585,1,1,The trial excludes only pregnant or breastfeeding women but allows other women to enroll. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT04267432,1,1,"The trial does not specify any gender restrictions and does not exclude women. The inclusion criteria do not specify age restrictions, so it is assumed that adults, including those aged 18-45, can enroll.",FALSE
NCT00606489,1,1,"The trial includes both adult and pediatric burn patients, and it only excludes pregnant or nursing women, allowing other women to enroll. The age criteria are not restricted to exclude those aged 18-45.",FALSE
NCT01547390,1,1,"The trial enrolls pregnant women, which includes women aged 18-45.",FALSE
NCT01753102,1,0,"The trial enrolls postmenopausal women only, which excludes women aged 18-45.",TRUE
NCT06031688,1,1,The trial does not exclude women except for those who are pregnant or breastfeeding. There are no age restrictions that exclude individuals aged 18-45.,FALSE
NCT00578955,1,1,"The trial does not specify any gender restrictions and includes adults, which typically includes the age range 18-45.",FALSE
NCT01200485,1,1,The trial includes women who are not pregnant or breastfeeding and does not have age restrictions that exclude individuals aged 18-45.,FALSE
NCT01543490,1,1,"The trial includes both male and female participants of childbearing potential and requires effective contraception. The age criteria include participants who are at least 1 year old, which encompasses the 18-45 age range.",FALSE
NCT01179347,1,1,"The trial includes male and female patients with cystic fibrosis, including adolescents and adults. It excludes only pregnant or lactating women, and includes patients aged 5 years and older, which encompasses the 18-45 age range.",FALSE
NCT05491200,1,1,"The trial does not exclude women except for those who are pregnant, have given birth within the last 90 days, or are lactating. The trial includes adults with STEMI, which typically includes the age range of 18-45.",FALSE
NCT03526575,1,1,"The trial includes females and does not exclude women who are not pregnant. The inclusion criteria do not specify age restrictions, and the population described (e.g., medical residents, medical students) typically includes individuals aged 18-45.",FALSE
NCT02438722,1,1,"The trial does not exclude women except for those who are pregnant or nursing, and it includes adults with newly diagnosed stage IV or recurrent non-small cell lung cancer, which typically includes ages 18-45.",FALSE
NCT02434952,1,1,The trial includes women who are not pregnant or breastfeeding and includes participants aged 1 year and older.,FALSE
NCT00305448,1,0,"The trial enrolls postmenopausal women only, which typically excludes women aged 18-45.",TRUE
NCT05564377,1,1,The trial includes both men and women and allows patients aged 18 years and older.,FALSE
NCT01408901,0,1,"Pre-menopausal women are excluded due to cyclic estrogen changes influencing progenitor cell levels, but there are no age restrictions that exclude people aged 18-45.",TRUE
NCT02294643,1,1,The trial does not specify any gender restrictions and includes adults aged 18 years and older.,FALSE
NCT01081756,1,1,The trial is specifically for women undergoing IVF/ET and does not exclude based on age within the 18-45 range.,FALSE
NCT00972777,1,1,"The study includes subjects who are at least one year of age, with no gender restrictions mentioned.",FALSE
NCT01810354,1,1,"The trial enrolls pregnant women, which includes women aged 18-45.",FALSE
