,NCT_ID,Any_women,Enrolls.18.45,Reason,Either,official_title,summary,gender,minimum_age,maximum_age,criteria,Check
1,NCT01052870,1,0,"The trial enrolls postmenopausal women only, excluding premenopausal women.",TRUE,Study Evaluating the Association of CAG Repeat Polymorphisms and Finasteride Response in Women With Androgenetic Alopecia,"Previous studies of finasteride treatment in women with hair loss have failed to show positive results, yet, some women have responded anecdotally. Given that polymorphisms of the androgen receptor gene which confer androgen sensitivity impact male response to finasteride therapy, it was hypothesized that the same polymorphism in women may identify the group that will respond. This study is designed to test the impact of finasteride therapy on hair loss in postmenopausal women.",Female,N/A,N/A,"Inclusion Criteria:~women with hair loss~Exclusion Criteria:~pre menopausal,~metabolic or medication or non-androgenetic causes of hair loss,~diffuse hair loss",1
2,NCT00357110,1,0,"The trial enrolls postmenopausal women only, which excludes women aged 18-45.",TRUE,A Randomised Phase II Study Comparing Anastrozole and Fulvestrant to Anastrozole for Adjuvant Treatment of Postmenopausal Patients With Early Breast Cancer and Disseminated Tumour Cells in Bone Marrow,"Purpose is to compare the frequency of events (presence of Disseminated Tumour Cells, clinical recurrence and/or death) after 1 and 2 years of adjuvant treatment with anastrozole and fulvestrant or anastrozole alone in patients with early breast cancer.",Female,N/A,N/A,Inclusion Criteria:~Postmenopausal women with hormone receptor-positive early breast cancer and a positive Disseminated Tumour Cell immunocytochemical result from bone marrow aspiration prior to randomisation~Exclusion Criteria:~Inflammatory and/or metastatic breast cancer.~Current or previous malignancy within previous 5 years (other than Breast cancer or adequately treated non-melanoma skin cancer or in-situ cervical cancer).~History of bleeding diathesis.,1
3,NCT02884635,1,0,"The trial enrolls postmenopausal female patients only, which typically excludes women aged 18-45.",TRUE,"Phase IIa Study of ASP1707 A Randomized, Placebo-Controlled, Double-Blind, Parallel Group Phase 2a Study of ASP1707 in Postmenopausal Female Patients With Rheumatoid Arthritis (RA) Taking Methotrexate (MTX)","The objective of this study is to evaluate the efficacy, pharmacokinetics, pharmacodynamics and safety of ASP1707 in combination with MTX in postmenopausal female patients with RA.",Female,N/A,N/A,"Inclusion Criteria:~Subject has RA that was diagnosed according to the 1987 ACR criteria or the 2010 ACR/EULAR criteria.~Subject meets the ACR 1991 Revised Criteria for the Classification of Global Functional Status in RA Class I, II or, III.~subject has active RA as evidenced by both of the followings:~≥ 6 tender/painful joints (using 68-joint assessment)~≥ 6 swollen joints (using 66-joint assessment)~CRP (C-reactive protein) of > 0.3 mg/dL or ESR (Erythrocyte sedimentation rate) of > 28 mm/hr at screening.~Subject who continuously received MTX and who is able to continue stable dose of MTX.~Subject who did not receive the following drugs, or received the drugs with stable dosage:~Non-steroidal anti-inflammatory drugs, oral morphine or equivalent opioid analgesics, acetaminophen, or oral corticosteroids.~Exclusion Criteria:~Inadequate responders to a biologic DMARD (Disease-modifying antirheumatic drug).~Subject has taken other investigational research products are prohibited within 12 weeks (84 days) or within 5 half-lives, whichever is longer, prior to screening.~Subject has undergone surgery which has residual effects on the assessed joints, or is scheduled to undergo surgery that may affect the study evaluation of the assessed joints.~Subject has another type of inflammatory arthritis other than RA.~Subject who meets any of the following criteria of laboratory values at screening:~White blood cell count <4000/μL~Platelet count <100000/μL~ALT (Alanine Aminotransferase) ≥ 2 x ULN (Upper Limit of Normal)~AST (Aspartate Aminotransferase) ≥ 2 x ULN~Total bilirubin ≥ 1.5 x ULN~Positive Hepatitis B surface antigen, Hepatitis B virus-DNA quantitation, or Hepatitis C virus antibody~Subject has a positive QuantiFERON-TB Gold test or T-spot.~Subject has a history of or concurrent malignant tumor.~Subject has any ongoing severe, progressive, or uncontrolled renal, hepatic, hematological, gastrointestinal, metabolic, endocrine, pulmonary, cardiac, neurological, infectious, or autoimmune disease except for RA, or diseases which preclude the subject's participation in the study.~Subject has a history of clinically significant allergy.~Subject has clinically significant abnormalities on the 12-lead Electrocardiogram.~Subject has a history of positive Human Immunodeficiency Virus infection.",1
4,NCT01266824,0,0,The trial only enrolls infants in the NICU and does not include any adults.,TRUE,Randomized Control Trial of the Effects of Proparacaine on the Pain Response to Mydriatic Eye Drops,"In this study, we will be evaluating whether premedication with an anesthetic eye drops leads to a decreased sensation of pain when given dilating eye drops prior to eye examinations to evaluate for retinopathy of prematurity in neonatal intensive care unit (NICU) infants.",All,N/A,N/A,"Inclusion Criteria:~Infants admitted to the Pennsylvania Hospital NICU who require an ophthalmologic examination.~Exclusion Criteria:~Infants with congenital anomalies, seizures, or other neurologic conditions or malformations that may alter the pain response~Infants with corneal abrasions, corneal ulcers or other relative or absolute contraindications to proparacaine administration",1
5,NCT02204163,1,0,"The trial enrolls prepubertal pediatric patients with Prader-Willi Syndrome, which includes both boys and girls, but does not include individuals aged 18-45.",TRUE,"A Phase III, Multi-center, Randomized, Comparative, Parallel, Open Study to Assess the Efficacy and Safety After Treatment of Eutropin® Inj. Compared to Genotropin® in Infants/Toddlers With Prader-Willi Syndrome",Evaluate the efficacy and safety after treatment of Eutropin® inj. compared to Genotropin® in infants/toddlers with Prader-Willi syndrome,All,N/A,N/A,"Inclusion Criteria:~Pediatric patients with PWS confirmed by methylation PCR genetic testing~Prepubertal pediatric patients (Tanner's Pubertal stage I) at screening~Pediatric patients who have never been treated with hGH prior to screening, or who had been treated with hGH for less than 6 months if they had a treatment history, and whose last administration was made 6 months prior to screening~Pediatric patients with normal thyroid function at screening (Those with normal function through a hormonal therapy were allowable.)~Pediatric patients whose parents or LARs signed the informed consent form in writing after receiving the explanation about the purpose, method, effects, etc. of the clinical study, and who also signed the informed consent form in writing if they are capable of reading and understanding writing.~Exclusion Criteria:~Pediatric patients who are accompanied by other causes for growth retardation as follows except for PWS at screening~: Chronic renal failure (including the case in which renal transplantation has been undergone), Silver-Russell syndrome, Turner's syndrome, Seckel syndrome, Down's syndrome, Noonan syndrome, Cushing's syndrome, congenital infections, psychiatric disorders, chronic debilitating diseases, etc.~Pediatric patients with malignancy or a history of malignancy at screening~Pediatric patients with severe respiratory disturbance, or sleep apnoea or a history of respiratory infections with an unknown cause at screening. However, those whose condition had been confirmed to be eligible to participate in the clinical study on investigator's judgment were allowed to participae in the study.~Pediatric patients with impaired fasting glucose, diabetes, and diabetic retinopathy at screening~Pediatric patients whose epiphyses are closed with a growth rate of ≤1 cm/year at screening~Pediatric patients who are being administered any drug that may have an effect on the secretion and actions of hGH (estrogen, androgen, anabolic steroids, corticosteroids, GnRH analogs, thyroxine, aromatase inhibitors, etc.) or anticonvulsants and cyclosporin at screening, and have been administered any of them for a long period of time within 6 months prior to screening (However, those who have been administered a thyroxine preparation for ≥4 weeks on a stable dose [allowable in case the investigator determines the dose is stable even though it is changeable based upon the weight of the pediatric patient] were allowed to participate in the clinical study.)~Pediatric patients who are being administered any drug (e.g. methylphenidate) for treatment of hyperactivity disorders including attention deficit hyperactivity disorder (ADHD) at screening~Pediatric patients who are hypersensitive to somatropin or any excipient of the investigational product (cresol or glycerol) or who have a relevant history of hypersensitivity~Pediatric patients who have participated in any other clinical studies after enrolled in this study or who had participated in any other clinical studies within 3 months prior to enrollment in this clinical study~Pediatric patients in whom this clinical study is considered to be difficult to be conducted for any other reasons on investigator's judgment",1
6,NCT02212119,1,0,"The trial does not specify gender restrictions, so it enrolls any women. However, it targets individuals with severe cognitive impairment who are fully dependent, which typically excludes the 18-45 age group.",TRUE,"A Randomized, Placebo Controlled Trial of Botulinum Toxin for Paratonic Rigidity in People With Advanced Cognitive Impairment","Aim of the study is to perform a pilot study to assess the impact of Botulinum toxin on muscle tone, and caregiver burden in individuals who are cognitively impaired and who are fully dependent.~The primary objective is to confirm proof of principle that paratonic rigidity and the consequences associated with it can be reduced with injection of Botulinum toxin injections resulting in reduced care-giver burden.~The secondary objectives are to determine optimal time points for evaluation of efficacy in this patient population and whether the time period is sufficient for washout of Botulinum toxin effect; determine most salient and sensitive outcome measures; identify obstacles in data gathering; and lastly, to determine feasibility of battery of assessments in this pilot study.",All,N/A,N/A,"Inclusion Criteria:~Severe cognitive impairment (complete dependency in all activities of daily living (ADLs)~Diagnosis of Alzheimer's disease, vascular dementia,or frontotemporal dementia~Score> 3 on the paratonic assessment instrument, with paratonic rigidity in an arm(s) interfering in the provision of care~Exclusion Criteria:~Alternate etiologies for increased tone~Botulinum toxin 6 months preceding the study",0
7,NCT05418426,1,0,"The trial enrolls postmenopausal women only, which excludes women aged 18-45.",TRUE,"A Phase 1, Open-Label, Parallel Group Study to Evaluate the Pharmacokinetics and Safety of DARE-HRT1 (80μg Estradiol/4mg Progesterone and 160μg Estradiol/8mg Progesterone Intravaginal Rings) in Healthy PostMenopausal Women","An open-label study to assess the PK of estradiol, estrone and progesterone from the DARE-HRT1 intravaginal rings at two different dose strengths.",Female,N/A,N/A,"Inclusion Criteria:~Postmenopausal women with body mass index >/= 18 and </= 38 kg/m2~Normal cervix and vagina~An intact uterus~An acceptable results from an endometrial biopsy~normal mammogram report within 24 months of screening~Exclusion Criteria:~Prior abnormal cervical screening test (CST) or Pap result within 2 years of screening. Subject can have atypical squamous cells of undetermined significance (ASCUS), if HPV negative.~Subjects with any self-reported active sexually transmitted disease and/or evidence of infection based on visual vaginal exam by the investigator~Subjects with a UTI during screening as assessed by urine dipstick test with abnormal test findings (any positive result for leukocytes AND any positive result for nitrites)~Subjects with > 4 mm endometrium lining at screening (on the transvaginal ultrasound)~Have a history of endometrial hyperplasia or cervical or uterine carcinoma~Subjects with indwelling catheters or requiring intermittent catheterization~Subjects with multiple or unsuccessful (e.g., still having symptoms) pelvic reconstructive surgery, or suffers from pelvic relaxation~Subjects who have had a hysterectomy~Subjects taking any estrogen and/or progesterone products (see Section 4.1 for washout requirements)~Subjects with concomitant use of personal lubricants (water-based lubricants are allowed) or any intravaginal product or medication, either by prescription or over-the-counter (e.g., Femring [estradiol acetate vaginal ring], ESTRING® [estradiol vaginal ring]) with the exception of those who agree not to use these products during the IVR use period~Self-reported or observed vaginal irritation; vaginal, vulvar, or cervical lesions, undiagnosed vaginal bleeding; or tenderness~Subjects with a finding of clinically significant uterine fibroids at screening~Subjects with a known hypersensitivity to progesterone, estradiol, Femring, or the components of the IVR (e.g., ethylene vinyl acetate)~Subjects with known hypersensitivity to peanuts (Prometrium capsules contain peanut oil)~Subjects with prior pelvic malignancies~Subjects with a history of any severe acute or chronic medical or psychiatric condition or laboratory abnormality that could increase the risk associated with trial participation or study treatment administration or could interfere with the interpretation of trial results and, in the judgment of the investigator, would make the subject inappropriate for entry into the trial. This includes but is not limited to the following:~Human immunodeficiency virus (HIV) infection (confirmed by medical history/ serology testing)~Active chronic hepatitis B or hepatitis C infection including hepatitis B surface antigen and hepatitis C antigen positive subjects with or without abnormal liver enzymes (confirmed by medical history/serology testing)~Concurrent neurodegenerative disease~Cardiovascular: uncontrolled hypertension, unstable angina, myocardial infarction or symptomatic congestive heart failure within the past 6 months, serious uncontrolled cardiac arrhythmia, use of Class 1 antiarrhythmic medications, or history of venous thromboembolism or stroke~Dementia or significantly altered mental status that would prohibit the understanding or rendering of informed consent and compliance with the requirements of the protocol~History of gallbladder disease unless gallbladder removed~Symptomatic bacterial vaginosis~Have fasting triglyceride of > 300 mg/dL and/or total cholesterol of > 300 mg/dL~AST or ALT > 1.5 times the upper limit of normal~Fasting glucose > 125 mg/dL~Evidence of current alcohol or drug abuse in the past 60 days including a positive result from the urine drugs of abuse or alcohol screen, or history of drug or alcohol dependence in the last two years, as assessed by principal investigator. Alcohol abuse is defined as greater than 14 standard units/week for females and drug abuse is defined as known psychiatric or substance abuse disorder that would interfere with participation with the requirements of this study, including current use of any illicit drugs.~Participation in any other investigational drug or device trial in which administration of an investigational study drug/device occurred within 30 days or placement of a non-drug eluting medical device within 15 days prior to screening.",1
8,NCT01708707,0,0,The trial enrolls only neonates (infants) and does not include any adults.,TRUE,A Randomized Comparison of Sublingual Buprenorphine to Morphine Sulfate in the Treatment of Neonatal Abstinence Syndrome (NAS),"The purpose of the study is to determine whether buprenorphine is a beneficial, safe, cost effective treatment alternative to morphine sulfate in the treatment of Neonatal Abstinence Syndrome (NAS).",All,N/A,1 Year,Inclusion Criteria:~Infants of corrected gestational age ≥37 weeks~Chronic opioid exposure in utero~Signs and symptoms of NAS requiring treatment~2 consecutive Finnegan scores ≥8 or any single score ≥12~Exclusion Criteria:~Concomitant maternal benzodiazepine or alcohol use 30 days prior to enrollment~Life-threatening congenital malformations~Intrauterine growth retardation~Seizure activity or congenital neurologic abnormalities~Concomitant neonatal use of Cytochrome P450 inhibitor or inducers prior to treatment~Inability of mother's consent due to altered mental status or comorbid psychiatric disorder~Neonatal administration of morphine prior to enrollment into study,1
9,NCT01710696,1,0,"The trial enrolls only girls with Turner Syndrome, excluding those with signs of spontaneous puberty. It does not include adults aged 18-45.",TRUE,Induction of Puberty With 17-Beta Estradiol in Girls With Turner Syndrome. An Open Randomized Trial,This trial is conducted in Europe. The aim of the trial is to induce normal pubertal development in girls with Turner Syndrome in accordance with that of their peers and their individual state psychosocial maturation.,Female,N/A,N/A,Inclusion Criteria:~Turner Syndrome~Treatment with growth hormone~Bone age minimum 12 years and maximum 14 years~Clear signs of ovarian insufficiency~Well documented growth rate during the last 12 months~Exclusion Criteria:~Signs of spontaneous puberty~Known or suspected hypersensitivity to trial product~Acute or chronic liver disease~Previous treatment with estrogen~Undiagnosed abnormal genital bleeding~Known thyroid diseases not adeadequately treated~Porphyria,1
10,NCT03710642,1,0,"The trial includes women who are postmenopausal or otherwise not of childbearing potential. The trial is for adults with Alzheimer's disease, which typically affects older adults, thus excluding the 18-45 age group.",TRUE,Prazosin for Disruptive Agitation in Alzheimer's Disease (AD) (PEACE-AD),"The study evaluates the effects of Prazosin on agitation in adults with Alzheimer's disease.~Two thirds of the participants will participate in the medication portion, while one third will participate in the placebo portion",All,N/A,N/A,"Inclusion Criteria:~Participants must meet all of the following criteria be included in the study:~Men and women with probable or possible AD by NINCDS-ADRDA criteria utilizing history; medical records review; physical and neurological exam; and laboratory tests (as applicable). Brain neuroimaging is not a requirement.~Participants must either reside in an LTC that is associated with the study site or at home with full-time caregiving.~Participants must have disruptive agitation significant enough to disrupt caregiving and, in the opinion of the Site Principal Investigator, to justify treatment. Disruptive agitation, defined as having any combination of the following target behaviors, must have occurred nearly daily during the previous week and at least intermittently for 4 weeks prior to screening:~irritability,~physically and/or verbally aggressive behavior,~physical resistiveness to necessary care~pressured motor activity (e.g., pressured pacing) These behaviors must be problematic in that they cause participant and caregiver distress and/or interfere with essential care or disrupt their living environment. Target behaviors may be any combination of the listed domains. Disruptive agitation must meet this threshold at Screening, documented on the Behavioral Inclusion Criteria Checklist.~Psychotropic medication, if used, should be stable for at least 2 weeks prior to randomization.~If taking cholinesterase inhibitor and/or memantine, must be on stable dose for 3 months prior t o randomization.~During the week before randomization, the above-described behaviors of eligible participants must be rated as of at least moderate severity.~Exclusion Criteria:~Participants meeting any of the following criteria must not be included in the study:~History of schizophrenia, schizoaffective disorder, or bipolar disorder according to the criteria of the most current version of the Diagnostic and Statistical Manual of Mental Disorders (DSM).~Other neurodegenerative diseases, including Parkinsons disease and Huntingtons disease, or cerebral tumor.~Dementia other than probable or possible AD per NINCDS-ADRDA criteria, such as human immunodeficiency virus (HIV) dementia, Creutzfeldt-Jakob disease, frontotemporal dementia, multiple cerebral infarctions, or normal pressure hydrocephalus.~Current treatment for seizure disorder (Note: anticonvulsants prescribed for disruptive agitation in the absence of seizure disorder will be allowed).~Abnormal laboratory values with clinical significance in the opinion of the site Principal Investigator.~Current unstable medical illness including delirium, worsening congestive heart failure, unstable angina, recent myocardial infarction (within the past 3 months), acute infectious disease, severe renal or hepatic failure, severe respiratory disease, metastatic cancer, or other conditions that, in the Site Principal Investigators opinion, could interfere with the analyses of safety and efficacy in this study.~Bedbound; participants may be ambulatory or use a wheelchair.~Absence of any comprehensible language.~Participation in another clinical trial for an investigational agent and took at least one dose of study drug (unless unblinded on placebo) within 12 weeks prior to screening. (The end of a previous investigational trial is defined as the date of the last dose of an investigational agent).~Preexisting recurrent hypotension (systolic BP <110).~If a reading of <110 systolic is measured at screening,~If the individual is taking antihypertensive medication: The Site PI should reassess the need for such medication and consider medication adjustments in consultation with the participants physician. One week following adjustment of antihypertensive(s), screening BP will be repeated for reassessment of eligibility. Further adjustment of antihypertensive medication regimen by the participants health care prescriber, may be indicated if systolic pressure remains <110. For inclusion, new systolic measurement following medication adjustment must be ≥110.~If the individual is not taking antihypertensive medication: repeat at least 3 BP measures over the course of 7-14 days. For inclusion, all three follow-up systolic measurements must be ≥110.~Any systolic reading <100 is exclusionary.~Preexisting orthostatic hypotension (>20 mmHg drop in systolic BP following 2 minutes of standing posture [or sitting if unable to stand] and accompanied by dizziness, lightheadedness, or syncope).~A 2-week washout is required prior to BL for the following exclusionary medications: prazosin or other alpha-1 blocker, sildenafil, vardenafil, tadalafil, and avanafil.~Women of childbearing potential are not included in this study. Women of non-childbearing potential are defined as any of the following:~have been postmenopausal (no menstrual cycle for past 24 months)~do not have a uterus,~have bilateral tubal ligation,~have undergone bilateral salpingectomy, and/or bilateral oophorectomy~The participant may not be an immediate family member of personnel directly affiliated with this study, the study site or funding agency. Immediate family is defined as a spouse, parent, child, or sibling, any of whom may be related by blood, adoption, or marriage.~P articipants whom the Site Principal Investigator deems to be otherwise unsuitable for participation.",1
