,nct_id,official_title,summary,criteria,conditions,Nonviable_GPT,Nonviable_quote,Review,
1,NCT02756403,A Randomized Controlled Trial of Three Prophylactic Antibiotic Regimens for First Trimester Surgical Abortion,"This study, a double blinded randomized controlled trial, is being done to compare side effects of commonly used antibiotic regimens prior to same day abortion procedures.~In total, 180 pregnant women in their first trimester of pregnancy (5 0/6-13 6/7 weeks gestation) will be randomized to receive one of the three commonly used antibiotics (azithromycin, doxycycline, metronidazole) for same day abortion procedures or placebo prior to their abortion procedure. Approximately, 30-60 mins after study drug administration, the procedure will be performed.~A sub-study will be completed on 40 women who consent to endometrial sampling and to have their blood drawn.","Inclusion Criteria:~Women in good general health.~English speaking.~Age 18 or over.~Seeking non-urgent surgical termination of pregnancy.~Gestational age of 5 0/7 to 13 6/7 weeks, confirmed by sonogram.~Exclusion Criteria:~Less than 18 years of age.~Early pregnancy failure or fetal demise.~Poor general health that would prevent one from tolerating the medication or surgical procedure.~Intolerance, allergy, or contraindication to any of the study medications.~Inability to tolerate oral intake due to current nausea or vomiting.~Diagnosis of hyperemesis gravidarum with current pregnancy.~Need of an urgent surgical abortion.~Gestational age outside of 5-13 6/7 weeks by sonogram.",first trimester abortion,1,Seeking non-urgent surgical termination of pregnancy.,1,
2,NCT04871425,Ketamine Versus Fentanyl for Surgical Abortions: A Randomized Controlled Noninferiority Trial,"Ketamine is commonly used for procedural sedation and analgesia. It is widely used for trauma cases in the emergency department and is considered a superior agent in the outpatient setting due to its lack of respiratory and cardiovascular depression. In chronic opioid users, ketamine decreases acute pain and reduces postoperative opioid consumption. Few studies have examined the use of ketamine for surgical abortions. Previous studies found significant rates of emergence phenomena; however, this can be prevented if a benzodiazepine is given at the same time. Ketamine deserves further study to determine whether it is an acceptable alternative to a standard opioid-based regimen for surgical abortion. Our primary objective is to compare patient satisfaction after surgical abortion among patients receiving IV ketamine versus IV fentanyl for procedural sedation. Our secondary objectives include postoperative pain, additional pain medication used, and postoperative opioid use after the procedure. Our hypothesis is that ketamine will provide similar patient satisfaction and reduce postoperative opioid use. This will be a randomized controlled noninferiority clinical trial of 84 women receiving either IV ketamine with IV midazolam or IV fentanyl with IV midazolam for outpatient one day surgical abortions up to 13, 6/7 weeks gestation. Both groups will receive a standardized paracervical block and additional pain medication as needed. Our study has the potential to introduce IV ketamine as a satisfactory medication for outpatient surgical abortions. Ketamine may decrease the need for IV fentanyl, reduce postoperative opioid use, and may prove to be a superior analgesic for chronic opioid users.",Inclusion Criteria:~Aged 14 years or older~Voluntarily requesting surgical pregnancy termination~Intrauterine pregnancy up to 13 weeks 6 days by transabdominal or transvaginal ultrasound performed on day of procedure~Eligible for suction curettage~English or Spanish speaking~Able and willing to give informed consent and agree to terms of the study~Exclusion Criteria:~Age less than 14 years~Reaspiration procedure or failed medication abortion~Early pregnancy loss~Alcohol use disorder or acute alcohol intoxication~Currently incarcerated~Gestational age 14 weeks or more~Requesting a specific pain regimen~Premedication with misoprostol~Contraindications or allergies to ketamine or fentanyl,"abortion in first trimester~pain, procedural~opioid use",1,Our primary objective is to compare patient satisfaction after surgical abortion among patients receiving IV ketamine versus IV fentanyl for procedural sedation.,1,
3,NCT01535053,A Phase III Randomized Trial of Pulse Actinomycin-D Versus Multi-day Methotrexate for the Treatment of Low-Risk Gestational Trophoblastic Neoplasia,"This randomized phase III trial studies how well methotrexate works compared to dactinomycin in treating patients with low-risk gestational trophoblastic neoplasia. Drugs used in chemotherapy, such as methotrexate and dactinomycin, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. It is not yet known whether methotrexate is more effective than dactinomycin in treating gestational trophoblastic disease.","Inclusion Criteria:~Patients who meet International Federation of Gynecology and Obstetrics (FIGO) stage I, II, or III criteria for low-risk gestational trophoblastic neoplasia (GTN): post molar GTN or choriocarcinoma (as defined below); patients may have had a second curettage but must still meet GTN criteria below:~Post molar GTN~For the purposes of this study, patients must have undergone evacuation of a complete or partial hydatidiform mole and then meet the criteria for GTN defined as:~A < 10% decrease in the hCG level using as a reference the first value in the series of 4 values taken over a period of 3 weeks (> 50 mIU/ml minimum) OR~A > 20% sustained rise in the hCG taking as a reference the first value in the series of 3 values taken over a period of 2 weeks (> 50 mIU/ml minimum) OR~A persistently elevated hCG level a period of 6 months or more following the initial curettage (> 50 mIU/ml minimum)~Choriocarcinoma~Histologically proven non-metastatic choriocarcinoma OR~Histologically proven metastatic choriocarcinoma if the metastatic site(s) is restricted to one (or more) of the following: vagina, parametrium, or lung~World Health Organization (WHO) risk score 0-6~Patients must be willing to practice effective contraception for the duration of the study~White blood cell count (WBC) >= 3,000 cells/mcL~Granulocytes >= 1,500/mcL~Platelets >= 100,000/mcL~Creatinine =< 2.0 mg/dcL~Bilirubin =< 1.5 x institutional normal~Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) =< 3 x institutional normal~Alkaline phosphatase =< 3 x institutional normal~Patients who have met the pre-entry requirements~Before enrolling a patient, the institution must verify the availability of an adequate supply of methotrexate for a full course of therapy~Patients must have signed an approved informed consent and authorization permitting release of personal health information~Exclusion Criteria:~Patients who do not have GTN~Patients with non-gestational choriocarcinoma~Patients who have previously been treated with cytotoxic chemotherapy; however, patients who received prior low-dose methotrexate for treatment of an ectopic pregnancy will be eligible for this study~Patients who have received prior pelvic radiation~Patients with placental-site trophoblastic tumor (PSTT) or epithelioid trophoblastic tumor (ETT)~Patients with Gynecologic Oncology Group (GOG) performance status of 3 or 4~Patients with a history of other invasive malignancies, with the exception of non-melanoma skin cancer, are excluded if there is any evidence of other malignancy being present within the last five years; patients are also excluded if their previous cancer treatment contraindicates this protocol therapy~Patients whose circumstances at the time of study entry do not permit completion of the study or required follow-up~Patients who wish to breast-feed during treatment",choriocarcinoma~figo stage i gestational trophoblastic tumor~figo stage ii gestational trophoblastic tumor~figo stage iii gestational trophoblastic tumor~hydatidiform mole,1,Patients must have undergone evacuation of a complete or partial hydatidiform mole and then meet the criteria for GTN defined as: A < 10% decrease in the hCG level using as a reference the first value in the series of 4 values taken over a period of 3 weeks (> 50 mIU/ml minimum) OR A > 20% sustained rise in the hCG taking as a reference the first value in the series of 3 values taken over a period of 2 weeks (> 50 mIU/ml minimum) OR A persistently elevated hCG level a period of 6 months or more following the initial curettage (> 50 mIU/ml minimum),1,
4,NCT01708330,NA,"When a patient requires a manual vacuum aspiration (MVA), whether for an undesired pregnancy, missed abortion, or other nonviable pregnancy, she is undergoing an emotional experience. She is grieving the loss of her pregnancy, and is then faced with the anxiety of an invasive and often painful procedure. Minimizing the pain during this procedure must not be overlooked. There have been no randomized controlled trials evaluating pain control during MVA for nonviable pregnancy, and the data is mixed regarding analgesia for MVA for an elective abortion or other office procedures.~Women being treated at the Women & Infants Triage who have experienced a first trimester missed abortion, inevitable abortion, incomplete abortion or other nonviable pregnancy and are being treated with an outpatient manual vacuum aspiration will be asked to enroll in this study. Those who wish to participate will be randomly assigned to treatment with lidocaine gel or a placebo gel applied to the cervix during their procedure.~The hypothesis is that topical lidocaine will decrease pain during manual vacuum aspiration.","Inclusion Criteria:~Patient at the Women and Infants Triage/Women's Emergency Department~Vital signs are stable~Ages 18 and older~Have a missed abortion, inevitable abortion, incomplete abortion or other nonviable pregnancy~Estimated gestational age up to 10 weeks~Undergoing MVA at the Women and Infants Triage/Women's Emergency Department~Able to read English or Spanish~Able to give informed consent for involvement in the study~Exclusion Criteria:~Allergic to lidocaine, iodine or betadine~Known sensitivity to any component of the lidocaine or placebo gel.~In acute distress~Unable to give informed consent~Unable to read English or Spanish",nonviable pregnancy,1,"Have a missed abortion, inevitable abortion, incomplete abortion or other nonviable pregnancy",1,
5,NCT01466491,Refining Paracervical Block Techniques for Pain Control in First Trimester Surgical Abortion,The purpose of this study is to determine the level of pain women experience with a surgical abortion and the effect that varying paracervical block techniques might have on that pain. These different techniques involve wait time following the injection as well as the number of sites injected.,"Inclusion Criteria:~age 18 years or older~voluntarily requesting pregnancy termination~ultrasound-confirmed intrauterine pregnancy up to 10 6/7 weeks gestational age~generally healthy~English or Spanish speaking~able or willing to sign an informed consent and agree to terms of the study~Exclusion Criteria:~gestational age over 10 6/7 weeks (due to routine use of misoprostol starting at this gestational age at the study sites)~incomplete abortion~failed medical abortion~required or requested IV sedation (prior to randomization)~patient who declines Ibuprofen, Lorazepam or PCB~medical contraindication or allergy to any of the study medications~chronic use of narcotic pain medication or heroin~significant physical or mental health condition~adnexal mass or tenderness on pelvic exam consistent with inflammatory disease~known hepatic disease~women who, in the opinion of the investigator, are not suitable for the study protocol",pain,1,The purpose of this study is to determine the level of pain women experience with a surgical abortion,1,
6,NCT00617097,Paracervical Block With Ketorolac and Lidocaine in First Trimester Surgical Abortions,"The investigators primary objective is to study the analgesic effects of combined ketorolac and lidocaine in a paracervical block compared to preoperative ibuprofen followed by intra-operative paracervical block with lidocaine alone on women undergoing first trimester surgical abortions. The investigators hypothesize that women who receive a paracervical block of combined ketorolac and lidocaine will experience less pain during the procedure based on a visual analog scale (VAS) compared to those who receive preoperative ibuprofen and a paracervical block with lidocaine alone.~This randomized, multi-site, placebo-controlled clinical trial will investigate the difference in perceived pain from first trimester surgical abortions using a paracervical block of combined ketorolac and lidocaine compared to preoperative ibuprofen and paracervical block with lidocaine alone. A total of fifty women who are seeking elective surgical abortions of intrauterine pregnancies less than 11 0/7 weeks' gestation will be recruited from Johns Hopkins Bayview Medical Center, Planned Parenthood of Maryland in Baltimore, Maryland and Planned Parenthood Columbia-Willamette in Portland, Oregon. Pain before, during, and after surgical abortion will be measured using a 100-mm VAS.~The primary outcome of interest is the mean difference in pain level from preoperative baseline to time after cervical dilation comparing the treatment groups. If the investigators see greater pain reduction associated with the paracervical block of lidocaine and ketorolac, adoption of this regimen may improve pain management during first trimester surgical abortions. If combined ketorolac and lidocaine when administered as a paracervical block is proven to be efficacious, the need for additional analgesia in first trimester surgical abortions can be minimized.","Inclusion Criteria:~age greater than or equal to 18 years~English-speaking~ability and willingness to sign the informed consent~ability and willingness to comply with the terms of the study~voluntary request for pregnancy termination~ultrasound-confirmed singleton intrauterine pregnancy with an estimated gestational age not exceeding 76 days (10 6/7 weeks) from the first day of the preceding menstrual cycle~Exclusion Criteria:~women who require or request sedation~untreated acute cervicitis or pelvic inflammatory disease~contraindications to lidocaine such as allergy to lidocaine, cardiac arrhythmia or heart block, and porphyria~allergic reaction or sensitivity to lorazepam or NSAIDs~chronic NSAID use~history of gastritis or gastric ulcer~acute renal failure or chronic renal disease~chronic liver disease~history of bleeding diathesis~chronic narcotic use~current or past history of illegal drug use (excluding marijuana)",pain~surgical abortion,1,elective surgical abortions of intrauterine pregnancies less than 11 0/7 weeks' gestation,1,
7,NCT00468299,Treatment of Early Pregnancy Failure,The purpose of this study is to compare two combinations of drugs (mifepristone and misoprostol versus placebo and misoprostol) used for medical treatment for early pregnancy failure. We will compare the two combinations of medications to see which combination makes miscarriage happen faster. We hypothesize that there will be no difference in time to complete miscarriage between the two groups.,"Inclusion Criteria:~Age >18yrs, able to read and write English~Intrauterine gestations with anembryonic sac between 10 and 45mm or~10-15mm sac with no growth in three days or other radiologic signs of abnormal pregnancy such as irregular sac or debris within the gestational sac~An embryonic pole <30mm with no cardiac activity~Exclusion Criteria:~Intrauterine gestations with CRL <5mm or >30mm without cardiac activity~Incomplete abortion as defined as open cervix and large amount of cramping/bleeding~Hemodynamic instability and/or heavy vaginal bleeding~Hemoglobin less than or equal to 8~Inability to follow-up (ie, lack of transportation or access to telephone)~Bleeding disorder or taking anticoagulants~Prior medical or surgical treatment of the current pregnancy~Obvious Infection~Active Lactation~Allergy to mifepristone or misoprostol~Chronic corticosteroid use~Severe gastrointestinal disease (e.g inflammatory bowel disease, severe gastritis)",early pregnancy failure~miscarriage~fetal demise~anembryonic pregnancy,1,The purpose of this study is to compare two combinations of drugs (mifepristone and misoprostol versus placebo and misoprostol) used for medical treatment for early pregnancy failure.,1,
8,NCT03714880,"Cervical Preparation With Mifepristone Prior to Osmotic Dilators: A Randomized, Double-blind, Placebo-controlled Pilot Study",The investigators plan to study the role of mifepristone prior to the placement of cervical osmotic dilators to evaluate if the medication helps increase the number of dilators. This may help improve safety of dilation and evacuation (D&E) procedures.,Inclusion Criteria:~A. Age ≥18 years B. Gestational age to be 18 weeks 0 days through 23 weeks 6 days on procedure date C. Signed informed procedure consent for dilation and evacuation D. Willing to sign informed consent and follow study protocol~Exclusion Criteria:~A. Allergy or known intolerance to mifepristone~B. Known contraindication to mifepristone for cervical preparation prior to dilation and evacuation:~Chronic adrenal failure or insufficiency~Concurrent use of long-term corticosteroid therapy~Inherited porphyrias~C. Any condition that in the opinion of the investigator could impede study participation or collection of study data,second trimester abortion,1,The investigators plan to study the role of mifepristone prior to the placement of cervical osmotic dilators to evaluate if the medication helps increase the number of dilators. This may help improve safety of dilation and evacuation (D&E) procedures.,1,
9,NCT04651166,Effect of Prophylactic Tranexamic Acid on Bleeding Outcomes for Dilation and Evacuation,"Prophylactic tranexamic acid has shown been shown to reduce maternal mortality from postpartum hemorrhage with no adverse effects, but has not been studied to reduce bleeding complications with dilation and evacuation (D&E). We propose a randomized, double-blinded, placebo-controlled pilot study to determine whether routine use of intravenous (IV) tranexamic acid will decrease the need for interventions to control bleeding at the time of D&E at 16 to 24 weeks gestation.","Inclusion Criteria:~Requesting pregnancy termination~Intrauterine pregnancy at 16 to 24 weeks gestation~Participants must be willing and capable of giving informed consent and able to understand and sign written consents in English.~Exclusion Criteria:~History of thromboembolic events (i.e. deep vein thrombosis, stroke, pulmonary embolism)",abortion~dilation and evacuation~hemorrhage~blood loss,1,Requesting pregnancy termination~dilation and evacuation,1,
10,NCT04254081,Addition of Buprenorphine to Paracervical Block Prior to Osmotic Dilator Insertion for Dilation and Evacuation: A Randomized Controlled Trial,"Cervical preparation with osmotic dilators is commonly used prior to dilation and evacuation (D&E) procedures to decrease the risk of complications. Women have described the pain of osmotic dilator insertion as moderate to severe yet there have been few studies aimed at addressing pain during and after osmotic dilator insertion. In addition to the discomfort during insertion, pain after osmotic dilator insertion peaks at 2 hours post-insertion with use of a lidocaine paracervical block. One randomized trial found that use of a paracervical block with 1% buffered lidocaine decreased pain with osmotic dilator insertion compared to a sham block. There are adjunct treatments to optimize analgesia with local anesthetics at a variety of anatomic locations. Buprenorphine, a partial mu-opioid receptor agonist, has been found to increase the quality of the anesthetic at the time of administration and increase the duration of nerve block analgesia at several anatomic sites, though has never been studied as an adjunct in a paracervical block. This has been used extensively in orthopedic surgery with significant prolongation of the local anesthetic effect by almost threefold in some studies.~Primary Aim: To compare the mean pain score at the time of osmotic dilator insertion among women randomized to a 1% lidocaine and buprenorphine paracervical block compared to a 1% lidocaine paracervical block alone.~Secondary Aim: To compare the mean pain score 2 hours after osmotic dilator insertion among women randomized to a lidocaine and buprenorphine paracervical block compared to a lidocaine paracervical block alone.~The investigators hypothesize that in patients undergoing osmotic dilator insertion in preparation for dilation and evacuation, the addition of buprenorphine 0.15mg to a 1% lidocaine paracervical block will be associated with lower mean pain scores at time of osmotic dilator insertion compared to women who receive a 1% lidocaine paracervical block alone.","Inclusion Criteria:~Gestational age 14 0/7 weeks to 23 6/7 weeks at time of osmotic dilator insertion~Require cervical preparation with placement of osmotic dilators~At least 18 years of age~Fluent in English or Spanish~Exclusion Criteria:~Same day dilation and evacuation procedure~Request for sedation during osmotic dilator insertion~Liver disease~Allergy to buprenorphine, lidocaine, or ibuprofen~Narcotic or opioid medication use in the preceding 24 hours~Use of recreational/illicit medications in the preceding 24 hours~Currently incarcerated","procedural pain~buprenorphine~adjuvants, anesthesia~dilation and evacuation~analgesics",1,Cervical preparation with osmotic dilators is commonly used prior to dilation and evacuation (D&E) procedures to decrease the risk of complications.,1,
