,nct_id,official_title,summary,criteria,conditions,Erectile,Erectile_summary,Erectile_quote,Review,
127,NCT01937871,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel-Design, Multicenter Study to Evaluate the Efficacy and Safety of Tadalafil Once-Daily Dosing for 12 Weeks in Men With Signs and Symptoms of Benign Prostatic Hyperplasia and Erectile Dysfunction",The purpose of this study is to see whether tadalafil can reduce the signs and symptoms in men with Erectile Dysfunction (ED) and Benign Prostatic Hyperplasia-Lower Urinary Tract Symptoms (BPH-LUTS) and improve their quality of life.,"Main Inclusion Criteria:~Present with a history of ED and signs and symptoms of BPH.~Are sexually active with an adult female partner, and expect to remain sexually active with the same adult female partner for the duration of the study.~Main Exclusion Criteria:~Current treatment with nitrates.~Prostate-specific antigen (PSA) greater than 10.0 nanogram (ng)/mL at 1st screening.~PSA greater than or equal to 4.0 to less than or equal to 10.0 ng/mL at 1st screening if prostate malignancy has not been ruled out to the satisfaction of a urologist~Suffering from other urinary disease like cancer, or infection~Serious cardiovascular disease~History of significant renal insufficiency",benign prostate hyperplasia~erectile dysfunction,1,"The trial is focused on evaluating the efficacy and safety of tadalafil in men with erectile dysfunction (ED) and benign prostatic hyperplasia (BPH), specifically aiming to reduce the signs and symptoms of ED.",The purpose of this study is to see whether tadalafil can reduce the signs and symptoms in men with Erectile Dysfunction (ED) and Benign Prostatic Hyperplasia-Lower Urinary Tract Symptoms (BPH-LUTS) and improve their quality of life.,1,
67,NCT02667938,"A Multicenter, Randomized, Double-blind, Phase 3 Clinical Trial to Evaluate the Efficacy and Safety of HCP1303 Capsules",The main objective of this study is to evaluate efficacy and safety of HCP1301 capsule in patients with Benign Prostatic Hyperplasia and Erectile Dysfunction,Inclusion Criteria:~At Visit 1~≥50 age~BPH(Benign Prostatic Hyperplasia) + Total IPSS(International Prostate Symptom Score) ≥ 13~Abnormal Erectile function ≥ at least 3months based on screening date~At Visit 2 1. Total IPSS ≥ 13~Exclusion Criteria:~History of hypersensitivity to Tamsulosin or Tadalafil~History of allergy for Sulfonamide~PSA (Prostate Specific Antigen) ≥4ng/mL,benign prostatic hyperplasia,1,"The trial is specifically focused on evaluating the efficacy and safety of HCP1301 capsules in patients who have both Benign Prostatic Hyperplasia and Erectile Dysfunction, indicating a direct focus on erectile dysfunction.",The main objective of this study is to evaluate efficacy and safety of HCP1301 capsule in patients with Benign Prostatic Hyperplasia and Erectile Dysfunction,1,
158,NCT06064448,"A Prospective, Multicenter, Randomized, Parallel and Positive Drug-controlled Clinical Study of Ningbitai Capsule in the Treatment of Chronic Pelvic Pain Syndrome With Erectile Dysfunction","Objective: The purpose of this study was to evaluate the clinical efficacy and safety of Ningmitai capsule alone or in combination with sildenafil compared with sildenafil alone in the treatment of CP/CPPS with erectile dysfunction.~Study Design: A multicenter, prospective, randomized and positive drug-controlled clinical study design was adopted.~Interventions:~① Western medicine group (sildenafil): Sildenafil citrate, 25mg/capsule, once a night, one capsule each time, for 4 weeks.~② Chinese medicine group (Ningmitai capsule): Ningmitai capsule, 0.38 g/capsule, 3 times a day, 4 capsules each time, taken after meals for 4 weeks continuously.~③ Combination group (Ningmitai capsule + sildenafil): Ningmitai capsule, 0.38 g/capsule, 3 times a day, 4 capsules each time, taken after meals; Sildenafil citrate, 25mg/capsule, once a night, one capsule each time, was taken continuously for 4 weeks.","Inclusion Criteria:~Male patients aged 20-50 years;~Have a fixed sexual partner and have a normal sexual life;~Long-term and repeated pelvic discomfort or pain (NIH-CPSI pain score ≥ 4), or accompanied by lower urinary tract symptoms (micturition score > 4), lasting more than 3 months;~Secondary patients with erectile dysfunction after normal erection or sexual intercourse, and IIEF-5 ≤ 21 points;~It accords with the main symptoms of damp-heat stagnation syndrome in traditional Chinese medicine;~Volunteer subjects and agree to sign informed consent.~Exclusion Criteria:~Those who use any antibiotics, α-receptor blockers, PDE5 inhibitors and androgens within one week;~Patients with varicocele or tumors in prostate, bladder and urethra;~Have received TURP, TUIP, bladder neck incision, transurethral hyperthermia/radiofrequency ablation/balloon dilatation, open prostatectomy, or any other prostate surgery and treatment, such as cryotherapy or hyperthermia;~Patients with severe organic ED, drug-induced and traumatic ED, abnormal development of external genitalia or abnormal sex hormone level;~Patients with severe cardiovascular and cerebrovascular diseases, liver, kidney and hematopoietic diseases and psychosis;~Those who are known to be allergic to the drugs tested in this study or some of their components",chronic prostatitis with chronic pelvic pain syndrome~erectile dysfunction,1,"This clinical trial is focused on evaluating the treatment of chronic pelvic pain syndrome (CP/CPPS) with erectile dysfunction using Ningmitai capsules and sildenafil. The primary objective explicitly includes addressing erectile dysfunction, justifying the classification.",The purpose of this study was to evaluate the clinical efficacy and safety of Ningmitai capsule alone or in combination with sildenafil compared with sildenafil alone in the treatment of CP/CPPS with erectile dysfunction.,1,
85,NCT00159809,"A Multi-Center, Flexible Dose Study With A Double-Blind, Randomized, Placebo-Controlled Phase Followed By An Open-Label Phase To Evaluate The Impact Of Treatment With Sildenafil Citrate On The Symptoms Of Depression And Quality Of Life (Qol) Of Male Patients With Erectile Dysfunction (ED)","This study will measure the impact of treatment with Viagra on the depressive symptoms and quality of life in men with erectile dysfunction who have untreated depressive symptoms meeting the DSM-IV criteria for dysthymia or depression not otherwise specified (NOS), including minor depressive symptoms but excluding any form of psychotic disorder.","Inclusion Criteria:~Men above age of majority with ED (SHIM score less than 21)~Beck Depression Inventory II score between 14 and 28~Exclusion Criteria:~Subjects with symptoms of mania or major depressive disorders as demonstrated by the Mini International Neuropsychiatric Interview (MINI)~Subjects who require treatment with antipsychotics, mood stabilizers, antidepressant agents or lithium (concomitant use of benzodiazepines is allowed) or who has required treatment with any of the above medication within the past 3 months",depression~impotence,1,"The trial is focused on evaluating the impact of sildenafil citrate (Viagra) on depressive symptoms and quality of life specifically in male patients with erectile dysfunction. The primary condition being studied is erectile dysfunction, making it relevant to erectile dysfunction or male impotence.","This study will measure the impact of treatment with Viagra on the depressive symptoms and quality of life in men with erectile dysfunction who have untreated depressive symptoms meeting the DSM-IV criteria for dysthymia or depression not otherwise specified (NOS), including minor depressive symptoms but excluding any form of psychotic disorder.",1,
92,NCT00654017,"Multicenter, Double-Blind, Randomized, Placebo-controlled Study of Flexible, Titration Dose Administered on an As Needed Basis (PRN) to Evaluate the Efficacy and the Safety of Sildenafil for the Treatment of Erectile Dysfunction in Male Patients on Hemodialysis","The study was done to evaluate the efficacy, safety, and tolerability of orally administered sildenafil taken as needed about one hour before sexual activity after a 10-week period in male outpatients with erectile dysfunction and severe renal failure who were on hemodialysis.","Inclusion Criteria:~Included patients had been in a stable relationship with a female partner for at least 6 months~A diagnosis of renal failure, with creatinine clearance ≤10 ml/min; been under hemodialysis for at least 6 months prior to the screening period, and a clinical diagnosis of erectile dysfunction (ED) as confirmed by International Index of Erectile Function (IIEF-5) score of <21 and defined as an incapacity to obtain and/or maintain an erection sufficient for a satisfactory sexual performance.~Exclusion Criteria:~Patients in regular use of nitrates or nitric oxide donor drugs, or have received a prescription to use these substances in any formulation~Patients with genital anatomic malformation that may significantly impair erection (e.g., serious penile fibrosis)~Patients with other sexual disorders (e.g., hypoactive sexual desire) considered as a primary diagnosis, with a coexisting ED diagnosis, including patients receiving anti-androgenic therapy whose libido has not been preserved; patients receiving hormonal replacement therapy for at least 6 months, or whose dose has not been stabilized within the last 6 months before the study screening period~Patients with diabetes mellitus presenting poor control of their diabetes and/or proliferate diabetes retinopathy.",erectile disfunction~hemodialysis,1,"This trial is focused on evaluating the efficacy, safety, and tolerability of sildenafil specifically for the treatment of erectile dysfunction in male patients who are on hemodialysis. The primary condition being studied is erectile dysfunction, as confirmed by the inclusion criteria and the purpose of the study.","The study was done to evaluate the efficacy, safety, and tolerability of orally administered sildenafil taken as needed about one hour before sexual activity after a 10-week period in male outpatients with erectile dysfunction and severe renal failure who were on hemodialysis.",1,
2,NCT01160289,A Study of LY900010 (LY2452473 + Tadalafil) in the Treatment of Men With Erectile Dysfunction,The primary purpose of the study is to compare the efficacy of LY2452473 + tadalafil to tadalafil alone in improving the erectile function (EF) of men with erectile dysfunction (ED) who incompletely respond to tadalafil alone.,"Inclusion Criteria include:~Ambulatory men~History of erectile dysfunction of at least 3 months duration~History of incomplete response to any phosphodiesterase type 5 inhibitor (PDE5i) at the maximum tolerated dose within the label~Anticipate having the same female sexual partner throughout the duration of the study~Are willing and able to make at least 4 sexual intercourse attempts with the female sexual partner during each 4-week segment of the study~Agree to use birth control during the study and for 60 days after the study, unless the female partner is postmenopausal~Agree not to use any other erectile dysfunction treatment, including herbal treatment, during the study and for 96 hours after the last dose of study drug~Screening laboratory tests within normal limits except for testosterone~Without a language barrier, are reliable and willing to follow study procedures~Prostate-specific antigen (PSA) less than 10 nanograms per milliliter (ng/ml). Men with PSA greater than 4 and less than 10 ng/ml must have documentation of a negative histological biopsy of carcinoma of prostate within 12 months prior to screening~Exclusion Criteria include:~History of penile implant~History of no response to injection therapy for erectile dysfunction~History of radical prostatectomy or other pelvic surgery with subsequent failure to achieve any erection~Exhibit the presence of clinically significant penile deformity in the opinion of the investigator~History of prior sexual legal convictions~Bilateral hip replacements~History of cancer within the previous 5 years, except for excised superficial lesions such as basal cell carcinoma and squamous cell carcinoma of the skin~Chronic stable angina currently treated with long-acting nitrates~Chronic stable angina requiring treatment with short-acting nitrates within 90 days prior to screening~Angina occurring during sexual intercourse in the 6 months prior to screening~Unstable angina within 6 months prior to screening~Myocardial infarction or coronary artery bypass graft surgery within 90 days prior to screening~Angioplasty or stent placement within 90 days prior to screening~Congestive heart failure within 6 months prior to screening~History of sudden cardiac arrest~Supraventricular arrhythmia with an uncontrolled ventricular response at rest, or any history of spontaneous or induced sustained ventricular tachycardia, or use an automatic internal cardioverter-defibrillator~An abnormality in the 12-lead electrocardiogram (ECG) that in the opinion of the investigator places the subject in an unacceptable risk for study participation~Systolic blood pressure greater than 170 or less than 90 millimeters of mercury (mm Hg) or diastolic blood pressure greater than 100 or less than 50 mm Hg at screening~Hepatic, renal, human immunodeficiency virus (HIV), or clinically significant active neuropsychiatric disease~History of central nervous system injuries (including stroke or spinal cord injury) within 6 months prior to screening~Alcohol intake of 5 units or greater per day (1 unit = 12 ounces beer, 5 ounces wine, or 1.5 ounces of 80-proof distilled spirits)~Receiving treatment with antiandrogens or 5-alpha reductase inhibitor~Anabolic steroids, calcitonin, oral bisphosphonates, Vitamin D greater than 50,000 international units per week (IU/week), dehydroepiandrosterone (DHEA), steroidal supplements, nutritional products intended to have weight reduction or performance enhancing effects, herbal supplements within 7 days prior to screening~Currently treated with a potent cytochrome P450 (CYP) 3A4 inhibitor, such as systemic ketoconazole or ritonavir, or a CYP3A4 inducer such as rifampicin",erectile dysfunction,1,The study is focused on improving erectile function in men with erectile dysfunction who have an incomplete response to tadalafil alone. The primary purpose explicitly mentions erectile dysfunction and the intervention aims to address this condition.,The primary purpose of the study is to compare the efficacy of LY2452473 + tadalafil to tadalafil alone in improving the erectile function (EF) of men with erectile dysfunction (ED) who incompletely respond to tadalafil alone.,1,
4,NCT01705197,"A Double-blind, Stratified Randomization, Placebo Controlled, Parallel Group, Multicenter, Dose Escalation Study to Evaluate the Efficacy and Safety of Avanafil in Subjects With Moderate to Severe Erectile Dysfunction in Korea.","The objective of this study is to evaluate the safety and efficacy of Avanafil in the treatment of erectile dysfunction with moderate to severe in subjects. And, this is to additionally confirm the efficacy and safety after initiating treatment with Avanafil 100mg and later increasing to 200mg, compared with continuing treatment with Avanafile 100mg, in subjects.","Inclusion Criteria:~Male patients over 20 years old with a history of erectile dysfunction for at least 6 months prior to participation in the study~Patients in a stable relationship with 1 female partner~Patients whose sex partner is not in pregnancy or lactating, and is taking proper contraceptive~Patients who have voluntarily decided to participate in this clinical trial, and signed the informed consent form~Patients whose failure rate for sexual intercourse is more than 50% after attempts of sexual intercourse on more than 3 different days (once/day) at least during the 4-week Free run-in period~Patients whose EF domain score is less than 18 points (moderate to severe erectile dysfunction) in the IIEF questionnaire after the 4-week Free run-in period~Exclusion Criteria:~Patients who have a spinal injury or have had a radical prostatectomy~Patients with anatomical malformations of the penis (example: angulation, fibrosis of corpus cavernosum, peyronies disease, etc.)~Patients who had surgery in the pelvic cavity within 6 months prior to participation in the study~Patients with neurogenic or endocrine (example: hyperprolactinemia, low testosterone, etc.) ED~Hyperprolactinemia: Serum prolactin ≥ 3 X ULN~Low testosterone: Total testosterone is less than the normal lower limit(testosterone is susceptible to daily changes, so enrollment is permitted after retesting before 11 am, only limited to once, when the number is 20% less than the normal lower limit.)~Patients with a major refractory psychiatric disorder (including major depression or schizophrenia) or significant neurological abnormalities (neurovascular disease)~Patients with alcohol addiction or persistent abuse of drugs of dependence~Patients with hepatic dysfunction or renal dysfunction as per the following:~Hepatic dysfunction: AST, ALT ≥ 3 X ULN~Renal dysfunction: Serum creatinine > 2.0mg/dL~Diabetic patients whose HbA1c exceeds 12%~Patients with proliferative diabetic retinopathy~Patients who have had a stroke, TIA(Transient ischemic attack), MI(Myocardial Infarction) or fatal arrhythmia, or severe heart failure, unstable angina or who underwent coronary artery bypass grafting (CABG) within the last 6 months prior to participation in the study~Patients with hypotension (resting SBP/DBP in the sitting position is less than 90/50mmHg) or unregulated hypertension (resting SBP/DBP in the sitting position exceeds 170/100mmHg)~Patients with hematopathy, which can be a predisposition to priapism (sickle-cell disease, multiple myeloma, leukemia)~Patients with a known genetically degenerative retinopathy, including retinitis pigmentosa~Patients who have had experience with avanafil, viagra, cialis, levitra, yaila, zydena, mvix or other ED treatment within 2 weeks from participation in the study~Patients administered with the following medications:~Nitrate/Nitric oxide (NO) donors (example: nitroglycerin, isosorbide mononitrate, amyl nitrate/nitrite, sodium nitroprusside)~Androgens (example: testosterone), anti-androgen, trazodone~Anticoagulant (antiplatelet agents excluded)~Agents that significantly affect the CYP450 3A4 intermediary metabolism, such as erythromycin, intraconazol, ketoconazol, cimetidine, ritonavir, saquinavir, amprenavir, indinavir, and nelfinavir, etc.~Patients who have had a history of hypersensitivity to other PDE-5 inhibitors or who have not responded to them~Patients with primary hyposexuality~Patients who have taken other investigational products within 4 weeks before the study~For other reasons besides the aforementioned cases, patient whose participation is deemed inappropriate due to clinically significant findings according to the medical decision of the principal investigator or the study personnel",erectile dysfunction,1,The trial is focused on evaluating the safety and efficacy of Avanafil specifically for the treatment of moderate to severe erectile dysfunction in male subjects.,The objective of this study is to evaluate the safety and efficacy of Avanafil in the treatment of erectile dysfunction with moderate to severe in subjects.,1,
6,NCT02850718,A Pivotal Study of the Bioequivalence of Oral Viagra® and a Test Sublingual Sildenafil Wafer,A comparative bioequivalence study in 48 healthy male volunteers of oral Viagra and a test sublingual sildenafil wafer.,"Inclusion Criteria:~Voluntarily provides signed, written, and dated informed consent prior to any study-specific procedures.~Healthy male volunteers aged 18-50 years inclusive.~In good general health without clinically significant haematological, cardiac, respiratory, renal, endocrine, gastrointestinal, psychiatric, hepatic, or malignant disease, as determined by the Principal Investigator.~Sufficient access for venous cannulation to withdraw blood as per the study design.~Body mass index (BMI) of ≥19 to ≤ 30kg/m2 (inclusive).~Participant is deemed able to read and understand English in order to communicate with research staff and complete protocol required questionnaires and forms.~Able to refrain from smoking while at the research unit.~Exclusion Criteria:~Past history of hypersensitivity to sildenafil, any of its excipients, or severe allergic or anaphylactic reaction to any other drug.~A medical condition that, in the opinion of the Investigator, may adversely impact the participant's ability to complete the study, including but not limited to:~History of priapism;~History of easy fainting or symptomatic postural hypotension;~Standing or supine systolic blood pressure < 90mmHg or diastolic blood pressure < 50mm Hg or postural drop of >30mm Hg;~History of myocardial infarction or clinically significant cardiac disease including cardiac arrhythmia;~History of retinitis pigmentosa or optic neuropathy or other risk factors of non-arteritic anterior ischaemic optic neuropathy (NAION);~History or evidence of hypertension - defined as three BP readings (at rest) within 15 minutes of systolic blood pressure ≥140 mm Hg or diastolic blood pressure ≥90 mmHg. Note: serial blood pressure readings are only required if the initial reading is elevated;~Anaemia (haemoglobin < lower limit of normal for sex).~Clinically significant 12-lead ECG abnormalities at the screening visit as determined by the Investigator.~Concomitant consumption of any other medication regularly, with the exception of vitamins or minerals.~Consumption of drugs with either enzyme-inducing properties, such as rifampicin and St John's Wort, within 3 weeks prior to the initial dose of study drug and throughout the treatment phase or CYP3A4 inhibitors, such as erythromycin and clarithromycin, within 5 half-lives prior to the initial dose of study drug and throughout the treatment phase.~Previous known or suspected drug abuse (including analgesic drugs or tranquilizers) or dependence, as defined by DSM-IV, or history of alcohol abuse or excessive intake of alcohol, defined as regular weekly intake of >15 units for men and >10 units for women (1 unit= 25ml spirits,125ml wine, 250ml beer or lager).~Positive results on the urine drug screen indicative of illicit drug abuse or inconsistent with medication history, or alcohol breath test indicative of alcohol abuse.~History of hepatitis B or C, or other forms of non-infectious liver disease.~Clinically significant abnormalities in clinical chemistry, haematology, urinalysis, or serology results at screening that, in the opinion of the Investigator, puts the volunteer at risk for study participation.~Clinically significant plasma AST, ALT and ALP tests (defined as ≥1.5 times the upper limit of normal).~Positive serology for human immunodeficiency virus (HIV), hepatitis B virus (HBV) or hepatitis C virus (HCV) infection at screening.~Prevalent abnormality in the oral cavity which may alter sublingual drug absorption (e.g. recurrent oral ulceration, lichen planus, or xerostomia).~Any other condition which, in the opinion of the Investigator, makes the volunteer unsuitable for the study.~Unwillingness or inability to comply with the requirements of this protocol, including the presence of any condition (physical, mental, or social) that is likely to affect the participant's ability to return for follow up visits on schedule.~Member or relative of study staff or the Sponsor directly involved in the study.~Previous participation in this study.~Has received another investigational agent or new chemical entity (defined as a compound which has not been approved for marketing) within 30 days prior to the Screening visit.",erectile dysfunction,1,"The trial is focused on comparing the bioequivalence of oral Viagra and a sublingual sildenafil wafer, both of which are used to treat erectile dysfunction.",A Pivotal Study of the Bioequivalence of Oral Viagra® and a Test Sublingual Sildenafil Wafer,1,
9,NCT01774864,Phase 3 Study to Evaluate the Efficacy and Safety of Once-a-day Dosing of Udenafil in the Treatment of Erectile Dysfunction,"Study Design : multi-center, double-blind, placebo-controlled, randomized,~parallel group, fixed dose design~Phase : Phase III",Inclusion Criteria:~Male patients aged 20 years or more diagnosed with ED~Exclusion Criteria:~Had uncontrolled blood pressure~Had hepatic or renal dysfunction~Was currently under anticancer chemotherapy~Had a treatments for ED using other PDE-5 inhibitors,erectile dysfunction,1,"The trial is focused on evaluating the efficacy and safety of Udenafil specifically for the treatment of erectile dysfunction, as indicated by the study title and inclusion criteria.",Phase 3 Study to Evaluate the Efficacy and Safety of Once-a-day Dosing of Udenafil in the Treatment of Erectile Dysfunction,1,
10,NCT01130532,"Tadalafil Once Daily Following As-Needed Phosphodiesterase Type 5 Inhibitor Treatment, an Assessment of Return to Normal Erectile Function",The purpose of this trial is to evaluate if treatment with tadalafil once daily will allow men to return to normal erectile function in those who did not have normal erectile function following as-needed (PRN) Phosphodiesterase Type 5 (PDE5) Inhibitor treatment.,"Inclusion Criteria:~At least a 3-month history of erectile dysfunction (ED).~Are able to read, understand and provide signed informed consent.~Have an International Index of Erectile Function-Erectile Function (IIEF-EF) domain score that is greater than or equal to 17 and less than 26 at screening.~Have been taking a maximum dose of sildenafil citrate (100 milligram [mg]), vardenafil (20 mg), or tadalafil (20 mg) on as needed basis for at least one month prior to screening.~Anticipate having the same female sexual partner during the study who is willing to participate in the required number of sexual intercourse attempts and complete study measures during the study.~Agree to make at least four sexual intercourse attempts during both the 4-week as needed run-in period and the 4-week non-drug run-in period.~Agree not to use any other erectile dysfunction (ED) treatment, including herbal therapy during the 4-week non-drug, run-in, the double-blind treatment period, the open label period and for 96 hours after the end of the study.~Partner Inclusion Criteria:~Are female and at least 18 years of age at screening.~Anticipate having the same male study subject as her sexual partner during the study.~Able to read, understand and provide signed informed consent.~Agree to make the required number of sexual intercourse attempts with the male sexual study partner during the study.~Willing to participate in recording responses to the treatment satisfaction scale.~Exclusion Criteria:~Have an IIEF-EF domain score of greater than or equal to 26 at screening.~Prior ineffective treatment with (or nonresponder to) any PDE5 Inhibitor~Have previously used or are currently using any PDE5 inhibitor once daily.~Present with ED caused by other primary disorders or ED caused by untreated/inadequately treated endocrine disease.~Partner unwilling to complete all study requirements.~History of radical prostatectomy or other pelvic surgery or penile implant, or a clinically significant penile deformity, in the opinion of the investigator~Exhibit evidence of clinically significant renal insufficiency or hepatobiliary disease, or significant cardiac history as determined by the investigator~Currently receive treatment with nitrates, cancer chemotherapy, or antiandrogens~Have previously completed or withdrawn from this study or any other study investigating tadalafil for once-daily use.",erectile dysfunction,1,This trial is focused on evaluating the effectiveness of tadalafil once daily in restoring normal erectile function in men who have erectile dysfunction and did not achieve normal erectile function with as-needed PDE5 inhibitor treatment.,The purpose of this trial is to evaluate if treatment with tadalafil once daily will allow men to return to normal erectile function in those who did not have normal erectile function following as-needed (PRN) Phosphodiesterase Type 5 (PDE5) Inhibitor treatment.,1,
