"","nct_id","post_year","official_title","summary","criteria","conditions","Fertility","Fertility_summary","Fertility_quote"
"1","NCT01638767",2012,"Effect of Using the Nuvaring on the Level of Satisfaction, Stress on Users and on Coordinating In Vitro Fertilization (IVF) Cycles: Randomized Public Study","Presently, a long protocol in an In Vitro Fertilization (IVF) cycle, patients need to take Marvelon, a drug that inhibits the follicular development at the beginning of the cycle in order to better control and also plan the onset of the ovary stimulation with gonadotropin.~Marvelon is taken daily as soon as menstruation starts for a period of 14 to 21 days. Ideally, it has to be taken at the same time everyday and not be forgotten. This may cause higher stress level for some users. Presently on the market, there is a ring-shaped contraceptive device inserted in the vagina at day 1 of the cycle called NuvaRing. The purpose of this device is similar to an oral contraceptive. However, the benefit of NuvaRing is that it can be left in place for a period of up to 35 days without any other manipulation and keep an adequate rate of hormone for contraception. Moreover, NuvaRing shows better hormone stability in the blood. Although the side effects and the benefits are comparable for the two treatments, some studies have shown that more patients would respect the treatment with NuvaRing and that the level of satisfaction would be higher in women using NuvaRing when contraception is needed.~The purpose of the study is to compare the rate of satisfaction as well as the level of stress in women using Marvelon daily or NuvaRing with single insertion in a long protocol. Moreover, this study allow us to verify if using NuvaRing, a vaginal contraceptive releasing constant daily doses for up to 35 days will allow us to facilitate the planning of In Vitro Fertilization cycles in long protocol.","Inclusion Criteria:~Signed consent form~Age 18 or above at the time of selection~In Vitro Fertilization referral~Complete and normal pre-In Vitro Fertilization check-up~Long protocol prescription~No previous participation in the project during a previous cycle~Exclusion Criteria:~Simultaneous participation in another interventional research project~Contraindications of being pregnant or carrying a pregnancy to full term~Contraindications of taking standard medication for long protocol~Contraindications of taking Marvelon or using NuvaRing (Uncontrolled high blood pressure, uncontrolled diabetes, active hepatic infection, benign or malignant hepatic tumors, diagnosed breast cancer, diagnosed or suspected estrogen-dependant neoplasia, ocular or suspected lesion, history of thrombophlebitis, cardiac arrest, coronary heart disease.)~Patient presenting vaginal abnormalities could be unable to insert the NuvaRing~Cervicitis, vaginitis, erosio portionis bleeding, cervical prolapse, cystocele, rectocele, severe or chronic constipation, dyspareunia or other problems with sexual intercourse~Patient having received research medication 30 days before visit 1~Patient is unable to communicate adequately with researchers~Patient is incapable of giving informed consent~Any ovarian or abdominal abnormalities could interfere with an adequate sonographic evaluation~Use of the following medication:~Clonidine~Anticoagulants (before the anovulant pre-treatment)~Anticonvulsants~Oral or insulin hypoglycemia drugs~Hypertension drugs (beta blockers)~Aminocaproic acid~Beta mimetics (isoproterenol)~Prednisone~Ciclosporin~Meperidine~Phenothiazine and reserpine~Chlordiazepoxide, Lorazepam, Oxazepam, Diazepam (during the anovulant pre-treatment)~Theophylline~Clomipramine~Vitamin B12~Hypericum perforatum-based products","infertility",1,"The study focuses on comparing satisfaction and stress levels in women using different contraceptive methods to facilitate the planning of In Vitro Fertilization (IVF) cycles. The participants are specifically those referred for IVF, indicating that the study is related to interventions promoting fertility and conception.","The purpose of the study is to compare the rate of satisfaction as well as the level of stress in women using Marvelon daily or NuvaRing with single insertion in a long protocol. Moreover, this study allow us to verify if using NuvaRing, a vaginal contraceptive releasing constant daily doses for up to 35 days will allow us to facilitate the planning of In Vitro Fertilization cycles in long protocol."
"2","NCT01669291",2012,"Effect of GnRH Antagonist Protocol vs Agonist Long Protocol During Controlled Hyperstimulation (COH)for Assisted Reproduction on IVF Outcome, Peak Estradiol Level, and Duration of Stimulation.","The purpose of this study is to determine if utilizing GnRH antagonists versus agonist long protocol during controlled ovarian stimulation (COH) with human-derived gonadotropins for assisted reproduction affects IVF outcome, peak estradiol level, and duration of stimulation.","Inclusion Criteria:~Ages 21-40 (inclusive up to 41)~Day 2-4 FSH < or equal to 10~Antimullerian Hormone (AMH) greater than or equal to 1.0~Between 5 and 20 antral follicles on day 2-4~Body Mass Index (BMI)>or equal to 18 and < or equal to 32~Exclusion Criteria:~Smokers~Polycystic Ovarian Disease~Endometriosis greater than Stage I~Testicular aspirated sperm","fertility",1,"The study investigates the effects of different protocols during controlled ovarian stimulation for assisted reproduction, specifically focusing on IVF outcomes. This directly relates to interventions promoting fertility and conception.","The purpose of this study is to determine if utilizing GnRH antagonists versus agonist long protocol during controlled ovarian stimulation (COH) with human-derived gonadotropins for assisted reproduction affects IVF outcome, peak estradiol level, and duration of stimulation."
"3","NCT02738580",2016,"Analysis of Follicular Steroid Synthesis During Controlled Ovarian Stimulation With Recombinant FSH vs HMG in GnRH Antagonist Cycles","Serum concentrations of the different hormones involved in follicular steroid genesis during a cycle of controlled ovarian stimulation with recombinant FSH or HMG will be compared in this study. Serum Progesterone (P) levels at the end of Controlled Ovarian Stimulation (i.e. the day of triggering) have been related to cycle outcome, in terms of ongoing pregnancy and live birth rates. Large cohort studies show that P levels above a certain threshold are associated with poorer cycle outcome. The mechanisms behind P elevation are not well understood yet. It has been shown that P levels are positively related to ovarian response and to the dose of FSH given during COS. Furthermore, it has been well documented that P levels at the end of stimulation are significantly higher when recombinant (r) FSH is used for COS when compared to HMG, either in a GnRH agonist long protocol or in a GnRH antagonist protocol. Some authors suggest that this finding is explained by the fact that COS with rFSH provides a higher oocyte yield than when hMG is given, so the higher P levels observed would be explained by the larger number of follicles developed when rFSH is used. On the other hand, other authors explain this event by a different follicular esteroidogenesis when HMG is used for COS compared to rFSH The hypotheisis behind this assumption is that rFSH enhances P synthesis from its precursor pregnenolone in the granulosa cells. This P is unable to be further metabolized into androgens because of the lack of 17-20 lyase in the human granulosa cells, and therefore is delivered into circulation. On the other hand, when HMG is given for COS, the ∆4 pathway is promoted, and pregnenolone will be catabolized in to Dehidroepiandrostenodione (DHEA), in the theca cells, and this one to Androstenodione, which will be finally aromatized in to estrogens. This mechanism will explain the lower P and higher E2 levels observed in HMG cycles in comparison to rFSH cycles.","Inclusion Criteria:~Good physical and psychological condition~Normal menstrual cycle (25-35 days)~Normal ovarian reserve defined by serum ANH010-30 pMol/L~All other criteria to fulfill by oocyte donors~Exclusion Criteria:~Kidney failure~Ovarian Polyquistic syndrome~Any systemic or metabolic disfunction that counter indicates the use of gonadotrophins~Any other reason that involves exclusion of the oocyte donation program","infertility~controlled ovarian hyperstimulation",1,"The study focuses on controlled ovarian stimulation (COS) with recombinant FSH or HMG, which is a key part of assisted reproductive techniques such as in vitro fertilization (IVF). The participants are involved in oocyte donation, which is directly related to fertility treatments.","Analysis of Follicular Steroid Synthesis During Controlled Ovarian Stimulation With Recombinant FSH vs HMG in GnRH Antagonist Cycles"
"4","NCT02510534",2015,"A Prospective Randomized Trial to Study the Effect of Luteal Progesterone Support on Pregnancy Rates in Combined Clomiphene Citrate and Gonadotropin Ovulation Induction Protocol With Intrauterine Insemination.","To determine the difference in clinical pregnancy rates with and without luteal progesterone support in a young reproductive aged population having undergone ovulation induction with combined clomiphene citrate and gonadotropin protocol with intrauterine insemination.","Inclusion Criteria:~Age 18-37~BMI 19-34 kg/m2~Day 2-3 Follicle stimulating hormone (FSH) less than 10IU/mL~Estradiol (E2) less than 80 pg/mL~Anti-mullerian hormone (AMH) more than 1.5 ng/mL; or antral follicle count (AFC) up to 10~Two patent fallopian tubes confirmed by hysterosalpingogram (HSG) or chromopertubation~Normal uterine cavity confirmed by HSG, saline sonohysterogram (SIS) or hysteroscopy~Exclusion Criteria:~Severe male factor (total count less than 10 million sperm)~Systemic diseases not limited to diabetes~Pregnancy within 3 months~More than 1 prior cycle of gonadotropin treatment~Any ovarian cyst >15mm that has persisted for > 1 month~Endometrioma and/or Endometriosis-stage III or IV~Submucosal uterine fibroids; untreated endometrial polyps >1 cm;abnormal reproductive tract bleeding~Intolerance or allergy to study drug~Substance abuse (including alcohol and tobacco)~History of chemotherapy (except for gestational conditions) or radiotherapy~Minors and those adults not capable of consenting on their own","pregnancy",1,"The study focuses on evaluating pregnancy rates in women undergoing ovulation induction and intrauterine insemination, which are interventions directly related to promoting fertility and conception.","To determine the difference in clinical pregnancy rates with and without luteal progesterone support in a young reproductive aged population having undergone ovulation induction with combined clomiphene citrate and gonadotropin protocol with intrauterine insemination."
"5","NCT02458768",2015,"A Multicenter, Randomized, Open Label, Parallel Study to Evaluate the Efficacy & Safety of s.c. Administration of IVF-M HP Inj. Versus Menopur® Inj. in Infertility Women Undergoing Controlled Ovarian Hyperstimulation for Assisted Reproductive Technologies (ART) Such as in Vitro Fertilization-embryo Transfer (IVF-ET)","The objective of this study was to demonstrate the non-inferiority of IVFM HP Inj. by evaluating its efficacy versus Menopur® Inj. in infertility women undergoing the in vitro fertilization and embryo transfer (IVF-ET) among the assisted reproductive technologies.","Inclusion Criteria:~Adult women from 20 through 39 years of age at the screening~Subjects with the mean menstrual cycle day (MCD) of 25 to 35 days~Subjects with the Follicle Stimulating Hormone (FSH) concentration at the screening not exceeding the upper limit of the normal range (ULN)~Those diagnosed with infertility due to at least one of the following causes of infertility~Fallopian tubal factor~Infertility due to unknown cause~Male infertility~Complex factor~Subjects with the normal ovarian and uterine function~Subjects with not more than 3 times of the prior experience of in vitro fertilization~Subjects who had neither administered clomiphene citrate within 30 days nor gonadotropin within 14 days of the IP administration day~Subjects who were informed on the objective, method and effect etc. of the clinical study and signed the informed consent form~Exclusion Criteria:~Subjects contraindicated to pregnancy~Subjects with BMI > 30 (BMI; kg/m2)~Subjects diagnosed with polycystic ovary syndrome (PCOS)~Subjects who had experienced previously at least Grade 4 ovarian hyperstimulation syndrome (OHSS)~Subjects with poor response to gonadotropin (According to the Bologna criteria* below) *At least two of the following three features must be present:~① Advanced maternal age (>=40 years) or any other risk factor for Poor Ovarian Response (POR)~② A previous POR (<=3 oocyte with a conventional stimulation protocol)~③ An abnormal ovarian reserve test (i.e. Antral follicle Count (AFC) < 5 follicles or Anti-Mullerian hormone (AMH) < 0.5 ng/ml)~Those with abnormal metrorrhagia due to unknown cause at the screening~Subjects with submucosal uterine leiomyoma~Subjects with at least borderline ovarian tumor~Subjects with a history or malignant tumor in breast~Subjects with hydrosalpinx not removed by operation~Subjects with the Thyroid Stimulating Hormone (TSH) level out of the normal range at the screening~Subjects with a history of malignant tumor within 5 years prior to the screening~Subjects with severe disease potentially affecting the study such as pituitary insufficiency upon the investigator's judgment (e.g., heart failure, renal failure, hepatic failure or adrenal insufficiency etc.)~Subject with HIV- or syphilis-positive result at the screening~Subjects with a psychiatric disorder at the screening or those who failed in understanding the objective and method of this clinical study~Subject diagnosed with alcohol or drug abuse within 3 months prior to the screening~Subjects with a history of hypersensitivity to the investigational products of this clinical study~Subjects with a current or history of thromboembolism in vein or artery~Subjects with a history of genetic problems such as galactose intolerance, Lapp lactase deficiency or glucose-galactose malabsorption etc.~Subjects who had participated in another clinical study related to a drug administration after the enrollment in this study or who had participated in another clinical study within 3 months prior to the enrollment in this study~Others including the subjects for whom it was considered difficult to conduct this clinical study upon the principal investigator's judgment","infertility, female",1,"This study focuses on evaluating the efficacy and safety of two medications in women undergoing in vitro fertilization and embryo transfer (IVF-ET), which are assisted reproductive technologies used to treat infertility. The participants are women diagnosed with infertility and are undergoing controlled ovarian hyperstimulation as part of their fertility treatment.","The objective of this study was to demonstrate the non-inferiority of IVFM HP Inj. by evaluating its efficacy versus Menopur® Inj. in infertility women undergoing the in vitro fertilization and embryo transfer (IVF-ET) among the assisted reproductive technologies."
"6","NCT01079949",2010,"Lutropin Alfa (Luveris®) in Mid Follicular Phase for Controlled Ovarian Stimulation (COS) in Advanced Reproductive Age: Phase II Clinical Trial","Ovarian reserve is related to chronological age; 35 years of age is the accepted threshold for significant decline in assisted reproductive technologies (ART) success with scarce follicular recruitment and poor oocyte retrieval. New therapeutic schemes are sought to improve follicular response in ovarian ageing because of the increasing number of infertile women aged older than 35 years who are trying to get pregnant. The advent of gonadotropin releasing hormone analogue antagonist (GnRHant) offers new perspectives to address the issues related to advanced reproductive age since it prevents premature luteinizing hormone (LH) surges while not causing suppression in the early follicular phase. Gonadotropin releasing hormone analogue antagonists are administered in the latter stage of the ovarian stimulation to prevent LH surge by competitive blockade of gonadotropin releasing hormone (GnRH) receptors, thus producing a marked decrease in LH levels just when the interplay between follicle stimulating hormone (FSH) and LH becomes important to complete follicular development and oocyte competence. Some studies in the past have shown the potential of recombinant human LH (r-hLH) supplementation in women of advanced reproductive age to improve oocyte quality, but these studies are of small size and did not provide data on the physiological mechanism behind the benefit obtained.~This randomized, comparative, parallel controlled Phase II study will be conducted in infertile female subjects aged 35-42 years undergoing in-vitro fertilization (IVF)/intra cytoplasmic sperm injection (ICSI), to investigate whether the addition of r-hLH (when the lead follicle is greater than [>] 14 millimeter [mm] in size), to the standard protocol with recombinant human FSH (r-hFSH) under GnRHant, improves the number and quality of oocytes retrieved, implantation rate, and pregnancy rate, while assessing the hormonal milieu in the ovarian follicular fluid. Comparison will be performed against ovarian stimulation without addition of r-hLH, that is (i.e.) with r-hFSH under GnRHant alone.","Inclusion Criteria:~Premenopausal woman, aged 35 to 42 years wanting to become pregnant~Subjects with FSH baseline plasma levels less than or equal to 10 IU/L (Day 2-5 of the cycle) and with LH and E2 levels within the normal limits of the local laboratory~Subjects having regular spontaneous menstrual cycle lasting 25-35 days~Subjects with infertility that is susceptible to treatment with IVF/ICSI~Subjects to be included in a COS protocol with r-hFSH and GnRHant~Subjects with partner's sperm suitable for IVF/ICSI according to local laboratory, unless sperm donor is to be used~Subjects with both ovaries~Subjects with uterine cavity capable of sustaining the implantation of embryo or carrying a pregnancy~Subjects with normal pap smear (papanicolaou) 6 months prior to be included in the study (signature of informed consent)~Subjects with body mass index (BMI) less than (<) 30 at the beginning of ovarian stimulation~Subjects with confirmed absence of pregnancy with the beta-hCG test (urine or blood) before starting the administration of r-hFSH~Subjects willing to adjust to the protocol for the entire duration of the study~Subjects who have given informed consent prior to any study-related procedure that is not part of normal medical care~Exclusion Criteria:~Subjects or her partner with known positivity for human immunodeficiency virus (HIV) or Hepatitis-B /Hepatitis-C virus (HBV/HCV)~Subjects with any systemic illnesses of clinical significance, hypothalamus and pituitary tumors; cancer of ovaries, uterus or breast; hormonal anomalies and/or medical, biochemical, hematological illnesses that, according to the investigator, could interfere with the treatment with gonadotropins~Subjects with more than 2 previous ART cycles~Subjects who have cancelled two previous ART cycles~Subjects with frozen embryos from previous ART cycles~Subjects with non-specific gynecological bleeding~Subjects with ovaries that are polycystic, increased in size or with cysts of unknown etiology~Subjects with any contraindication for becoming pregnant and/or carrying pregnancy to term~Subjects with known allergy to gonadotropin preparations or any of the excipients~Subjects with drug dependence or history of drug or alcohol abuse in the previous 5 years~Subjects who have previously entered into this study or simultaneous participation in another clinical drug trial with drugs~Subjects who are unwilling to or not being able to adjust to the study protocol","infertility~ovulation induction",1,"The study focuses on infertile women aged 35-42 undergoing IVF/ICSI, aiming to improve oocyte quality and pregnancy rates through the addition of r-hLH to the standard ovarian stimulation protocol. This directly relates to interventions promoting fertility and conception.","This randomized, comparative, parallel controlled Phase II study will be conducted in infertile female subjects aged 35-42 years undergoing in-vitro fertilization (IVF)/intra cytoplasmic sperm injection (ICSI), to investigate whether the addition of r-hLH (when the lead follicle is greater than [>] 14 millimeter [mm] in size), to the standard protocol with recombinant human FSH (r-hFSH) under GnRHant, improves the number and quality of oocytes retrieved, implantation rate, and pregnancy rate, while assessing the hormonal milieu in the ovarian follicular fluid."
"7","NCT01075815",2010,"Exploratory Study to Determine the Effect of Lutropin Alfa on Embryo Quality and Their Implantation in Women of Advanced Reproductive Age","This is a multicentric, open, randomized, comparative trial aimed to assess the influence of recombinant luteinizing hormone (r-LH) supplementation during controlled ovarian stimulation (COS) in advanced reproductive age in terms of improved embryo competence which allows to transfer less embryos to avoid high grade multiple pregnancy without reducing the pregnancy rate.","Inclusion Criteria:~Pre-menopausal female subject aged greater than (>) 35 years~Subjects with baseline FSH serum level less than or equal to (<=) 10 IU/liter (l), LH and E2 levels within local normal range and plasma prolactin levels < 30 nanogram/milliliter (ng/ml)~Subjects with regular spontaneous menstrual cycles of 25-35 days~Subjects with infertility justifying IVF/ICSI-ET treatment~Subjects programmed for COS with r-FSH under GnRH agonist protocol~Sperm from current male partner suitable for IVF/ICSI according to local lab, unless sperm donor is foreseen~Subjects with presence of both ovaries~Subjects whose uterine cavity is able to sustain embryo implantation or pregnancy~Subjects with normal papanicolaou test (PAP) smear within previous 3 years~Subjects with body mass index (BMI) < 30 at stimulation start~Subjects who receive confirmation of not being pregnant by a negative beta-hCG test (urine or blood) prior to starting r-FSH administration~Subjects willing and able to comply with the protocol for the duration of the study~Subjects who have given informed consent prior to any study-related procedure not part of normal medical care~Exclusion Criteria:~Subjects or her male partners who are known to be human immunodeficiency virus, hepatitis B virus or hepatitis C virus positive~Subjects with any clinically significant systemic disease; tumors of the hypothalamus and pituitary gland; ovarian, uterine or mammary cancer; hormonal abnormality and/or medical, biochemical, hematological condition which in the judgment of the investigator may interfere with gonadotropin treatment~Subjects with more than 2 previous assisted reproductive technologies (ART) cycles~Subjects in which previous cycles were cancelled due to poor response (< 3 antral follicles after 15 day of stimulation)~Subjects with cryopreserved embryos from previous ART cycles~Subjects with unexplained gynecological bleeding~Subjects with polycystic ovaries, ovarian enlargement or cyst of unknown etiology~Subjects known to have any contraindication to being pregnant and/or carrying pregnancy to term~Subjects with known allergy to gonadotrophin preparations or any of the excipients~Subjects known to have any active substance abuse or history of drug, medication or alcohol abuse in the past 5 years~Subjects with previous entry into this study or simultaneous participation in another clinical drug trial~Subjects who have refused to or inability to comply with the protocol","infertility~ovulation induction",1,"The study focuses on women of advanced reproductive age undergoing controlled ovarian stimulation (COS) with the aim of improving embryo competence for IVF/ICSI-ET treatment. The inclusion criteria specifically mention subjects with infertility justifying IVF/ICSI-ET treatment, indicating that the trial is related to interventions promoting fertility and conception.","Subjects with infertility justifying IVF/ICSI-ET treatment"
"8","NCT01718119",2012,"Phase III Clinical Trial Comparing the Efficacy and Safety of DA-3803(Recombinant Human Chorionic Gonadotrophin) and Ovidrel for Inducting Final Follicular Maturation and Early Luteinization in Women Undergoing Ovulation","The purpose of this study is to compare the efficacy and safety of DA-3803(r-hCG) and Ovidrel for inducting final follicular maturation and early luteinization in women undergoing ovulation induction for assisted reproduction treatment","Inclusion Criteria:~Infertility regular ovulatory menstrual cycles : 25~35days~BMI<=30kg/m2~Early follicular phase serum levels are normal : FSH, LH, prolactin, testosterone~Both ovaries present and clinically normal uterine cavity~< 3 previous ART cycles, no ART cycles for 2 menstrual cycles~semen analysis and ART are possible~informed couple consent~Exclusion Criteria:~With a poor response to gonadotrophin stimulation, such as ≤3 oocytes collected in any previous ART cycle~Had previous severe ovarian hyperstimulation syndrome(OHSS)~Polycystic ovarian syndrome(PCOS)~Extra-uterine pregnancy within the last 3 months~A clinically significant uncontrolled endocrine diseases, chronic cardiovascular disorders, hepatic, pulmonary and renal diseases~Known allergy,hypersensitivity or contraindication to FSH, hCG, progesterone and GnRH antagonists~medication with human gonadotrophin preparations(FSH, LH, hCG) within 2 months~participation in another clinical trial within 1 month","hyperovulation induction for assisted reproduction treatment",1,"This study focuses on comparing the efficacy and safety of two drugs for inducing final follicular maturation and early luteinization in women undergoing ovulation induction as part of assisted reproduction treatment. The inclusion criteria specify that participants are women with infertility issues, making this study directly related to fertility and conception.","The purpose of this study is to compare the efficacy and safety of DA-3803(r-hCG) and Ovidrel for inducting final follicular maturation and early luteinization in women undergoing ovulation induction for assisted reproduction treatment"
"9","NCT01497197",2011,"A Phase IIIb, Interventional, Multicentre, Multinational, Randomised, Open-label Trial to Compare the Efficacy and Safety of Ovarian Stimulation With GONAL-f® and Luveris® Starting on Day 1 vs. Day 6 in Women Between 36 and 42 Years of Age Undergoing Assisted Reproductive Technique (ART)","This is a phase IIIb, interventional, multicenter, multinational, randomised, open-label, comparative trial which primary objective is to generate data on the ovarian stimulation profile obtained when Luveris® is started either on Day 1 or Day 6 in women in advanced reproductive age (36-42) undergoing Assisted Reproductive Technique (ART).","Inclusion Criteria:~Should be a female subject justifying an In Vitro Fertilization/Embryo transfer (IVF)/ET treatment~Should be between 36th and 42nd birthday (both included) at the time of the randomization visit~Have early follicular phase (day 2-4) serum level of basal FSH <= 12 IU/L measured in the center's local laboratory during the screening period (i.e. within 2 months prior to down regulation start)~Have a regular spontaneous ovulatory menstrual cycle between 21 and 35 days in length~Presence of both ovaries~Normal uterine cavity, which in the investigator's opinion is compatible with Pregnancy~Have a negative cervical Papanicolaou (PAP or smear) test within the last 6 months prior to randomization~Have at least one wash-out cycle (defined as >=30 days since the last dose of clomiphene citrate or gonadotrophin treatment) since the last ART cycle and/or clomiphene citrate or gonadotrophin treatment prior to starting GnRH agonist therapy~Be willing and able to comply with the protocol for the duration of the trial~Have given written informed consent, prior to any trial-related procedure not part of normal medical care, with the understanding that consent may be withdrawn by the subject at any time without prejudice to her future medical care~Have a male partner with semen analysis within the past 6 months prior to randomization considered adequate to proceed with regular insemination or intra-cytoplasmic sperm injection (ICSI) according to the center's standard practice~Exclusion Criteria:~Had 2 (or more) previous ART cycles with a poor response to gonadotrophin stimulation defined as 6 (or less) mature follicles and/or 4 (or less) oocytes collected in any previous IVF cycle or previous cycles with a hyper response defined as 25 (or more) oocytes retrieved~Any medical condition, which in the judgment of the investigator may interfere with the absorption, distribution, metabolism or excretion of the drug. In case of doubt, the subject in question should be discussed with Merck Serono's Medical responsible~Had previous severe ovarian hyperstimulation syndrome (OHSS)~Polycystic ovary syndrome (PCOS; Rotterdam criteria) to reduce the risk of the occurrence of OHSS~Presence of endometriosis requiring treatment~Uterine myoma requiring treatment~Any contraindication to being pregnant and/or carrying a pregnancy to term~Extra-uterine pregnancy within the last 3 months prior to screening~History of 3 or more miscarriages (early or late miscarriages) due to any cause~Tumours of the hypothalamus and pituitary gland~Ovarian enlargement or cyst of unknown etiology~Ovarian, uterine or mammary cancer~A clinically significant systemic disease~Known infection with Human Immunodeficiency Virus (HIV), Hepatitis B or C virus in the trial subject or her male partner~Abnormal gynecological bleeding of undetermined origin~Known allergy or hypersensitivity to human gonadotrophin preparations~Any active substance abuse or history of drug, medication or alcohol abuse in the past 5 years prior to the screening visit~Entered previously into this trial or simultaneous participation in another clinical trial~Pregnancy and lactation period~Participation in another clinical trial within the past 30 days","infertility~fertility~follicle stimulating hormone deficiency",1,"The trial studies ovarian stimulation in women undergoing Assisted Reproductive Technique (ART), specifically In Vitro Fertilization (IVF) or Embryo Transfer (ET), which are interventions related to infertility and promoting conception.","Should be a female subject justifying an In Vitro Fertilization/Embryo transfer (IVF)/ET treatment"
"10","NCT01225835",2010,"Effect of Highly Purified Menotrophin and Recombinant Follicle Stimulating (rFSH, Follitrophin Alpha) in Subfertile Female Patients Undergoing IVF on Progesterone Serum Levels During the Follicular Phase and Their Possible Use as Predictors for the Success Rate of Ongoing Pregnancies","This study is aimed to demonstrate that highly purified Menotrophin produces significant lower progesterone serum levels during the follicular phase in comparison to Follitropin alpha in the treatment of subfertile females undergoing an in vitro fertilisation (IVF) and to investigate if the progesterone serum levels might be a useful predictor for the success rate of the ongoing pregnancy rates","Inclusion Criteria:~Signed informed consent~Subfertile premenopausal female patients eligible for in vitro fertilisation (IVF) treatment~Aged ≥34 and ≤42 years~Body mass index of >18 and <28 kg/m^2~Normal pelvic ultrasound at Screening~No more than two previous gonadotrophin stimulated cycles of IVF or intracytoplasmic sperm injection (ICSI) in the history of infertility treatment (gonadotrophin stimulated cycles not used for IVF or ICSI do not count; Clomifen cycles are no exclusion criterion)~At least 3 consecutive ovulatory menstrual cycles of 24-35 days~No fertility stimulating drugs at all~Sperm of partner classified as normal according to World Health Organisation (WHO) 2010 criteria~Clinically normal baseline haematology, clinical chemistry, and urinalysis values~Negative serum Hepatitis B Surface Antigen (HBsAg), Hepatitis C Virus (HCV) and Human Immunodeficiency Virus (HIV) antibody tests within the last 6 months prior to Screening~Endocrine test results within the clinically normal limits at Screening~Exclusion Criteria:~Presence of any clinically relevant systemic disease (e.g., insulin-dependent diabetes mellitus)~A history of or current endocrine disease (excluding treated hypothyreosis), including polycystic ovary syndrome (PCOS) and hyperprolactinaemia~A history of coagulation disorders~Persistent ovarian cysts (>3 months)~A history of hypersensitivity to any of the constituents of the study medication or related compounds~Diagnosed poor (<3 oocytes) responders to prior gonadotrophin stimulated ART-cycle~History of severe ovarian hyperstimulation syndrome in former gonadotrophin stimulated assisted reproductive technology (ART)-cycle","infertility",1,"The study focuses on subfertile female patients undergoing in vitro fertilization (IVF), which is a direct intervention related to promoting fertility and conception.","This study is aimed to demonstrate that highly purified Menotrophin produces significant lower progesterone serum levels during the follicular phase in comparison to Follitropin alpha in the treatment of subfertile females undergoing an in vitro fertilisation (IVF)"
