"","nct_id","post_year","official_title","summary","criteria","conditions","Fertility","Fertility_summary","Fertility_quote"
"1","NCT06100432",2023,"Effect of Eurycoma Longifolia (DLBS5055) and Multivitamins (Vitamin C+Vitamin E+ β-carotene) on Sperm Parameters and Reproductive Hormones of Infertile Males in Yogyakarta, Indonesia","Infertility is defined as the inability of a couple to get pregnant after one year of regular and unprotected sexual intercourse. Although it is not a life-threatening condition, infertile couple often suffer from mental health issues, including depression and low self-esteem that may impact their Quality of Life (QoL). Male factors contribute to a half of the underlying causes of infertility and semen analysis play a vital role in investigation of the fertility status of the male partners. By performing semen analysis, we could predict the chance of a couple to conceive.~Male infertility treatments include surgery, hormonal treatment and also assisted reproductive techniques, such as intra uterine insemination and in vitro fertilization that may lead to a financial burden for infertile couple. For facing this issue, traditional or herbal medicine and antioxidants are often be used as an alternative way by many infertile couples. One of the traditional medicines used in Indonesia and other Southeast-Asia Countries for infertility cases is Eurycoma longifolia or Pasak Bumi.~Based on previous studies in animals, Eurycoma longifolia could improve Testosterone and may improve sperm parameters, even though there are very few studies in human including in Indonesia. Antioxidants (multivitamins) are also routinely given to the infertile men as they could protect sperm damages from oxidative stress and may in advanced improve sperm quantity and quality. Our study aims to compare the effect of Eurycoma longifolia, Multivitamins and the combination on sperm parameters and also reproductive hormones of the infertile males.","Inclusion Criteria:~Male with idiopathic infertility~Age 20-45 years~Married and try to conceive.~Being registered with the Indonesian Social Health Insurance Administration Body (BPJS).~Has sperm concentration more than 5 million per mL.~Has testosterone level between 350-600 ng/dl.~Withdraw from any antioxidant treatment for at least 14 days before the enrollment of the study.~Able to understand and provide Informed Consent~Exclusion Criteria:~Has a varicocele and other metabolic diseases such as diabetes mellitus.~Has a history of surgery or injury in the genital region.~Has a history of acute and chronic inflammatory diseases.~Has a known allergy to any ingredients of the active or placebo material of the tested drugs (Eurycoma longifolia, Vitamin C, Vitamin E and Beta-carotene).~Has a history of hormonal therapy in the last 6 months.~Consumes any herbal or traditional medicine.~Consumes any medicine contains steroid.","male infertility",1,"The study is directly related to fertility as it investigates the effects of Eurycoma longifolia and multivitamins on sperm parameters and reproductive hormones in infertile males.","Our study aims to compare the effect of Eurycoma longifolia, Multivitamins and the combination on sperm parameters and also reproductive hormones of the infertile males."
"2","NCT01532414",2012,"A Randomized, Double Blind, Placebo Controlled Multi-Center Phase III Study to Evaluate Normalization of Morning Testosterone Levels in Overweight Men With Acquired Hypogonadotropic Hypogonadism and Normal Sperm Concentration","The purpose of ZA-301 is to determine the effects of Androxal on morning testosterone and reproductive status in younger overweight men with acquired hypogonadotropic hypogonadism (confirmed morning T<300 ng/dL) and normal sperm concentration, compared to changes with placebo. Subjects must not have previously been treated with testosterone products within the last 6 months.","Inclusion Criteria:~Overweight (BMI 25 to 42 kg/m2 inclusive) males age 18 to 60 inclusive~All clinical laboratory tests within normal ranges (any clinically significant deviation of laboratory results will require approval of sponsor)~Previously or concurrently diagnosed as having secondary hypogonadism characterized as having 2 consecutive morning testosterone assessments < 300ng/dL, one of which must be confirmed at Baseline.~LH < 9.4 mIU/mL (at Visit 1 only)~Sperm count ≥ 15 million per milliliter (assessed twice at least 48 hours apart)~Ability to complete the study in compliance with the protocol~Ability to understand and provide written informed consent~Agreement to provide a total of up to 6 semen sample in a sponsor-approved clinic on up to 6 separate occasions.~Exclusion Criteria:~Any prior use of testosterone treatments within the last 6 months~Use of spironolactone, cimetidine, Clomid, 5α-reductase inhibitors, hCG, androgen, estrogen, anabolic steroid, DHEA, or herbal hormone products during the study~Use of Clomid in the past year~Uncontrolled hypertension or diabetes mellitus based on the Investigator's assessment at baseline. Subjects treated for Type II diabetes will be allowed into the study. Newly diagnosed diabetics need to be treated for at least 48 hours before being enrolled in the study.~Clinically significant abnormal findings at Screening (Visit 1) or Baseline, based on the Investigator's assessment~A hematocrit >54% or a hemoglobin >17 g/dL (sponsor may approve enrollment of subjects with hemoglobin up to 17.5 g/dL if the subject is at a location with a high elevation)~Use of an investigational drug or product, or participation in a drug or medical device research study within 30 days prior to receiving study medication.~Known hypersensitivity to Clomid~Symptomatic cataracts (nuclear sclerosis cataract or cortical cataract grade > 2 based on 0-4 scale or any trace of posterior subcapsular cataract)~Abnormal fundoscopy exam such as central retinal vein occlusion~Any condition which in the opinion of the investigator would interfere with the participant's ability to provide informed consent, comply with study instructions, possibly confound interpretation of study results, or endanger the participant if he took part in the study~Irreversibly infertile or compromised fertility (cryptorchism, Kallman Syndrome, primary hypogonadism, vasectomy, or tumors of the pituitary)~Current or history of breast cancer~Current or history of prostate cancer or a suspicion of prostate disease unless ruled out by prostate biopsy, or a PSA>3.6~Presence or history of known hyperprolactinemia with or without a tumor~Chronic use of medications such as glucocorticoids~History of drug abuse or chronic narcotic use including methadone~A recent history of alcoholism or illegal substance or steroid abuse (<2 years) or presence of moderate alcohol use (>21 drinks per week)~Subjects with known history of HIV and/or Hepatitis C~Subjects with end stage renal disease~History of liver disease (including malignancy) or a confirmed AST or ALT >3 times the upper limit of normal~History of myocardial infarction, unstable angina, symptomatic heart failure, ventricular dysrhythmia or know history of QTc interval prolongation~History of cerebrovascular disease~History of venous thromboembolic disease (e.g. deep vein thrombosis or pulmonary embolism)~History of erythrocytosis or polycythemia~Subjects with cystic fibrosis (mutation of the CFTR gene)~Subjects unable to provide a semen sample in a sponsor-approved clinic~Enrollment in a previous Androxal study","secondary hypogonadism",1,"The study is directly related to fertility as it aims to evaluate the effects of Androxal on reproductive status, specifically in men with normal sperm concentration and hypogonadotropic hypogonadism.","The purpose of ZA-301 is to determine the effects of Androxal on morning testosterone and reproductive status in younger overweight men with acquired hypogonadotropic hypogonadism (confirmed morning T<300 ng/dL) and normal sperm concentration, compared to changes with placebo."
"3","NCT00706719",2008,"A Randomized, Open-Label, Fixed Dose, Active-Control, Multi-Center Phase IIB Study to Evaluate Fertility in Men With Secondary Hypogonadism, Comparing Androxal® to a Topical Testosterone in Men Previously Treated With Topical Testosterone.","The study was designed to determine if Androxal® would affect sperm parameters (count, concentration, volume) in men with secondary hypogonadism who have been previously treated with topical testosterone.","Inclusion Criteria:~Healthy adult males between 21 and 60 years of age who have been diagnosed with AIHH.~Subjects must have been treated with a topical testosterone replacement therapy (typically AndroGel® or Testim®) for at least 6 months at enrollment and for not more than 2 years.~Exclusion Criteria:~A history of idiopathic infertility due to primary hypogonadism, testicular failure, Kallmann's syndrome or any other infertility condition.~Subjects demonstrating any clinically significant medical condition rendering the subjects infertile or marginally fertile other than AIHH.~Men with a history of, known, or suspected prostate disease not ruled out by a prostate biopsy, or a prostate specific antigen (PSA)>3.6 or clinical suspicion of current prostate disease.~Men with a hematocrit in excess of 50 % or hemoglobin >17 g/dl","secondary hypogonadism",1,"The study directly investigates the impact of Androxal® on sperm parameters, which are critical factors in male fertility. Therefore, it is directly related to fertility.","The study was designed to determine if Androxal® would affect sperm parameters (count, concentration, volume) in men with secondary hypogonadism who have been previously treated with topical testosterone."
"4","NCT00839319",2009,"Manipulation of the Intratesticular Hormonal Milieu With Exogenous Testosterone (Short Title (HOP-3)","The purpose of this investigational study is to determine how much male hormone, testosterone, is necessary to maintain sperm production in the testis. This knowledge will be used to help in the development of a safe male hormonal contraception.","Inclusion Criteria:~Males age 18-50~Normal serum testosterone, LH and FSH~PSA < 4.0~Agrees not to donate blood or participate in another research study during the study~Informed consent~In general good health based on normal screening evaluation (consisting of a medical history, physical exam, normal sperm count, normal serum chemistry and hematology)~Must be willing to use a reliable form of contraception during the study~Exclusion Criteria:~Oligospermia (sperm count < 15 million/mL after 48 hours of abstinence) and/or abnormal motility or morphology.~Participation in a long-term male contraceptive study within the past three months~History of testosterone or anabolic steroid abuse in the past~Poor general health with significantly abnormal blood results~History of or current testicular disease~History of a bleeding disorder or need for anticoagulation~History of sleep apnea and/or major psychiatric problems~BMI > 32~Subjects with a skin condition that might interfere or be exacerbated by testosterone gel use~Subject's with alcohol or drug use","healthy males",1,"The study is directly related to fertility as it aims to determine the amount of testosterone needed to maintain sperm production, which is a key aspect of male fertility.","The purpose of this investigational study is to determine how much male hormone, testosterone, is necessary to maintain sperm production in the testis."
"5","NCT01904734",2013,"A Comparison of Clomiphene Citrate Responses in Men With Hypothalamic Hypogonadism naïve to, and Previously Treated With, Testosterone","This study aims to explore whether men with low testosterone levels, due to altered brain regulation of male hormone function, who have been previously treated with testosterone, respond as well as men who have not been so treated to clomiphene citrate, an agent commonly used for female infertility that has been shown to improve male hormone secretion in some cases.","Inclusion Criteria:~Patient or eligible for care at Phoenix VA Health Care System~Male ages 30-70 years~testosterone level below 250 ng/dl before treatment~able to provide informed written consent~Exclusion Criteria:~evidence of pituitary tumor >1mm by MRI or CAT scan~chronic illness (renal, cardiac, liver failure)~Prostate specific antigen (PSA) >4.0 ng/ml~history of prostate, breast, or testicular cancer~eye disease compromising vision (e.g. cataracts)","hypogonadism, male",1,"The study investigates the use of clomiphene citrate, a drug commonly used for infertility, to improve male hormone secretion, which is directly related to male fertility.","clomiphene citrate, an agent commonly used for female infertility that has been shown to improve male hormone secretion in some cases"
"6","NCT01993212",2013,NA,"This is a Randomized, Double Blind, Placebo-Controlled, Multi-Center Phase III Study in Men with Acquired Hypogonadotropic Hypogonadism to Compare Changes in Testosterone and Sperm Concentration Following Treatment with the 12.5 mg or 25 mg Androxal or AndroGel 1.62%.","Inclusion Criteria:~Overweight (BMI 25 to 42 kg/m2 inclusive) males age 18 to 60 inclusive~Previously or concurrently diagnosed as having secondary hypogonadism characterized as having at least 2 consecutive morning testosterone assessments < 300ng/dL, one of which must be confirmed at Baseline.~LH < 9.4 mIU/mL (at Visit 1 only)~Sperm concentration ≥ 15 million per milliliter (assessed at V2 and Baseline). V2 and Baseline measurements must be at least 48 hours apart.~Ability to complete the study in compliance with the protocol~Ability to understand and provide written informed consent~Agreement to provide a total of at least 4 semen samples in a sponsor-approved clinic on 4 separate occasions.~Exclusion Criteria:~Any prior use of testosterone treatments (injectable, pelleted, transdermal or sublingual) within the last 6 months~Use of spironolactone, cimetidine, Clomid, 5α-reductase inhibitors, hCG, androgen, estrogen, anabolic steroid, DHEA, or herbal hormone products during the study~Use of Clomid in the past year~Any clinically significant laboratory abnormality that does not have prior written sponsor approval. If the sponsor approves subject enrollment, this will not be considered to be a protocol deviation.~Uncontrolled hypertension or diabetes mellitus based on the Investigator's assessment at baseline. Subjects treated for Type II diabetes will be allowed into the study, if considered clinically stable by the investigator. Newly diagnosed diabetics need to be treated for at least 48 hours before being enrolled in the study.~A hematocrit >54~Use of an investigational drug or product, or participation in a drug or medical device research study within 30 days prior to receiving study medication.~Known hypersensitivity to Clomid~Symptomatic cataracts (nuclear sclerosis cataract or cortical cataract grade > 2 based on 0-4 scale or any evidence of posterior subcapsular cataract)~Abnormal fundoscopy exam such as central retinal vein occlusion~Any condition which in the opinion of the investigator would interfere with the participant's ability to provide informed consent, comply with study instructions, possibly confound interpretation of study results, or endanger the participant if he took part in the study~Have received a diagnosis of irreversible infertility or compromised fertility (cryptorchism, Kallman Syndrome, primary hypogonadism, vasectomy, or tumors of the pituitary), or history of evaluation or treatment for low fertility~Current or history of breast cancer~Current or history of prostate cancer or a suspicion of prostate disease unless ruled out by prostate biopsy, or a PSA>3.6~Presence or history of known hyperprolactinemia with or without a tumor (prolactin > 20 ng/mL).~Chronic use of medications such as glucocorticoids (chronic use of inhaled or topical glucocorticoids is acceptable)~History of drug abuse or chronic narcotic use including methadone~A recent history of alcoholism or illegal substance or steroid abuse (<2 years) or presence of moderate alcohol use (>21 drinks per week)~Subjects with known history of HIV and/or Hepatitis C~Subjects with end stage renal disease~History of liver disease (including malignancy) or a confirmed AST or ALT >3 times the upper limit of normal~History of clinically relevant myocardial infarction (within the previous year), unstable angina, symptomatic heart failure, ventricular dysrhythmia or know history of QTc interval prolongation~History of clinically relevant cerebrovascular disease~History of venous thromboembolic disease (e.g. deep vein thrombosis or pulmonary embolism)~History of erythrocytosis or polycythemia~Subjects unable to provide a semen sample in a sponsor-approved clinic~Enrollment in a previous Androxal study~Subjects who have Type I Diabetes","secondary hypogonadism",1,"The study is directly related to fertility as it aims to compare changes in testosterone and sperm concentration in men with acquired hypogonadotropic hypogonadism.","This is a Randomized, Double Blind, Placebo-Controlled, Multi-Center Phase III Study in Men with Acquired Hypogonadotropic Hypogonadism to Compare Changes in Testosterone and Sperm Concentration Following Treatment with the 12.5 mg or 25 mg Androxal or AndroGel 1.62%."
"7","NCT01993225",2013,NA,"This is a Randomized, Double Blind, Placebo-Controlled, Multi-Center Phase III Study in Men with Acquired Hypogonadotropic Hypogonadism to Compare Changes in Testosterone and Sperm Concentration Following Treatment with 12.5 mg or 25 mg Androxal or AndroGel 1.62%.","Inclusion Criteria:~Overweight (BMI 25 to 42 kg/m2 inclusive) males age 18 to 60 inclusive~Previously or concurrently diagnosed as having secondary hypogonadism characterized as having at least 2 consecutive morning testosterone assessments < 300ng/dL, one of which must be confirmed at Baseline.~LH < 9.4 mIU/mL (at Visit 1 only)~Sperm concentration ≥ 15 million per milliliter (assessed at V2 and Baseline). V2 and Baseline measurements must be at least 48 hours apart.~Ability to complete the study in compliance with the protocol~Ability to understand and provide written informed consent~Agreement to provide a total of at least 4 semen samples in a sponsor-approved clinic on 4 separate occasions.~Exclusion Criteria:~Any prior use of testosterone treatments (injectable, pelleted, transdermal or sublingual) within the last 6 months~Use of spironolactone, cimetidine, Clomid, 5α-reductase inhibitors, hCG, androgen, estrogen, anabolic steroid, DHEA, or herbal hormone products during the study~Use of Clomid in the past year~Any clinically significant laboratory abnormality that does not have prior written sponsor approval. If the sponsor approves subject enrollment, this will not be considered to be a protocol deviation.~Uncontrolled hypertension or diabetes mellitus based on the Investigator's assessment at baseline. Subjects treated for Type II diabetes will be allowed into the study, if considered clinically stable by the investigator. Newly diagnosed diabetics need to be treated for at least 48 hours before being enrolled in the study.~A hematocrit >54~Use of an investigational drug or product, or participation in a drug or medical device research study within 30 days prior to receiving study medication.~Known hypersensitivity to Clomid~Symptomatic cataracts (nuclear sclerosis cataract or cortical cataract grade > 2 based on 0-4 scale or any evidence of posterior subcapsular cataract)~Abnormal fundoscopy exam such as central retinal vein occlusion~Any condition which in the opinion of the investigator would interfere with the participant's ability to provide informed consent, comply with study instructions, possibly confound interpretation of study results, or endanger the participant if he took part in the study~Have received a diagnosis of irreversible infertility or compromised fertility (cryptorchism, Kallman Syndrome, primary hypogonadism, vasectomy, or tumors of the pituitary), or history of evaluation or treatment for low fertility~Current or history of breast cancer~Current or history of prostate cancer or a suspicion of prostate disease unless ruled out by prostate biopsy, or a PSA>3.6~Presence or history of known hyperprolactinemia with or without a tumor (prolactin > 20 ng/mL).~Chronic use of medications such as glucocorticoids (chronic use of inhaled or topical glucocorticoids is acceptable)~History of drug abuse or chronic narcotic use including methadone~A recent history of alcoholism or illegal substance or steroid abuse (<2 years) or presence of moderate alcohol use (>21 drinks per week)~Subjects with known history of HIV and/or Hepatitis C~Subjects with end stage renal disease~History of liver disease (including malignancy) or a confirmed AST or ALT >3 times the upper limit of normal~History of clinically relevant myocardial infarction (within the previous year), unstable angina, symptomatic heart failure, ventricular dysrhythmia or know history of QTc interval prolongation~History of clinically relevant cerebrovascular disease~History of venous thromboembolic disease (e.g. deep vein thrombosis or pulmonary embolism)~History of erythrocytosis or polycythemia~Subjects unable to provide a semen sample in a sponsor-approved clinic~Enrollment in a previous Androxal study~Subjects who have Type I Diabetes","secondary hypogonadism",1,"The study is directly related to fertility as it aims to compare changes in sperm concentration following treatment, which is a key aspect of male fertility.","This is a Randomized, Double Blind, Placebo-Controlled, Multi-Center Phase III Study in Men with Acquired Hypogonadotropic Hypogonadism to Compare Changes in Testosterone and Sperm Concentration Following Treatment with 12.5 mg or 25 mg Androxal or AndroGel 1.62%."
"8","NCT05585931",2022,"Evaluate the Acute Effects of a Single Oral Dose of TPN171H on Semen Function in Healthy Male Subjects in China","This study is a phaseⅠstudy to determine the acute effects of TPN171H on semen function in healthy male subjects.","Inclusion Criteria:~Male aged 18~40years (included)~Body Mass Index of 19 to 28 kg/m2; Body weight no less than 50 kg;~Sperm concentration ≥15*10^6/ml, Sperm motility(a+b(%))≥32%, Semen volume ≥1.5 ml, Liquefaction time≤60 min~Sperm sample should be collected after a minimum of 2 days and a maximum of 7 days of sexual abstinence.~Take reliable contraceptive measures~Physical examination, vital signs examination, laboratory examination, ECG were normal or abnormal without clinical significance;~Be able to understand and willing to sign the Informed Consent Form;~Exclusion Criteria:~People with azoospermia, teratozoospermia, moderate-to-severe asthenozoospermia, and moderate-to-severe oligozoospermia and other abnormal semen disease~People with vasectomy and ligation~People who have a history of hypersensitivity to other PDE5 inhibitors or TPN171H;~There are clear diseases of the central nervous system, cardiovascular system, digestive system (including those with severe fatty liver in B-ultrasound examination), respiratory system, urinary system, blood system, metabolic disorders, etc. and require medical intervention or other unsuitable clinical trials Those with tested diseases (such as history of mental illness, etc.); those with a history of orthostatic hypotension;~Blurred vision or a history of the following ocular diseases: nonvascular anterior ischemic optic neuropathy (NAION), abnormal color vision, hereditary retinal degeneration (such as retinitis pigmentosa), macular degeneration;~A history of fainting needles or fainting blood;~Blood loss or blood donation of 400 mL or more within 3 months before administration;~Those who have taken any prescription drugs, over-the-counter drugs, Chinese herbal medicines or health care products within 2 weeks before administration~those who have participated in other drug clinical trials and received trial drugs within 3 months before~Positive results of alcohol breath test, or current/previous alcoholics (drinking more than 21 standard units per week. 1 standard unit contains 14 g of alcohol, such as 360 mL of beer or 45 mL of 40% spirits or 150 mL wine);~Urine drug screening positive；~Smoking more than 10 cigarettes per day ；~Those who are positive for hepatitis B surface antigen (HBsAg), HCV antibody, syphilis antibody and HIV antibody;~he investigator believes that there are other factors that are not suitable for participating in this trial.","erectile dysfunction",1,"The study is directly related to fertility as it aims to evaluate the effects of TPN171H on semen function, which is a critical aspect of male fertility.","This study is a phaseⅠstudy to determine the acute effects of TPN171H on semen function in healthy male subjects."
"9","NCT03527043",2018,"Assessing the Impact of Escitalopram on Sperm DNA Fragmentation: A Randomized Placebo Controlled","Double-blind placebo-controlled randomized trial of daily escitalopram for 6 weeks in healthy men with normal semen analyses and no psychiatric history of depression, bipolar, mania or suicidal ideation. Hormone profiles, semen analysis, sperm DNA fragmentation, and sexual function will be measured at baseline, after 6 weeks of therapy, and 4 weeks after discontinuation of therapy (10 weeks into study).","Inclusion Criteria:~Normal semen analyses, or semen analyses with at least 5 million sperm~Normal TUNEL value (<7%)~Willing to engage in at least weekly sexual activity, with a partner or alone for the duration of the 10-week study~Exclusion Criteria:~Azoospermia or severe oligospermia (<5million sperm per semen analysis)~Presently attempting to conceive pregnancy~Sexual dysfunction preventing ability to provide semen analysis throughout study or engage in weekly sexual activity~Current psychiatric disorder including: bipolar, mania, depression, generalized anxiety, social phobia, panic attacks, obsessive compulsive disorder, and schizophrenia.~Family history of bipolar disorder, or suicide (including 2nd degree relatives)~Present use of psychotropic agents (prescription or herbal) or anticonvulsants~Use of sleeping pills~Alcohol consumption greater that 2oz/day~Use of illicit drugs~Inability to read, follow instructions or complete questionnaires in English.~Use of hormonal medications in past 3 months (androgens, androgen blockade, anabolic steroids, estrogens, herbal)~Use of medications to enhance sexual function~History of chemotherapy or pelvic radiation~Use of Monoamine Oxidase inhibitors (MAOi's) or tricyclic antidepressants (TCAs) within 14 days~Liver disease","sperm dna fragmentation~infertility, male",1,"The study is directly related to fertility as it investigates the impact of escitalopram on sperm DNA fragmentation, which is a key factor in male fertility.","Assessing the Impact of Escitalopram on Sperm DNA Fragmentation"
"10","NCT03926195",2019,"A Randomized, Double-blind, Placebo-controlled Phase 2 Study to Evaluate the Effect of Filgotinib on Semen Parameters in Adult Males With Active Rheumatoid Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis or Non-radiographic Axial Spondyloarthritis","The primary objective of this study is to evaluate the effect of filgotinib on semen parameters in adult males with active rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, or non-radiographic axial spondyloarthritis.~Results of this study may be pooled with the results of a separate study being conducted in participants with inflammatory bowel disease (Protocol GS-US-418-4279; NCT03201445) with the same objective.","Key Inclusion Criteria:~Diagnosis of active rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis or, non-radiographic axial spondyloarthritis for at least 12 weeks prior to screening, meeting the corresponding specific disease classification criteria as specified in the protocol~Key Exclusion Criteria:~Previously documented problems with male reproductive health~Prior diagnosis of male infertility~Use of any prohibited concomitant medication as outlined by protocol~Note: Other protocol-defined Inclusion/Exclusion criteria may apply.","rheumatoid arthritis~psoriatic arthritis~ankylosing spondylitis~non-radiographical axial spondyloarthritis",1,"The study is directly related to fertility as it aims to evaluate the effect of filgotinib on semen parameters, which are crucial for male fertility.","The primary objective of this study is to evaluate the effect of filgotinib on semen parameters in adult males with active rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, or non-radiographic axial spondyloarthritis."
