"","nct_id","official_title","summary","gender","minimum_age","maximum_age","criteria","AnyPregGPT_updated2","Summary.x","Summary_quote","Preg_Only_GPT.x","Nonviable_GPT","Nonviable_quote","Category","Secondary.category","Summary.y"
"1","NCT01662921","Non-inferiority Trial Comparing Insulin Glulisine to Insulin Lispro as Part of a Basal-bolus Insulin Regimen for the Treatment of Gestational Diabetes.","We hypothesize that insulin glulisine is non-inferior to currently proven rapid-acting insulin lispro when used in a basal/bolus regimen to treat hyperglycemia in patients with gestational diabetes mellitus.","Female","18 Years","N/A","Inclusion Criteria:~Informed Consent to participate in clinical trial~Pregnant and 20-30 weeks gestation~Diagnosed with gestational diabetes~Failed diet therapy (failed lifestyle modification will be defined as 10% or greater SMBG values above pre-meal <90mg/dL and post prandial < 120mg/dL~Eat at least 2 meals per day~Exclusion Criteria:~Pregnant women <18 years old~Blood pressure > 140/80 mmHg~A1C equal to or greater than 6.5% at time of enrollment~Pre-pregnancy BMI > 40Kg/m squared~Evidence of any fetal anomaly on any fetal ultrasound~Currently using hypoglycemic agent~Refusal to use insulin before meals~Inability to understand instructions or to consent to participate~Pregnant women with history of T1DM or T2DM~Clinical judgment by investigator that patient is inappropriate for clinical trial or has a metabolic disorder that could interfere with results","Included","The trial explicitly includes pregnant individuals with gestational diabetes mellitus, as indicated by the inclusion criteria.","Pregnant and 20-30 weeks gestation~Diagnosed with gestational diabetes",1,0,"0","10. Gestational diabetes","None","The trial focuses on comparing two types of insulin for the treatment of gestational diabetes, specifically targeting pregnant women diagnosed with this condition. The inclusion and exclusion criteria are centered around pregnancy and gestational diabetes, with no mention of pain management."
"2","NCT01668069","Is Zofran Superior to Pyridoxine at Reducing Nausea and Vomiting in Pregnancy","Our purpose is to determine whether ondansetron, a commonly used antiemetic, is equivalent in efficacy to the combination of pyridoxine and doxylamine, the currently recommended first line therapy for nausea and vomiting in pregnancy by the American Congress of Obstetricians and Gynecologists (ACOG). Since both treatments are safe in pregnancy, many physicians are using ondansetron as first line in practice. Despite this practice and the recommendations from ACOG, there is not data to suggest that ether practice is superior. This will be the first prospective, randomized, double blind, controlled trial comparing the two treatments. We hypothesize that ondansetron will be equally efficacious in reducing nausea and episodes of emesis. By alleviating nausea and vomiting associated with pregnancy, patients will likely benefit from less Emergency Department visits, urgent clinic visits, and admissions for progression to hyperemesis gravidarum.","Female","18 Years","90 Years","Inclusion Criteria:~Women who are less than 16 weeks pregnant by last menstrual period or ultrasound~Greater than 18 years of age~English speaking~No significant visual or hearing impairment~Requesting treatment for nausea associated with pregnancy~Exclusion Criteria:~If nausea or vomiting preexisted the pregnancy~Requires hospitalization at the time of initial enrollment~Already taking anti-emetics to include metoclopramide, ondansetron, doxylamine, pyridoxine, or promethazine~The patient has an allergy to either study regimen~If they are unable to return for a follow up visit in 1 week","Included","The trial explicitly includes pregnant women as it aims to compare the efficacy of ondansetron and pyridoxine/doxylamine in treating nausea and vomiting during pregnancy.","Women who are less than 16 weeks pregnant by last menstrual period or ultrasound",1,0,"0","27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis","None","The trial aims to compare the efficacy of ondansetron and a combination of pyridoxine and doxylamine in reducing nausea and vomiting in pregnant women. The study exclusively enrolls pregnant individuals and focuses on managing a condition specific to pregnancy, which is nausea and vomiting. Therefore, it fits best under the category '27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis.' There is no indication that the trial evaluates a pain management drug or intervention."
"3","NCT01669941","Intermittent Screening and Treatment (IST) or Intermittent Preventive Treatment (IPT) With Dihydroartemisinin-Piperaquine, Versus IPT With Sulfadoxine-Pyrimethamine for the Control of Malaria in Pregnancy in Kenya: a Randomized Controlled Trial","Malaria in pregnancy (MiP) due to Plasmodium falciparum infection is a major cause of maternal morbidity and poor birth outcomes. Intermittent preventive treatment in pregnancy (IPTp) with Sulfadoxine pyrimethamine (SP), the administration of SP at predefined intervals in the second and third trimesters of pregnancy irrespective of the presence of malaria parasitemia, is currently recommended for HIV-negative women in all areas with stable moderate to high transmission of malaria. Due to increasing resistance to SP, it is no longer used as a treatment for symptomatic malaria, and the efficacy of IPTp-SP seems to be decreased. This study aims to look at a new drug, Dihydroartemisinin-Piperaquine (DP) for IPTp, as well as to explore the strategy of intermittent screening and treatment in pregnancy (ISTp) with DP. This strategy uses increased screening at time of focused antenatal care (FANC) with treatment of women who screen positive.~The hypothesis is that the efficacy of both IPTp-DP and ISTp-DP will be associated with a reduction in malaria infection at delivery among HIV(-) women when compared to IPTp-SP, in an area with decreasing malaria transmission and high levels of SP resistance in Kenya.","Female","N/A","N/A","Inclusion Criteria:~Viable pregnancy assessed by Doppler~Gestational age 16 to 32 weeks (inclusive) by fundal height~No history of IPTp use during this pregnancy~Willing to participate and complete the study schedule~Willing to sign or thumb print informed consent~Resident of study area and intending to stay in the area for the duration of the follow-up~Willing to deliver in the labor ward of the study clinic or hospital~HIV negative at enrolment~Exclusion Criteria:~HIV positive or unknown~Residence outside study area or planning to move out in the 12 months following enrolment~High risk pregnancy, including any pre-existing illness likely to cause complication of pregnancy (hypertension, diabetes, asthma, epilepsy, renal disease, liver disease, fistula repair, leg or spine deformity)~Severe anemia requiring blood transfusion (Hb ≤ 7.0 g/dL) at enrolment~Known allergy or previous adverse reaction to any of the study drugs~Unable to give informed consent (for example due to mental disability)~Previous inclusion in the same study~Gestational age >32 weeks~Previous IPTp during the current pregnancy~Participating in other malaria intervention studies~Known or suspected cardiac disease~Patients taking drugs in any of the following classes: antiarrhythmic agents, neuroleptics, macrolides, and certain antimalarial drugs such as mefloquine, chloroquine, halofantrine and lumefantrine.","Included","The trial explicitly includes pregnant women as it aims to study the efficacy of malaria treatment during pregnancy. The inclusion criteria specify viable pregnancy and gestational age between 16 to 32 weeks.","Inclusion Criteria: Viable pregnancy assessed by Doppler",1,0,"0","5. Malaria (with or without HIV)","None","This trial evaluates the efficacy of Dihydroartemisinin-Piperaquine (DP) for intermittent preventive treatment in pregnancy (IPTp) and intermittent screening and treatment in pregnancy (ISTp) for malaria in HIV-negative pregnant women. The study focuses on reducing malaria infection at delivery among HIV-negative women in Kenya. The trial exclusively enrolls pregnant women, making it a pregnancy-only study. The primary focus is on malaria prevention and treatment, fitting well into the category of 'Malaria (with or without HIV)'."
"4","NCT03029702","Metabolic Analysis for Treatment Choice in Gestational Diabetes Mellitus","Gestational diabetes (GDM) is a significant clinical and public health burden, affecting over 400,000 pregnant women in the United States each year. Without adequate treatment, women with GDM and their infants are at risk for substantial morbidity. Because of this, experts recommend treatment focused on normalization of hyperglycemia to improve outcomes. However, providers have limited capacity to predict which treatment will achieve glycemic goals. This results in a choice based on provider and patient preference and a trial and error approach, which can create delays in glycemic control within the short (8-10 weeks) window between diagnosis and delivery. Maternal and fetal morbidity may be related to a mismatch between glycemic pathophysiology and the mechanism of action of glucose-lowering agents. In fact, GDM is heterogeneous, with predominant insulin resistance (IR) in 50%, insulin secretion deficit (ISD) in 30%, and a combination of both in 20% of women as underlying mechanisms of hyperglycemia. This variation in GDM pathophysiology and clinical outcomes supports the use of an individualized treatment approach. The overall goal of this project is to investigate an individualized treatment approach for GDM where treatment is based on each woman's GDM mechanism. The study will employ the same treatment in both arms, but choice of treatment will differ based on study arm (matched or unmatched to GDM mechanism).","Female","18 Years","45 Years","Inclusion Criteria:~Pregnant women beyond 24 weeks of gestation who are scheduled for a 3-hour oral glucose tolerance test.~Exclusion Criteria:~Fetal anomaly~Pregestational diabetes~GDM diagnosis without a 3-hour OGTT~Multifetal gestation~Treatment with non-inhaled steroids within 7 days~Allergy to glyburide, metformin or sulfa~History of severe pulmonary (pulmonary requirement for oxygen therapy or daily treatment for restrictive of obstructive pulmonary disease)~Hepatic (LFT's greater than two times of upper normal range)~Renal (serum creatinine higher than 1.2 mg/dL) disease~History of heart failure or myocardial infarction","Included","The study explicitly includes pregnant women with gestational diabetes mellitus (GDM) beyond 24 weeks of gestation. The focus is on individualized treatment for GDM based on each woman's GDM mechanism.","Inclusion Criteria: Pregnant women beyond 24 weeks of gestation who are scheduled for a 3-hour oral glucose tolerance test.",1,0,"0","10. Gestational diabetes","None","This trial focuses on gestational diabetes mellitus (GDM), a condition that affects pregnant women and requires treatment to normalize hyperglycemia. The study aims to investigate an individualized treatment approach for GDM based on the underlying mechanism of hyperglycemia. The inclusion criteria specify pregnant women beyond 24 weeks of gestation, confirming that the trial is exclusively for pregnant individuals."
"5","NCT00993031","Protease Inhibitors to Reduce Malaria Morbidity in HIV-Infected Pregnant Women","This study is an open-label, single site, randomized controlled trial comparing protease inhibitor (PI)-based antiretroviral therapy (ART) to non-PI based ART for HIV-infected pregnant and breastfeeding women of all CD4 cell counts at high risk of malaria. The study is designed to test the hypothesis that pregnant women receiving a PI-based ART regimen will have lower risk of placental malaria compared to pregnant women receiving a non-PI based ART regimen. The primary study endpoint of the study is placental malaria. This study also enrolls the infants of these women at the time of delivery.","Female","16 Years","N/A","Inclusion Criteria:~Age > 16 years (if <18 years old, living independently from parents)~Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Western blot, or rapid HIV antibody test~Confirmed pregnancy by positive serum or urine pregnancy test or ultrasound~Estimated gestational age between 12 and 28 weeks (based on first day of last menstrual period with physical exam confirmation and ultrasound confirmation) at time of enrollment~Residency within 30 km of the study site~Willing to provide informed consent~Exclusion Criteria:~Current or prior use of HAART~Exposure to single-dose NVP (alone or with zidovudine or zidovudine/lamivudine or other abbreviated monotherapy or dual therapy for PMTCT) less than 24 months prior to enrollment~Prior dose-limited toxicity to TS within 14 days of study enrollment~Receipt of any contraindicated medications within 14 days of study enrollment (See Appendix III.)~Active tuberculosis or other WHO Stage 4 diseases~Screening laboratory values:~Hemoglobin: <7.5 g/dL (Note: Women found to have a hemoglobin <7.5 at screening may receive iron and folic acid and/or a blood transfusion at the physician's discretion. If a repeat hemoglobin is ≥7.5 g/dL, the woman may be considered for study inclusion.)~Absolute neutrophil count (ANC): <750/mm3~Platelet count: <50,000/mm3~ALT: >225 U/L (>5.0x ULN)~AST: >225 U/L (>5.0x ULN)~Bilirubin (total): > 2.5x ULN~Creatinine: > 1.8x ULN~Known cardiac conduction abnormalities or structural heart defect~NOTE: A woman will be excluded from study participation during the current pregnancy if she goes into labor, experiences ruptured membranes or develops active tuberculosis or a WHO stage 4 condition following study enrollment but prior to study drug initiation.","Included","The study explicitly includes pregnant women as it is designed to test the hypothesis that pregnant women receiving a PI-based ART regimen will have lower risk of placental malaria compared to pregnant women receiving a non-PI based ART regimen.","Confirmed pregnancy by positive serum or urine pregnancy test or ultrasound",1,0,"0","Malaria (with or without HIV)","HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)","This study focuses on HIV-infected pregnant women and aims to compare the efficacy of protease inhibitor-based ART versus non-PI based ART in reducing placental malaria. The primary endpoint is placental malaria, and the study also enrolls the infants of these women. The inclusion criteria specifically target pregnant women, confirming the 'Preg_Only_GPT' classification. The primary condition being studied is malaria in the context of HIV, fitting the 'Malaria (with or without HIV)' category, with a secondary focus on PMTCT, fitting the 'HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)' category."
"6","NCT02624765","FAST RCT: Prospective Randomized Clinical Trial of Fetal Atrial Flutter & Supraventricular Tachycardia Therapy","The Fetal Atrial Flutter and Supraventricular Tachycardia (FAST) Therapy Trial is a prospective multi-center trial that examines the efficacy and safety of standard prenatal antiarrhythmic treatment. Study components of FAST include three prospective sub-studies to determine the efficacy and safety of commonly used transplacental drug regimens in suppressing fetal AF without hydrops (Randomized Clinical Trial (RCT) A), SVT without hydrops (RCT B), and SVT with hydrops (RCT C). All RCTs are open label phase III trials of standard 1st line therapy, which either is started as monotherapy (no hydrops) or as dual therapy (hydrops).","Female","16 Years","50 Years","Inclusion Criteria:~Mother has provided written informed consent to participate~Either fetal AF without hydrops, SVT without hydrops or SVT with hydrops~Tachyarrhythmia that is significant enough to justify immediate transplacental pharmacological treatment:~Tachycardia ≥ 180 bpm during at least 10% of observation time of 30 minutes or longer~Tachycardia ≥ 170 bpm during +100% of time (≤ 30 0/7 weeks of gestation)~Tachycardia ≥ 280 bpm (irrespective of SVA duration)~SVT with fetal hydrops (irrespective of duration)~Gestational age > 12 0/7 weeks and <36 0/7 weeks at time of enrollment~Untreated tachycardia at time of enrollment~Singleton Pregnancy~Healthy mother with ± normal pre-treatment cardiovascular findings:~ECG without significant abnormalities (sinus rhythm; QTc ≤ 0.47; PR ≤ 0.2 sec; QRS: ≤ 0.12 sec; isolated PACs or PVCs or isolated complete right bundle branch block allowed)~Resting heart rate ≥ 50 bpm~Systolic BP ≥ 85 bpm~Exclusion Criteria:~AF with hydrops (eligible for FAST Registry only)~Any maternal-fetal conditions associated with high odds of premature delivery or death other than tachycardia (e.g. severe IUGR; premature rupture of membrane; life-threatening maternal disease (incl. pre-eclampsia; HELLP syndrome); severe congenital fetal abnormalities (T 13 or 18; surgery or death expected < 1 month)~History of significant maternal heart condition (open heart surgery; sick sinus syndrome; channelopathy (long QT, Brugada syndrome); ventricular tachycardia; WPW syndrome; high-degree heart block; cardiomyopathy)~Relevant preexisting maternal obstructive airway disease including asthma~Current therapy with the following medications:~Antiarrhythmic drugs~Pentamidine~Maternal serum potassium level <3.3 mmol/L / <3.3 mEq/L (at start of treatment)~Maternal ionized serum calcium level of <1 mmol/L / <4 mg/dL) or total serum calcium level <2 mmol/L / <8mg/dL (at start of treatment)~Maternal serum creatinine level > 97.2 µmol/L (>1.1 mg/dl)","Included","The trial explicitly includes pregnant individuals as it studies the efficacy and safety of prenatal antiarrhythmic treatment for fetal conditions.","The Fetal Atrial Flutter and Supraventricular Tachycardia (FAST) Therapy Trial is a prospective multi-center trial that examines the efficacy and safety of standard prenatal antiarrhythmic treatment.",1,0,"0","8. Fetal growth/IUGR/Fetal Growth Retardation","None","The trial focuses on the efficacy and safety of prenatal antiarrhythmic treatment for fetal atrial flutter and supraventricular tachycardia, conditions affecting fetal heart rhythm. Pregnant individuals are the sole participants, and the study aims to manage fetal conditions that could impact growth and development."
"7","NCT03120780","High Dose Epidural Fentanyl for Second Stage Labor Analgesia","This study is being done to investigate if there is more effective pain relief during the latter stages of labor and delivery when epidural fentanyl 100mcg is administered compared to epidural fentanyl 20mcg.","Female","18 Years","N/A","Inclusion Criteria:~Nulliparous women~Spontaneous labor~A single vertex presentation fetus at term (38-42 weeks)~Effective labor epidural analgesia with continuous epidural infusion established~Provide written consent to participate in the study.~Exclusion Criteria:~Multigravida women~Multigestation pregnancies~Patients being treated/managed for chronic pain~Allergies or significant adverse reactions to local anesthetic or opioid medications~Inadequate or unsatisfactory labor epidural analgesia~Patients with history of spine abnormalities or spine surgery~Non-English speaking~Prisoners~Age less than 18 years old","Included","The study explicitly includes nulliparous women in spontaneous labor, indicating that pregnant individuals are included.","Inclusion Criteria: Nulliparous women, Spontaneous labor",1,0,"0","16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)","None","The trial investigates the effectiveness of epidural fentanyl for pain relief during labor, specifically targeting nulliparous women in spontaneous labor. This fits under labor management and pain management."
"8","NCT05273632","Comparison Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate Versus Placebo to Reduce Blood Loss Intraoperative and Post Operative During Elective Cesarean Section","Comparison Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate Versus Normal Saline as Pre-operative Administration.","Female","20 Years","40 Years","Inclusion Criteria:~Pregnant females admitted for Elective Cesarean Section.~Gestational age of pregnancy (38 weeks To 40 weeks).~the average height of 145 to 160 cm,average body weight of 45 to 85 kgs.~Singleton living fetus.~No medical disorders.~Informed Oral Consent From The Patient.~Exclusion Criteria:~Severe medical and surgical disorders as thyroid dysfunction, which was excluded by routine thyroid function test (free T3, free T4, and thyroid stimulating hormone(TSH), all of them should be within normal limits).~Bleeding tendency, for example, disseminated intravascular coagulopathy, which was excluded by platelet count, coagulation time, bleeding time, prothrombin time, partial thromboplastin time, and thrombin time (all should be within normal).~Acute liver or kidney diseases; blood disorders, such as anaemia.~Allergy to Tranexamic acid.~Risk factors for PPH, such as polyhydramnios, fetal macrosomia, antepartum haemorrhage.~Ante partum Hemorrhage such placental abruption.","Included","The study explicitly includes pregnant females admitted for elective cesarean section, with gestational age of pregnancy between 38 to 40 weeks.","Pregnant females admitted for Elective Cesarean Section.",1,0,"0","15. C-section/caesarean","28. Postpartum sepsis/hemorrhage/complications","This trial involves pregnant females undergoing elective cesarean section and aims to compare the effectiveness of oxytocin, tranexamic acid, and ethamsylate versus placebo in reducing intraoperative and postoperative blood loss. The primary focus is on cesarean sections, with a secondary focus on managing postpartum hemorrhage complications."
"9","NCT05232994","Use of Combination Metformin and Esomeprazole in Preterm Pre- Eclampsia: Randomized Controlled Trial","A recent randomized controlled trial by Cluver et al included 180 women with preterm pre-eclampsia between 26+0 to 31+6 weeks' gestation undergoing expectant management: 90 were randomised to extended release metformin and 90 to placebo. Investigators found that extended release metformin (3g daily) can prolong gestation in women with preterm pre-eclampsia. Combination metformin and esomeprazole has shown promise in the treatment of preeclampsia as both agents reduce placental and endothelial secretion of soluble fms-like tyrosine kinase 1 (sFlt-1) and soluble endoglin, and reduce endothelial dysfunction.","Female","18 Years","55 Years","Inclusion Criteria:~Individuals presenting with pre-eclampsia between 24+0 and 31+6 weeks of gestation, with a single viable fetus and no major anomalies~Women 18 years or older~Women diagnosed with preeclampsia~Women with pre-eclampsia superimposed on chronic hypertension~Candidates for expectant management and had no clinical indication for immediate delivery~Exclusion Criteria:~Delivery within 48hr is highly likely~Maternal or fetal compromise that necessitated immediate delivery~Diabetes or gestational diabetes currently on metformin therapy~Contraindications to metformin, esomeprazole~Baseline creatinine >124 μmol/L~Hypersensitivity to metformin or esomeprazole~Metabolic acidosis~Use of drugs that might interact with metformin (glyburide, furosemide, or cationic drugs) Multiple gestations","Included","The trial explicitly includes pregnant women with preterm pre-eclampsia between 24+0 and 31+6 weeks of gestation. It does not study nonviable pregnancies or postpartum interventions.","Individuals presenting with pre-eclampsia between 24+0 and 31+6 weeks of gestation, with a single viable fetus and no major anomalies",1,0,"0","2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome","1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage","The trial focuses on the use of combination metformin and esomeprazole in women with preterm pre-eclampsia, aiming to prolong gestation. The inclusion criteria specifically target pregnant women diagnosed with pre-eclampsia, making it clear that the trial is exclusively for pregnant individuals. The primary category is 'Hypertension/pre-eclampsia/eclampsia/HELLP syndrome' due to the focus on pre-eclampsia. The secondary category is 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage' because the trial also aims to prolong gestation in preterm pre-eclampsia cases."
"10","NCT02181933","A Prospective Randomised Open Label Clinical Trial to Determine the Efficacy of Nevirapine, Compared With a Combination of ZDV + 3TC, in Decreasing the Peripartum Mother to Child Transmission of HIV. Women, Who Present After 38 Weeks Gestation or in Labour After 35 Weeks Gestation and Who Are Anti-retroviral Naive, Will be Included.","The primary objective of the study was to evaluate the efficacy of nevirapine versus ZDV+3TC (Zidovudine + Lamivudine), when administered in labor and again at postdelivery, in reducing peripartum mother to child transmission of HIV (Human Immunodeficiency Virus).~The secondary objective was to assess the overall HIV transmission rate between the 2 groups (intrauterine, intrapartum and postpartum up to 6 weeks) as well as to explore the relationship between infection and timing of maternal dose relative to birth, infant feeding method, maternal peripheral blood viral load, and other potential risk factors for transmission.~Following the introduction of the second and third Amendments to the Protocol, 2 substudies were added. The objectives of these substudies were to evaluate the frequency of resistance-conferring mutations to nevirapine (Amendment 2) and to ZDV+3TC (Amendment 3); to determine whether there was a reversion of any resistant virus to the wild type; and to determine if the resistant virus was transmitted from the mother to the child.","All","N/A","N/A","Inclusion Criteria:~Pregnant women who present after 38 weeks gestation or in labour after 35 weeks gestation who are tested HIV positive. Estimated gestational age will be determined by one or more of the following:~Reliable menstrual history, which corresponds with uterine size~Physical examination~Estimated fetal weight~A consent form for the mother and neonate will be signed by either the mother or the guardian prior to inclusion~Exclusion Criteria:~Mothers who have taken any antiretrovirals in the last 12 months~Mothers who are not able to take oral medication~Mothers who present with ARDS (acute respiratory distress syndrome), septic shock or eclampsia~Mothers presenting in discomfort, i.e. regular painful uterine contractions, or other factors that may contribute to her not being able to understand and sign the informed consent for HIV testing and study participation~Use of another investigational drug or concurrent participation in another investigational protocol during the current pregnancy~Unwillingness or inability to reasonably comply with the protocol (i.e., mother and neonate/infant could not be followed for the full 6 weeks of the trial)~Grade 4 SGPT (Serum glutamate pyruvate transaminase) (>10 times the upper limit of normal value), if known prior to delivery~A recent history (6 months preceding the study) or current evidence of drug abuse and/or alcoholism~Mothers with fetuses with anomalies incompatible with life, if known prior to delivery~Decision to deliver the infant by elective Cesarean section~Amniocentesis was indicated~Infants with severe growth retardation diagnosed before birth~Infants who fall into the following groups will not receive treatment, but the mother-infant pair will remain in the trial~Infants with malformations incompatible with life~Life-threatening perinatal conditions which do not allow oral therapy (e.g., sepsis)","Included","The trial explicitly includes pregnant women who present after 38 weeks gestation or in labor after 35 weeks gestation and evaluates a treatment administered during labor and postdelivery to reduce peripartum mother to child transmission of HIV.","Pregnant women who present after 38 weeks gestation or in labour after 35 weeks gestation who are tested HIV positive.",1,0,"0","3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)","None","This trial evaluates the efficacy of nevirapine versus ZDV+3TC in reducing peripartum mother-to-child transmission of HIV. It includes pregnant women who are HIV positive and present after 38 weeks gestation or in labor after 35 weeks gestation. The primary focus is on preventing mother-to-child transmission of HIV, fitting well into the category of 'HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)'. There is no indication of pain management being a focus of this trial."
