,nct_id,official_title,summary,gender,minimum_age,maximum_age,criteria,AnyPregGPT_updated2,Summary.x,Summary_quote,Preg_Only_GPT.x,Nonviable_GPT,Nonviable_quote,Category,Secondary.category,Code,Summary.y,AnyPreg_Rev,Preg_Only_Rev,Category_Rev,Postpartum_Rev
214,NCT03001193,"Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Dose-Finding Study to Evaluate the Effect of Continuous Infusion of Tafoxiparin as an Adjunct Treatment to Oxytocin for up to 36 Hours in Term Pregnant, Nulliparous Women to Treat Primary Slow Progress of Labor Including Prolonged Latent Phase and Labor Arrest","The study will be designed as a double-blind, placebo-controlled, parallel-group, dose-finding study with one group treated with placebo and three groups treated with tafoxiparin in three different infusion concentration levels, respectively. The intravenous infusion will be initiated by a pre-defined bolus dose infusion.",Female,18 Years,45 Years,Inclusion Criteria:~Pregnant women of ≥18 to ≤45 years of age~Nulliparous~Gestational age > 36 weeks + 6 days confirmed by ultrasound~Experience slow progress of labor including prolonged latent phase and labor arrest (according to the respective definitions) etc~Exclusion Criteria:~Subjects with secondary slow progress or secondary labor arrest~BMI≥35 during first trimester of pregnancy~Breech presentation or other abnormal presentations etc,Included,"The trial explicitly includes pregnant women aged 18-45 years who are experiencing slow progress of labor, making it clear that pregnant individuals are included.",Pregnant women of ≥18 to ≤45 years of age,1,0,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,Labor induction/management (non-C-section),"The trial involves pregnant women experiencing slow progress of labor, including prolonged latent phase and labor arrest. It evaluates the effect of tafoxiparin as an adjunct treatment to oxytocin, which falls under labor management. The inclusion criteria specify pregnant women, making it clear that only pregnant individuals can enroll.",1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",
215,NCT01107145,"A Multi-center, Open-label, Randomized Trial of Chloroquine, Artemether-Lumefantrine, and Mefloquine-Artesunate for the Treatment of Uncomplicated P. Vivax Malaria in Pregnant Women in Brazil","The current treatment recommendations for P. vivax in pregnant and non-pregnant individuals are to use chloroquine; in non-pregnant patients this is followed by primaquine to prevent relapse. As primaquine can not be used in pregnant women, these women remain at risk of relapse. As there is increasing concern about chloroquine resistant P. vivax in this region, there is a need to identify alternative treatment options. The artemisinin combination therapies are recommended for use against P. falciparum infections in pregnant women after the 1st trimester; additional data are needed to support the use of these drugs against P. vivax.",Female,15 Years,N/A,"Inclusion Criteria:~Gestational age >16 weeks (determined by LMP and fundal height)- if there is discordance between the two, the more conservative estimate (i.e. lower) will be used, to prevent accidental exposure of a 1st trimester fetus~Normal fetal heart beat detected by Doppler~Presence of asexual P. vivax parasitemia ≤ 50,000 parasites/microliter (thick smear)~Willing to sign or thumb print informed consent~Willing to return for scheduled follow up visits for treatment and observation until delivery~Willing to deliver in health facility~Exclusion Criteria:~Pregnancy < 16 weeks~Microscopically confirmed P. falciparum or mixed infection/ parasitemia (P. vivax and another species of Plasmodium, i.e. P. vivax, P. ovale, or P. malariae)~History of allergy or hypersensitivity to interventional drugs~Exposure to antimalarial drugs and other drugs with antimalarial activity within the past 2 months, as determined by history from the woman (quinine, mefloquine, or artemisinin derivatives, including AL and MA)~Patients taking drugs with possible interaction with study drugs (ie. warfarin, digoxin)~History or family history of epilepsy or psychiatric disorder~Presence of signs and symptoms of severe malaria, severe illness, or danger signs~Hemoglobin < 7 g/dl~Inability to tolerate oral medication (repeated vomiting, impairment of consciousness).~History of chronic disease including diabetes, renal failure, hepatic failure, heart disease requiring anti-arrhythmic drugs or warfarin, HIV/ AIDS, known hemoglobinopathy~Participant's inability to return for follow up visits~Age <15 years",Included,The trial explicitly includes pregnant women with gestational age >16 weeks for the treatment of uncomplicated P. vivax malaria.,"Inclusion Criteria:~Gestational age >16 weeks (determined by LMP and fundal height)- if there is discordance between the two, the more conservative estimate (i.e. lower) will be used, to prevent accidental exposure of a 1st trimester fetus",1,0,0,5. Malaria (with or without HIV),None,Malaria/TB,"This trial focuses on the treatment of uncomplicated P. vivax malaria in pregnant women, specifically evaluating alternative treatments due to concerns about chloroquine resistance. The inclusion criteria specify that only pregnant women can enroll, making it a pregnancy-only trial. The primary category is malaria treatment, and there is no secondary category that fits well. Pain management is not a focus of this trial.",1,1,5. Malaria (with or without HIV),
216,NCT03567707,Exposure to Vaginal Microbiome in C-section Infants at High-risk for Allergies - A Pilot Study,"The purpose of this research study is to assess at how differences in the microbiome (naturally occurring bacteria) of a baby may protect, or put a baby at risk, for allergic problems. The microbiome refers to the thousands of bacteria and molds that live in and on our bodies. The microbiome plays an important role in our health. Differences in the microbiome can affect our immune system in ways that might make some people more likely to get allergies and asthma.~Early life events and exposures are very important for establishing the human microbiome. The newborn baby's microbiome changes very quickly during the first weeks and months of life. There is information that suggests C-section birth is associated with higher risk of certain diseases, including allergies and asthma. Some researchers think one reason for this is that passing through the mother's vaginal canal during birth exposes the baby to bacteria that promote healthy immune system development, something that C-section babies don't get. Transferring these potentially beneficial vaginal bacteria to C-section babies may help prevent some diseases later.",Female,18 Years,45 Years,"Inclusion Criteria:~Pregnant woman must be able to understand and provide informed consent;~Pregnant women with singleton pregnancies with a non-anomalous, appropriately-grown fetus; and~Atopic disease (asthma, allergic rhinoconjunctivitis, or atopic dermatitis) or food allergy in a first-degree relative of the infant to-be-delivered (for exception, see exclusion criteria*).~Exclusion Criteria:~For C-Section Mothers:~In labor with evidence of cervical change prior to the scheduled C-section;~Rupture of the amniotic sac; or~Vaginal pH > 4.5 on the day of delivery.~For Vaginal Delivery Mothers:~- Use of induction agents for cervical ripening (cervical prostaglandin or Foley catheter).~For All Mothers and Their Infants:~Inability or unwillingness of a participant to give written informed consent or comply with study protocol;~History of moderate to severe atopic dermatitis within the past year in the mother;~Express no intention to breastfeed;~History of diabetes mellitus or gestational diabetes mellitus;~History of inflammatory bowel disease (IBD) (e.g., Crohn's Disease or ulcerative colitis);~Evidence of an active sexually transmitted infection (STI) (e.g., primary herpes or genital warts, or trichomonas), yeast infection, or vaginosis on the day of delivery;~Evidence of prior or current hepatitis B or C infection as demonstrated by the presence of the hepatitis B surface antigen, antibody positivity against the hepatitis B core antigen, or antibody positivity against the hepatitis C virus;~--Assessment for active hepatitis B and hepatitis C infection will be repeated for this study even if prior testing during the current pregnancy was negative;~Evidence of Human Immunodeficiency Virus (HIV) infection (e.g., positive HIV serology or detectable viral load);~Positive Group B Streptococcus (GBS) test results by rectovaginal swab performed within 5 weeks of delivery, a prior infant with invasive GBS disease, or GBS bacteriuria at any point during pregnancy;~Evidence of N. gonorrhoeae or C. trachomatis infection by testing performed within 5 weeks of delivery;~History of antibiotic administration during the third trimester of the current pregnancy;~Mothers with serious chronic conditions during pregnancy;~Mothers with complicated pregnancies including pre-eclampsia, chorioamnionitis, placenta previa, vasa previa, placental abruption, or active vaginal bleeding;~Maternal fever on the day of delivery (visit 0);~Infants with complications during delivery, such that the infant requires more than the standard neonatal resuscitation after delivery;~Infants delivered prior to 37 weeks of gestation;~Thick particulate meconium noted upon delivery of the infant;~Presence of a congenital abnormality in the infant for which study participation is not recommended;~Current, diagnosed mental illness or current, diagnosed or self-reported drug or alcohol abuse in the mother that, in the opinion of the investigator, would interfere with the participant's ability to comply with study requirements;~Use of investigational drugs during the third trimester of pregnancy; or~Past or current medical problems or findings from physical examination or laboratory testing that are not listed above, which, in the opinion of the investigator may:~Pose additional risks from participation in the study,~Interfere with the participant's ability to comply with study requirements, or~May impact the quality or interpretation of the data obtained from the study.",Included,"The study explicitly includes pregnant women as participants, as indicated by the inclusion criteria which state that pregnant women must be able to understand and provide informed consent.",Pregnant woman must be able to understand and provide informed consent,1,0,0,15. C-section/caesarean,19. Asthma,C-sections,"The trial involves pregnant women and their infants, focusing on the impact of vaginal microbiome exposure on C-section infants at high risk for allergies and asthma. The primary category is C-section/caesarean due to the focus on C-section births. Asthma is a secondary category because the study also addresses the risk of asthma in infants.",1,1,15. C-section/caesarean,
217,NCT00135902,A Randomized Trial of Omega-3 Fatty Acid Supplementation to Prevent Preterm Birth in Pregnancies at High Risk,"A recently completed trial of weekly injections of 17 alpha hydroxyprogesterone caproate (17P) found significant effectiveness for 17P in preventing recurrent preterm birth. However, the group who received 17P in this trial still had a high rate of preterm birth. Several reports have shown that dietary supplementation of fish oil, which is rich in Omega-3 fatty acids, reduces the risk of preterm birth. This trial tests whether adding the Omega-3 supplement to 17P therapy has the potential for further reducing the risk of preterm birth in women who have previously had a spontaneous preterm delivery. The trial will compare Omega-3 fatty acid with placebo in women receiving 17P therapy. The hypothesis being tested is: Among women at high risk for preterm birth receiving weekly injections of 17P, the addition of Omega-3 nutritional supplement will further reduce the rate of preterm birth.",Female,N/A,N/A,"Inclusion Criteria:~Documented history of previous singleton spontaneous birth~Singleton pregnancy~Gestational age at randomization between 16 and 22 weeks~Exclusion Criteria:~Major fetal anomaly or demise~Regular intake of fish oil supplements~Daily use of nonsteroidal anti-inflammatory agents~Allergy to fish or fish products~Gluten intolerant~Heparin use or known thrombophilia~Hemophilia~Planned termination~Current hypertension or current use of antihypertensive medications~Type D, F or R diabetes~Maternal medical complications~Current or planned cerclage~Illicit drug or alcohol abuse during current pregnancy~Delivery at a non-Network hospital~Participation in another pregnancy intervention study~Participation in this trial in a previous pregnancy",Included,"The trial explicitly includes pregnant women at high risk for preterm birth, as it aims to test the effectiveness of Omega-3 supplementation in preventing preterm birth among this group.",This trial tests whether adding the Omega-3 supplement to 17P therapy has the potential for further reducing the risk of preterm birth in women who have previously had a spontaneous preterm delivery.,1,0,0,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,7. Nutrition supplementation/Vitamin D/folic acid (DO NOT INCLUDE IRON OR ANEMIA),Pre-term labor/delivery,"This trial focuses on preventing preterm birth in women at high risk by supplementing Omega-3 fatty acids along with 17P therapy. The primary aim is to reduce the rate of preterm birth, fitting well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage'. The use of Omega-3 supplements also aligns with 'Nutrition supplementation/Vitamin D/folic acid'.",1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,
218,NCT02245022,Safety and Pharmacokinetics of Dolutegravir in Pregnant HIV Mothers and Their Neonates: A Pilot Study,"Aim: To evaluate dolutegravir (DTG) pharmacokinetics in pregnant HIV-infected women~Rationale: In developing countries many women present with a new HIV diagnosis in late pregnancy, and are at high risk of transmitting infection during delivery. Moreover, women may acquire NNRTI resistance from primary transmission, or use of nevirapine (NVP) in previous pregnancies. In these circumstances, DTG is likely to be more effective in reducing mother to child transmission of HIV than NNRTI-based regimens.~Study design: HIV positive pregnant women presenting with untreated HIV infection in late (≥28 -36 weeks gestation) pregnancy will be randomised 1:1 to receive DTG (50mg once daily) or standard of care (nevirapine or efavirenz) + 2 NRTIs. PK (0-24h) profile will be sampled in third trimester and post-partum.~Although this is primarily a PK study (and has been powered as such) randomisation is included to allow comparison of plasma HIV VL responses against standard of care (NVP or EFV) and is essential for evaluation of secondary endpoints of safety and efficacy of DTG in pregnancy.~Number recruited N=30 per group",Female,18 Years,N/A,"Inclusion Criteria:~Able to provide informed consent~Willing to participate,~Women age 18 years and above~Pregnant~Untreated HIV infection in late pregnancy at ≥28 - 36 weeks gestation~Exclusion Criteria:~Received antiretroviral drugs in previous 6 months~Ever received integrase inhibitors~Serum haemoglobin < 8.0 g/dl~Elevations in serum levels of alanine aminotransferase (ALT) >5 times the upper limit of normal (ULN) or ALT >3xULN and bilirubin >2xULN (with >35% direct bilirubin)~eGFR < 50ml/min~Active Hepatitis B infection, history or clinical suspicion of unstable liver disease, or subjects with severe liver disease (Class C by Childs-Hugh criteria)~Severe pre-eclampsia (e.g. HELLP), or other pregnancy related events such as renal or liver abnormalities (e.g. grade 2 or above proteinuria, elevation in serum creatinine (above 2.5 x ULN), total bilirubin ALT or AST)~Paternal non-consent (where disclosure to male partner has been made)~Clinical depression or clinical judgement suggests increased risk of suicidality",Included,The trial explicitly includes pregnant women with untreated HIV infection in late pregnancy (≥28 - 36 weeks gestation).,Pregnant~Untreated HIV infection in late pregnancy at ≥28 - 36 weeks gestation,1,0,0,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,HIV (PMTCT),"This study evaluates the pharmacokinetics of dolutegravir in pregnant HIV-infected women to reduce mother-to-child transmission of HIV. The trial exclusively enrolls pregnant women with untreated HIV infection in late pregnancy, fitting the category of HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria). There is no indication that the study involves pain management.",1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",
219,NCT00139256,Randomized Controlled Trial of Antepartum Betamethasone Treatment for Prevention of Respiratory Distress in Infants Born by Elective Cesarean Section,"This is a randomized, multicenter, double blind, placebo controlled trial of betamethasone versus a placebo given prior to the mothers at term and near term gestation (>34 and <40 weeks of gestation) who are scheduled to undergo a planned Cesarean section. The study design is to determine the efficacy and safety of betamethasone in the prevention of breathing problems commonly seen in this population.~In infants born by elective Cesarean section, it is hypothesized that antenatal betamethasone treatment will reduce the risk of neonatal intensive care unit (NICU) admission from 11% to 8% and/or oxygen therapy +/- positive pressure ventilation (PPV) for >30 minutes from 4.5% to 2.5%.",Female,N/A,N/A,Inclusion Criteria:~Pregnant women >/= 34 weeks gestation scheduled to undergo operative delivery within 48-72 hours after study enrollment~Exclusion Criteria:~Known contraindication to the use of betamethasone in the mother~Known lethal or non-lethal congenital anomaly diagnosed antenatally~Spontaneous labor~Premature rupture of membranes,Included,The trial explicitly includes pregnant women who are scheduled for a Cesarean section and aims to test the efficacy of betamethasone in preventing respiratory distress in newborns.,Inclusion Criteria: Pregnant women >/= 34 weeks gestation scheduled to undergo operative delivery within 48-72 hours after study enrollment,1,0,0,15. C-section/caesarean,None,C-sections,"This trial investigates the use of betamethasone to prevent respiratory distress in infants born by elective Cesarean section. It involves pregnant women scheduled for operative delivery, making it specific to pregnant individuals. The primary focus is on the outcomes related to Cesarean sections, fitting best under the category of C-section/caesarean.",1,1,15. C-section/caesarean,
220,NCT03246919,Ideal Time of Oxytocin Infusion During Cesarean Section,"This study will evaluate if the timing of oxytocin administration in cesarean deliveries will affect the amount of maternal blood loss. Half of participants will receive oxytocin after delivery of the fetal anterior shoulder and the other half will receive oxytocin after delivery of the placenta. We hypothesize that administering oxytocin after delivery of the shoulder, will result in less overall maternal blood loss.",Female,18 Years,N/A,"Inclusion Criteria:~Women undergoing cesarean section at Loyola Hospital~Women who read and speak the English and/or Spanish language~Women age 18 or older~Exclusion Criteria:~Women who deliver vaginally~Gestation under 37 weeks and 0 days~Women with coagulopathies~Multiple gestation pregnancies~Antepartum hemorrhage for example abruption~Placental abnormalities for example previa, accreta",Included,"The study includes pregnant women undergoing cesarean section, explicitly mentioning inclusion criteria related to pregnancy.",Inclusion Criteria: Women undergoing cesarean section at Loyola Hospital,1,0,0,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,C-sections,"This study evaluates the timing of oxytocin administration during cesarean deliveries and its effect on maternal blood loss. It exclusively involves pregnant women undergoing cesarean sections, making it fit well into the 'C-section/caesarean' category. The focus on blood loss and postpartum hemorrhage also aligns with 'Postpartum sepsis/hemorrhage/complications' as a secondary category.",1,1,15. C-section/caesarean,
221,NCT05705427,Simplifying Hepatitis B Care in Pregnancy by Combining Birth-dose Vaccine and Tenofovir: The COMBAT HBV Feasibility Trial,"This is a double-blind, randomized placebo-controlled trial (RCT) of a prophylaxis-for-all approach to prevention of mother-to-child transmission (PMTCT) of hepatitis B virus (HBV) in the Democratic Republic of Congo (DRC). HBV-infected pregnant women will be randomized to either receive tenofovir or placebo beginning at 28-32 weeks' gestation and continuing through 4 weeks' postpartum. Women will be followed every 4-6 weeks throughout the prenatal and postpartum period to evaluate for side effects related to the medication. Infants will receive a birth-dose of HBV vaccine, ideally within 24 hours. Participants will be followed longitudinally through 6 months' postpartum.",All,N/A,N/A,"Inclusion Criteria:~Pregnant women ≥18 years of age who present for routine prenatal care between 28-32 weeks' gestation and who test HBV-positive by point-of-care hepatitis B surface antigen test. Women must intend to seek maternity and postpartum care exclusively at one of the Kinshasa-based study maternity centers.~Infants born to enrolled women will be included in the study~Exclusion Criteria:~Individuals with abnormal creatinine by point-of-care testing~Any woman who plans to move outside of Kinshasa Province during the study period.~Any HIV-positive individual, determined by routine point-of-care screening at antenatal care visits",Included,"The trial explicitly includes pregnant women who are HBV-positive and evaluates a treatment (tenofovir) during pregnancy and postpartum. The intervention is given during pregnancy and postpartum, and infants born to enrolled women are also included.",Pregnant women ≥18 years of age who present for routine prenatal care between 28-32 weeks' gestation and who test HBV-positive by point-of-care hepatitis B surface antigen test.,1,0,0,21. Other infectious disease prevention/treatment (non-vaccine),11. Vaccination,Other infectious diseases,"This trial focuses on preventing mother-to-child transmission of hepatitis B virus (HBV) by administering tenofovir or placebo to HBV-infected pregnant women and providing a birth-dose HBV vaccine to infants. The primary category is 'Other infectious disease prevention/treatment (non-vaccine)' due to the focus on HBV, and the secondary category is 'Vaccination' because of the birth-dose HBV vaccine. Pregnant women are the sole participants, making 'Preg_Only_GPT' 1.",1,1,21. Other infectious disease prevention/treatment (non-vaccine),
222,NCT05079841,The Stimulation To Induce Mothers (STIM) Study: A Parallel Group Randomized Controlled Trial,"The investigators propose a parallel group randomized clinical trial of intrapartum nipple stimulation versus exogenous oxytocin infusion for nulliparous women undergoing induction of labor near term. The central hypothesis is that intrapartum nipple stimulation to induce labor increases spontaneous vaginal delivery, improves patient-centered outcomes such as childbirth satisfaction, labor agentry, and pain scores, and reduces adverse neonatal and maternal outcomes in nulliparous women. The investigators will pursue the following specific aims: 1) Assess the effectiveness of intrapartum nipple stimulation on the rate of spontaneous vaginal delivery in nulliparous women, 2) Breastfeeding as the sole source of nutrition at time of maternal hospital discharge (Primary Aims); 3) Maximal percent newborn weight loss during the birth hospitalization within 72 hours of life, 4) Determine the effect of intrapartum nipple stimulation on the rate of adverse maternal and neonatal outcomes, 5) Determine the impact of intrapartum nipple stimulation on patient-centered outcomes and 6) In a sub-cohort of women who are enrolled in the trial, investigators will measure the change in oxytocin concentration from baseline to time at which patient achieves a regular contraction pattern.",Female,18 Years,N/A,"Inclusion Criteria:~Nulliparous~Gestational age 36 0/7 weeks and greater at enrollment~Singleton gestation~Planned to undergo initiation of exogenous oxytocin infusion by their maternity care provider~Spontaneous rupture of membranes or if membranes intact, modified Bishop score ≥5 and cervix dilated <6 cm within one hour of enrollment~Ability to give informed consent~Exclusion Criteria:~Unable to understand English or Spanish~Prior use of exogenous oxytocin or attempt at nipple stimulation during the current pregnancy~Presence of tachysystole (defined as more than 5 contractions in 10 minutes averaged over 30 minutes), recurrent variable or late fetal decelerations, and bradycardia in the prior 30 minutes before enrollment~Non-vertex presenting fetus at time of enrollment~Planned for cesarean delivery or contraindication to labor by institutional policy (e.g., placenta previa, vasa previa, active genital herpes infection, previous transmural myomectomy)~Multi-fetal gestation (e.g., twins, triplets, and higher-order multiples)~Intrauterine fetal death~Major fetal anomaly suspected prenatally (defined as a fetal anomaly with anticipated neonatal intensive care unit admission)~Suspected alloimmunization (given the increased likelihood for anticipated neonatal intensive care unit admission)~Known severe fetal growth restriction (estimated fetal weight <3rd percentile) or abnormal umbilical artery Doppler studies (given the increased likelihood for anticipated neonatal intensive care unit admission)~HIV infection (nipple stimulation is not encouraged given the recommendation for these mothers not to breastfeed)~Participation in another interventional study that influences management of labor and delivery or perinatal morbidity or mortality~History of mastectomy or other contraindication to use of electronic breast pump~Known allergic reactions to components of the electronic breast pump or to synthetic oxytocin intravenous solution~Significantly impaired consciousness or executive function (e.g., intubated or sedated)",Included,The trial explicitly includes pregnant individuals as it involves nulliparous women undergoing induction of labor near term.,The investigators propose a parallel group randomized clinical trial of intrapartum nipple stimulation versus exogenous oxytocin infusion for nulliparous women undergoing induction of labor near term.,1,0,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,Labor induction/management (non-C-section),"This trial investigates the use of intrapartum nipple stimulation versus exogenous oxytocin infusion for labor induction in nulliparous women. The primary focus is on labor induction and management, with secondary outcomes related to maternal and neonatal health, breastfeeding, and patient-centered outcomes including pain scores.",1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",
223,NCT04542148,Glycemic Control After Antenatal Corticosteroids in Women With Pregestational and Gestational Diabetes (Close the GAP),"There is a fundamental gap in understanding the maternal and neonatal effects of antenatal corticosteroid (ACS) administration in women with threatened preterm birth (PTB) who have diabetes. Since the initial discovery of ACS for neonatal benefit in 1972, more than 40 randomized controlled trials have been performed evaluating its efficacy. However, none of these trials have included women with T2DM, and there is limited data among women with gestational diabetes. While ACS have been shown to reduce neonatal morbidity associated with PTB in non-diabetic women, the side effects of ACS (maternal hyperglycemia and fetal hyperinsulinemia) may mitigate the neonatal benefit of ACS in women with diabetes. Before neonatal benefit of ACS can be evaluated in this population, the first step is to optimize maternal glycemic control after ACS. Previous studies evaluating maternal hyperglycemia after ACS have been limited by small sample size, retrospective study design, or insufficient glucose data. Use of continuous glucose monitoring (CGM) in a randomized clinical trial provides a unique opportunity to overcome these challenges. Our long-term goal is to improve maternal and child health among women with diabetes as an independently funded clinical researcher. The research objectives of this proposal are to test the efficacy of three treatment strategies at achieving maternal glycemic control after ACS and evaluate the association between maternal glycemic control and neonatal outcomes. Our central hypothesis is that treatment with a continuous insulin infusion will improve maternal glycemic control, which is key to improving neonatal outcomes, but at the cost of less patient satisfaction and more health resource utilization. This hypothesis will be tested by pursuing the following specific aims: 1) Test the efficacy of three treatment strategies (addition of sliding scale insulin, up-titration of home insulin, and continuous insulin infusion) at achieving maternal glycemic control after ACS and 2) Quantify the association between maternal glycemic control after ACS and neonatal morbidity. Completion of these aims will determine the optimal strategy to achieve maternal glycemic control after ACS and inform a larger, multicenter trial to improve neonatal outcomes among women with diabetes and threatened PTB.",All,N/A,50 Years,Inclusion Criteria:~Gestational or pregestational type 2 diabetes mellitus treated with daily insulin injection(s) or oral hypoglycemic agents such as metformin~Hospitalized for antenatal corticosteroid administration in anticipation of preterm birth~Gestational age 23 0/7 weeks - 36 5/7 weeks~Maternal age 18-50~Exclusion Criteria:~Planned delivery < 72 hours after 1st dose of antenatal corticosteroids~More than 16 hours after 1st dose of antenatal corticosteroids~Major fetal anomaly~Triplet or higher order multiple gestation,Included,The trial explicitly includes pregnant women with gestational or pregestational type 2 diabetes mellitus who are hospitalized for antenatal corticosteroid administration in anticipation of preterm birth.,Inclusion Criteria: Gestational or pregestational type 2 diabetes mellitus treated with daily insulin injection(s) or oral hypoglycemic agents such as metformin~Hospitalized for antenatal corticosteroid administration in anticipation of preterm birth,1,0,0,10. Gestational diabetes,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,Gestational diabetes,"The trial focuses on optimizing maternal glycemic control after antenatal corticosteroid administration in women with gestational and pregestational diabetes, specifically in the context of threatened preterm birth. The primary category is 'Gestational diabetes' due to the focus on diabetes management during pregnancy. The secondary category is 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage' because the intervention is aimed at women with threatened preterm birth.",1,1,10. Gestational diabetes,
