,nct_id,official_title,summary,criteria,Postpartum_GPT,Postpartum_quote.x,Enrolls_postpartum,Postpartum_intervention,Postpartum_quote.y,Review
1,NCT06168461,Aspirin for the Treatment of Vascular Dysfunction After Preeclampsia,"Women who develop preeclampsia during pregnancy are four times more likely to develop cardiovascular disease later in life, even if they are otherwise healthy. The reason why this occurs may be related to lasting blood vessel damage after the pregnancy but there are currently no specific treatment strategies to prevent this disease progression. This study addresses this public health issue by examining whether starting low dose aspirin therapy after pregnancy is an effective treatment for lasting blood vessel damage in order to inform better clinical management of cardiovascular disease risk in women who have had preeclampsia.","Inclusion Criteria:~had preeclampsia in the past 5 years,~18 years or older~Exclusion criteria:~current daily aspirin use,~skin diseases,~current tobacco or nicotine use (including vaping),~diagnosed or suspected hepatic or metabolic disease including chronic kidney disease (CKD) defined as reduced eGFR < 60 mL/min/1.73m2,~statin or other cholesterol-lowering medication,~current antihypertensive medication,~history of hypertension prior to pregnancy,~history of gestational diabetes,~currently pregnancy,~body mass index <18.5 kg/m2,~allergy to materials used during the experiment.(e.g. latex),~known allergies to study drugs,~bleeding disorders, peptic ulcer disease, gastritis, GI bleeding and gastroesophageal reflux disease (GERD).",Postpartum intervention,This study addresses this public health issue by examining whether starting low dose aspirin therapy after pregnancy is an effective treatment for lasting blood vessel damage.,1,1,This study addresses this public health issue by examining whether starting low dose aspirin therapy after pregnancy is an effective treatment for lasting blood vessel damage,1
2,NCT01306331,"A Multicenter, Open-Label, Randomized Study of the Contraceptive Efficacy and Safety of Phexxi™ (Previously Known as Amphora) Gel Compared to Conceptrol Vaginal Gel","This is a research study of a new experimental vaginal gel that helps in vaginal pH regulation and results in immobilization of spermatozoa by maintaining the normally low vaginal pH, even in the presence of semen. This vaginal gel is called Phexxi™ (previously known as Amphora) and was compared to a commercially available spermicide called Conceptrol®, which contains nonoxynol 9; commonly abbreviated as N-9. Conceptrol® can help prevent pregnancy. This study objective was to determine if this product prevents pregnancy when inserted into the vagina before intercourse.","Inclusion Criteria:~Be healthy women, who are sexually active, at risk for pregnancy, and desiring contraception.~Be within the age range of 18 through 35 (inclusive) at enrollment if not in the subset of women with an age of 36-45 at enrollment (age subset at select sites).~Be at low-risk for both human immunodeficiency virus (HIV) and sexually transmitted disease (STD) infection and currently have a single sex partner (≥ 4 months) who is also at low-risk for both HIV and STD infection.~Have a negative urine pregnancy test prior to enrollment.~Have normal cyclic menses with a usual length of 21 to 40 days over the last two cycles or at least one spontaneous, normal menstrual cycle (two menses) since delivery, abortion, or after discontinuing hormonal contraception/hormonal therapy.~Be willing to accept a risk of pregnancy.~Be willing to engage in at least two acts of heterosexual vaginal intercourse per cycle.~Be willing to be randomized to either study treatment.~Be willing to use the study product as the only method of contraception over the course of the study (with the exception of emergency contraception (EC)), when indicated).~Be capable of using the study product properly and agree to observe all study directions and requirements.~Be willing to keep a daily diary to record coital information, product use information, information about the use of other vaginal products, and sign and symptom data for both the subject and her partner.~Agree not to participate in any other clinical trials during the course of the study with the exception of enrolling in the Amphora™ gel extension study.~Be willing to give written informed consent to participate in the trial.~Exclusion Criteria:~Have a history of allergy or sensitivity to spermicides or products containing N-9 (nonoxynol-9).~Have had three or more urinary tract infections (UTIs) in the past year.~Have a UTI by urine culture, symptomatic yeast vaginitis, or symptomatic bacterial vaginosis diagnosed by wet mount unless treated and proof of cure is documented.~Have a history of any recurrent vaginal infections/disorders (either less than or equal to four times in the past year or less than or equal to three times in the previous six months).~Be pregnant, have a suspected pregnancy, or desire to become pregnant during the course of the study.~Have a history of infertility or of conditions that may lead to infertility, without subsequent intrauterine pregnancy.~Have any contraindications to pregnancy (medical condition) or chronic use of medications for which significant evidence of fetal risk exists.~Have had more than one sexual partner in the last four months.~Have shared injection drug needles in the past unless has a negative HIV test at least six weeks since last use.~Have or have been suspected to have HIV infection.~Have been diagnosed with genital herpes simplex virus (HSV), with the first occurrence (initial episode) within three months prior to screening.~Have three or more outbreaks of HSV within the last year.~Have evidence of Chlamydia trachomatis or Neisseria gonorrhoeae unless she and her partner complete treatment and proof of cure is documented.~Have been diagnosed with any other STDs in the six months prior to the Randomization Visit (with the exception of human papillomavirus (HPV), trichomonas, gonorrhea, adn Chlamydia).~Be lactating or breastfeeding.~Have any clinically significant abnormal vaginal bleeding or spotting within the month prior to screening.~Have any clinically significant abnormal finding on pelvic examination or baseline labs, which in the view of the investigator, precludes her from participating in the trial.~Have clinically significant signs of vaginal or cervical irritation on pelvic examination.~Have had vaginal or cervical biopsy or vaginal surgery within three months prior to screening (with the exception of cervical biopsies performed for eligibility determination).~Have used vaginal or systemic antibiotics or antifungals within 14 days prior to screening or enrollment/randomization, with the exception of systemic antibiotics taken for a UTI and trichomonas diagnosed at screening. Subjects should not have used systemic antibiotics prescribed at the Screening Visit for a UTI within seven days of the enrollment/randomization visit.~Have had a Depo-Provera® injection in the ten months prior to enrollment.~Have an abnormal Pap test based on the following criteria:~Pap test in the past 15 months with ASC-US unless:~less than 21 years of age;~a repeat Pap test at least six months later was normal;~reflex HPV testing was performed and was negative for high-risk HPV; or~a colposcopy (with or without biopsy) found no evidence of dysplasia requiring treatment or treatment was performed and follow-up at least six months after the treatment showed no evidence of disease;~Pap test in the past 15 months with LSIL unless:~less than 21 years of age;~a colposcopy (with or without biopsy) found no evidence of dysplasia requiring treatment or treatment was performed and follow-up at least six months after the treatment showed no evidence of disease;~Pap test in the past 15 months with ASC-H, atypical glandular cells, or HSIL unless colposcopy and/or treatment was performed and follow-up at least six months after the colposcopy and/or treatment showed no evidence of disease;~Pap test in the past 15 months with malignant cells.~Consume (on average) greater than three drinks of an alcoholic beverage per day.~Have a past history (within 12 months) or current history which, in the PI's judgment, constitutes of drug abuse (recreational, prescription, or over-the-counter (OTC)).~Have taken an investigational drug or used an investigational device within the past 30 days.~Have issues or concerns (in the judgment of the investigator) that may compromise the safety of the subject or confound the reliability of compliance and information acquired in this study.~In addition, in order to be eligible to participate in the trial, potential subjects must state that, to her best knowledge, her sexual partner meets the following criteria:~Is not infertile.~Has had untreated chlamydia or gonorrhea in the past six months.~Has not had more than one sexual partner in the past four months.~Has no history of allergy or sensitivity to spermicides or products containing N-9.~Has not been previously diagnosed with or suspected of HIV infection unless he has subsequently had a negative HIV test.~Has not been known to have engaged in homosexual intercourse in the past five years unless he has had negative HIV test results since then.~Has not shared injection drug needles in the past unless he has had a negative HIV test at least six weeks since last use.",Neither,0,1,0,"at least one spontaneous, normal menstrual cycle (two menses) since delivery",0
3,NCT05233956,Levonorgestrel Intrauterine System Effects on Hemoglobin and Serum Ferritin Among Anemic Women in Kenya: an Open Label Randomized Trial to Compare With an Oral Contraceptive Regimen That Provides Supplemental Ferrous Fumarate Tablets,Women with mild/moderate anemia who are seeking contraception will be randomized to a levonorgestrel (LNG) intrauterine system (IUS) or an LNG/ethinyl estradiol (EE)/ferrous fumarate combined oral contraceptive (COC) regimen and followed prospectively for 18 months. Approximately 600 participants will be enrolled. The primary hypothesis is that the mean change in hemoglobin concentration will be significantly higher in the group assigned to the LNG IUS compared to the group assigned to COCs,"Inclusion Criteria:~Provide sequential oral and written consents to screen for eligibility and enroll~Female, aged 18-50~Desire to use contraception or possibly switch methods~Possession of a cell phone and willingness to be contacted~Confirmatory low hemoglobin (minimum of 87 g/L and maximum of 126 g/L) taken 1 to 4 weeks after the initial test~Regularly menstruating (at least once every 35 days)~At least 6 weeks postpartum~Willingness to agree to study procedures~Willingness to be randomized to treatment~Willingness to use assigned hormonal contraceptive for 18 months~Exclusion Criteria:~Severe anemia (hemoglobin < 86 g/L)~Currently pregnant based on urine pregnancy test and failure to rule out possible pregnancy according to WHO guidelines~Surgically sterilized or had a hysterectomy~Participated previously in this study by being randomized to contraceptive~Currently using a subdermal contraceptive implant and does not wish to have it removed~Currently using an LNG IUS~Currently receiving treatment for anemia~Any of the following previously diagnosed disorders: hemosiderosis, hemochromatosis, hemolytic anemia~Known allergic reactions to oral contraceptives or LNG IUS~Currently receiving an investigational (unapproved) drug in another study~Any condition (social or medical) which in the opinion of the investigator would make study participation unsafe~Intending to become pregnant in the next 18 months~Mucopurulent cervicitis~Pelvic inflammatory disease~Other medical contraindications to treatment, according to WHO Medical Eligibility Criteria (categories 3 or 4)",Neither,0,1,0,At least 6 weeks postpartum,1
4,NCT05937867,"A Randomized, Double-blinded, Placebo-controlled，Phase II Clinical Study to Evaluate the Efficacy and Safety of HS-10353 in Participants With Postpartum Depression","The primary purpose of this study is to determine if treatment with HS-10353 reduces depressive symptoms in participants with postpartum depression (PPD) compared to placebo as assessed by the change from baseline in the 17-item Hamilton Rating Scale for Depression (HAM-D17) total score at Day 15. And the secondary purpose of this study is to evaluate the safety and tolerability of HS-10353 compared to placebo as assessed by the incidence of adverse events, clinical laboratory evaluations, electrocardiogram (ECG) parameters, the Columbia Suicide Severity Rating Scale (C-SSRS), and the 20-item Physician Withdrawal Checklist (PWC-20).","Inclusion Criteria:~Female subjects aged 18 to 45 years (including cut-off)~Based on the investigator's clinical evaluation, subjects met the Diagnostic and Statistical Manual of Mental Disorders 5th Edition (DSM-5) criteria for recurrent depressive disorder (MDD) or single episode MDD without psychotic symptoms, and the onset of this depression occurred between 28 weeks of gestation and 4 weeks postpartum~≤12 months post partum~Hamilton Depression Scale (HAM-D17) total score ≥26~Subjects who are not taking antidepressants for a current episode, or who have taken an oral antidepressant (SSRIs or SNRIs limited, including citalopram, Escitalopram, paroxetine, sertraline, venlafaxine, norvenlafaxine, duloxetine, Minapram) for at least 30 days at a pre-screening stable dose (allowing for a reduction of the drug within 1 week prior to screening),Or who had used any antidepressant before screening but had stopped taking it for at least five drug half-lives~Agree to discontinue the use of other new antidepressants, antipsychotics, mood stabilizers, and benzodiazepine sedatives and hypnotics during administration~According to the investigators, the subjects were generally in good physical condition, and no clinically significant abnormalities were found in physical examination, vital signs, 12-lead electrocardiogram (ECG), and laboratory tests (blood routine, blood biochemistry, coagulation function, urine routine, etc.) during screening~Urine beta-human chorionic gonadotropin (beta-hCG) negative~Agree to abstain from sex or other effective contraceptive methods for 30 days from screening until the last dose, and no egg donation plan is planned during this period~If you have stopped breastfeeding, you must agree to stop breastfeeding before the first dose, and at least 7 days after the last dose.Able to communicate well with researchers, willing and able to comply with the lifestyle restrictions specified in the protocol, and cooperate with the completion of the experiment~Subjects should fully understand the study content and process, as well as possible adverse reactions, and voluntarily sign an informed consent form (ICF).~Exclusion Criteria:~Accompanied by psychotic symptoms~In addition to depression, current history and previous history met the diagnostic criteria for other psychiatric disorders in the DSM-5 and were judged by the investigators to have potential implications for clinical studies~Meet the diagnostic criteria for treatment-resistant depressive disorder~Homicidal ideation/intent was present, or based on the Columbia Suicide Severity Assessment Scale (C-SSRS), the subject had a history of suicidal intent/self-harm behavior during the current depressive episode~Atypical antipsychotics, mood stabilizers (e.g., olanzapine, risperidone, quetiapine, aripiprazole, iprazole, Ziprasidone, calilrazine, sodium valproate, lithium carbonate) were used during the current depressive episode.~History of modified electrical tics (MECT), transcranial magnetic stimulation (TMS), or prior treatment with vagus nerve stimulation (VNS) or deep brain stimulation (DBS) within 1 month prior to screening~Present or previous history of disease or dysfunction affecting clinical trials, including but not limited to nervous system, cardiovascular system, urinary system, digestive system, respiratory system, skeletal musculoskeletal system, metabolic endocrine system, skin disease, blood system disease, immune disease and tumor, clinically significant chronic disease or poor disease control,The researchers assessed that they were not fit to participate in this study~The presence of any surgical condition or condition that may significantly affect the absorption, distribution, metabolism and excretion of the drug, or that may pose a hazard to the subjects participating in the trial;Such as gastrointestinal surgery history (gastrectomy, gastrostomy, enterectomy, etc.), urinary tract obstruction or dysuria, gastroenteritis, gastrointestinal ulcer, gastrointestinal bleeding history, etc~Previous history of seizures (except convulsions caused by febrile convulsions in children)~History of severe allergies~A history of drug abuse or benzodiazepine dependence within the last 1 year~A history of alcohol abuse in the last 6 months (i.e. drinking more than 14 standard units per week, 1 unit =360ml beer or 45ml spirits with 40% alcohol or 150ml wine)~Participate in any clinical study within 30 days prior to screening~Take CYP3A4, CYP2C9, or CYP2C19 suppressants (e.g. Clarithromycin, itraconazole, ketoconazole, voriconazole, fluvoxamine, fluconazole, fluoxetine, ticlopidine) for 14 days prior to first dosing (or 5 half-lives, whichever is longer) and throughout the study period.Or grapefruit/grapefruit juice, grapefruit/grapefruit, Seville orange or products rich in such substances~CYP inducers such as rifampin, carbmazepine, Ritonavir, enzalutamide, efavirenan, nevirapine, phenytoin, phenobarbital, or St. John's Wort were taken within 14 days prior to first administration (or 5 half-lives, whichever is longer) and throughout the study period~12-lead electrocardiogram and other test indicators abnormal and clinically significant, such as: Friericia corrected QT interval (QTcF= QT/RR0.33), absolute value > 470ms~Hepatitis B surface antigen (HBsAg), hepatitis C antibody (HCV-Ab), human immunodeficiency virus antibody (HIV-Ab), syphilis seroresponse (TRUST) positive~Alanine aminotransferase (ALT) or aspartate aminotransferase (AST) > 1.5 times upper limit of normal (ULN), serum creatinine (Cr) > 1.5 times ULN~Poor compliance or other problems, the researcher considered it inappropriate to participate in the study",Enrolls postpartum,≤12 months post partum,1,1,the onset of this depression occurred between 28 weeks of gestation and 4 weeks postpartum,1
5,NCT01234649,Effects of Intervention With the Glucagon-like Peptide 1 (GLP-1) Analog Liraglutide Plus Metformin Versus Metformin Monotherapy in Overweight/Obese Women With Metabolic Defects and Recent History of Gestational Diabetes Mellitus (GDM),A diagnosis of gestational diabetes mellitus (GDM)has significant implications for the future health of the mother. GDM is often the culmination of years of unrecognized and unmodified diabetes risk factors that lead to overt and occult clinical manifestations during pregnancy. Systematic reviews of older studies conclude that 35-60% women with gestational diabetes will develop type 2 diabetes (DM2) at rates much greater than control groups who did not have glucose intolerance during pregnancy. Liraglutide may potentially delay disease progression in GDM considering the beta -(ß-)cell function improvement in DM2 and ß-cell mass shown to increase in animal models. This study will examine if the addition of liraglutide to metformin therapy is more effective than metformin alone in improving insulin sensitivity and normalizing insulin secretion in at-risk overweight/obese women with prior GDM.,"Inclusion Criteria:~Adult female 18 years to 45 years of age who experienced GDM within 52 weeks of index pregnancy~Actual BMI >25 kg/ m2~Written consent for participation in the study~Patient completed lactation~Dysglycemia (impaired fasting glucose [IFG}, impaired glucose tolerance [IGT} or IFG/IGT) and/or ß-cell dysfunction postpartum requiring pharmacological intervention (except type 1 or 2 diabetes)~Exclusion Criteria:~Personal or family history of medullary thyroid carcinoma or in patients with Multiple Endocrine Neoplasia syndrome type 2~History of pancreatitis~Significant cardiovascular, cerebrovascular, renal, or hepatobiliary diseases in the past (viral hepatitis, toxic hepatic damage, jaundice of unknown etiology)~Serum liver enzymes (AST and/or ALT levels) exceeding more than twice normal laboratory values~Uncontrolled hypertension (systolic blood pressure>150 mm Hg and/or diastolic blood pressure >90 mm Hg)~Fasting serum triglycerides ≥800 mg/dl at screening. Lipid-lowering medications must have been maintained at the same dose for 3 months prior to enrollment~Hematological profiles considered to be clinically significant~Cholestasis during the past pregnancy~Presence of contradictions for GLP-1 receptor agonist or metformin administration such as allergy or hypersensitivity~Current use of metformin, thiazolidinediones, dipeptidyl peptidase-4 inhibitors or GLP-1 receptor agonist medications.~Use of drugs known to exacerbate glucose tolerance.~Use of prescription or over-the-counter weight-loss drugs~Diabetes postpartum or history of diabetes or prior use of medications to treat diabetes except gestational diabetes~Creatinine clearance less than 60 ml/min~History or currently undergoing chemotherapy or radiotherapy for cancer~Pregnancy planned during the coming two years~Currently breastfeeding~Exclusion criteria include any condition, which in the opinion of the investigator would place the subject at increased risk or otherwise make the subject unsuitable for participation in the study",Enrolls postpartum,Inclusion Criteria: Adult female 18 years to 45 years of age who experienced GDM within 52 weeks of index pregnancy.,1,1,Adult female 18 years to 45 years of age who experienced GDM within 52 weeks of index pregnancy,1
6,NCT05924971,Acetylsalicylic Acid for Postpartum Preeclampsia: A Pilot Randomized Trial,"The purpose of this research study is to evaluate the effect of low-dose aspirin on recovery from severe preeclampsia (a high blood pressure disorder of pregnancy) among women who have given birth. We hypothesize that taking aspirin for the first week after giving birth will enhance recovery from preeclampsia by decreasing the levels of a protein called soluble fms-like tyrosine kinase (sFlt-1), which is thought to be a main contributor to the development of preeclampsia, and speeding up return to a normal blood pressure.","Inclusion Criteria:~Preeclampsia with severe features diagnosed during delivery admission, as defined by ACOG criteria.~Pre- and postnatal care provided by the Long Beach Memorial Ob/Gyn resident or Maternal-Fetal Medicine clinic.~Exclusion Criteria:~Patient age <18 years old~Non-English or Non-Spanish speaking~Chronic hypertension diagnosed before 20 weeks' gestation~Known allergy, prior adverse reaction, or any medical condition in which aspirin is contraindicated (nasal polyps, gastric or duodenal ulcers, history of gastrointestinal bleeding, severe hepatic dysfunction)~Aspirin prescribed postpartum for any other medical condition~Bleeding disorder~Breastfeeding an infant with thrombocytopenia",Enrolls postpartum,The purpose of this research study is to evaluate the effect of low-dose aspirin on recovery from severe preeclampsia (a high blood pressure disorder of pregnancy) among women who have given birth.,1,1,taking aspirin for the first week after giving birth,1
7,NCT02614547,"A Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study Evaluating The Efficacy, Safety, And Pharmacokinetics Of SAGE-547 Injection In The Treatment Of Adult Female Subjects With Severe Postpartum Depression","This is a multicenter, randomized, double-blind, parallel-group, placebo-controlled study of the efficacy, safety, and pharmacokinetics of SAGE-547 Injection in adult female participants diagnosed with severe postpartum depression.","Key Inclusion Criteria:~Participant either must have ceased lactating at Screening; or if still lactating at Screening, must have already fully and permanently weaned their infant(s) from breastmilk; or if still actively breastfeeding at Screening, must agree to cease giving breastmilk to their infant(s) prior to receiving study drug.~Participant had a major depressive episode that began no earlier than the third trimester and no later than the first 4 weeks following delivery, as diagnosed by Structured Clinical Interview for DSM-IV Axis I Disorders (SCID-I).~Participant was less than or equal to (<=) six months postpartum.~Participant must be amenable to intravenous therapy.~Key Exclusion Criteria:~Active psychosis.~Attempted suicide associated with index case of postpartum depression.~Medical history of seizures.~Medical history of bipolar disorder.~Note: suicidal ideation was not an exclusion. Other protocol-defined inclusion/exclusion criteria may apply.",Enrolls postpartum,Participant was less than or equal to (<=) six months postpartum.,1,1,Participant was less than or equal to (<=) six months postpartum.,1
8,NCT00602355,Placebo Controlled Trial of Sertraline and Interpersonal Psycho-Therapy for Postpartum Depression,This study will evaluate the effectiveness of antidepressant medication alone and interpersonal psychotherapy alone in treating women with postpartum depression.,"Inclusion Criteria:~Primary DSM-IV diagnosis of major depressive disorder by clinical interview~Score of greater than 12 on HAM-D~Delivery of an infant within the 12 months prior to study entry~Able to speak and read English sufficiently to complete the study procedures~Willing to use effective birth control methods throughout the study~Exclusion Criteria:~Woman whose infant has died prior to study entry~Current or past diagnosis of bipolar disorder, schizophrenia or other psychotic disorder;~Diagnosis of alcohol or drug abuse or dependence (except nicotine) or anorexia in the past year;~Psychotic symptoms;~Acute suicidal or homicidal risks;~Women who have been on an antidepressant for more than 14 days prior to consent, (if less than 14 days and willing to taper off, will be eligible to continue once tapered off);~Women on daily anxiolytic medication (i.e. benzodiazepine, buspirone) or daily psychoactive herbal preparation (St. John's Wort or Fish Oil) (if willing to discontinue these substances may be eligible once they have been tapered off);~Medications taken PRN over the listed dose and frequency (women will still be eligible if they take: Lunesta/Eszopiclone 3 mg or less, up to 3 nights a week, Ambien/Zolpidem 5mg or less, Ambien CR 6.25 mg or less, up to 3 nights a week, Lorazepam or equivalent benzodiazepine dose: 0.5 mg up to 3 nights a week, Sonata/Zaleplon: 5 mg or less, up to 3 nights a week, Rozerem/Ramelteon: 8 mg or less, up to 3 nights a week);~If they take antidepressants PRN for insomnia (eg: Desyrel/Trazodone, Elavil/Amitriptyline, Remeron/Mirtazapine;~Ongoing concurrent psychotherapeutic treatment or psychotherapeutic treatment within the last month;~Psychiatric symptoms requiring specialized psychiatric treatment;~Significant medical disorder that would make sertraline treatment contra-indicated,~Previous trial of IPT therapy with a certified IPT therapist or an adequate trial of sertraline (i.e. at least 8 weeks of at least 100 mg daily of sertraline).",Enrolls postpartum,Delivery of an infant within the 12 months prior to study entry,1,1,Delivery of an infant within the 12 months prior to study entry,1
9,NCT02144259,The Impact of Contraception on Postpartum Weight Loss: a Prospective Study,"This is a prospective mixed methods study to assess weight changes in women randomized to receive Implanon ® or Depo Provera® (DMPA) immediately postpartum compared to women who choose non-hormonal contraception or no contraception immediately postpartum. After enrollment, subjects return for a visit at 3, 6 and 12 months postpartum to be asked a series of questions, take a pregnancy test, and be weighed. Total length of participation for each subject is 1 year or until pregnancy.","Inclusion Criteria:~English speaking~Aged 18-45 at enrollment (inclusive)~Immediately postpartum of a live singleton infant, 37 weeks gestation, at HUP~Desiring to delay another pregnancy for 6 months~Willing and able to follow the study protocol~Exclusion Criteria:~Breastfeeding during study participation~Plans for relocation outside of Philadelphia in the next six months~Plans for use of weight loss medication or diet pills in the next six months~Women who wish to start Implanon ® or DMPA prior to discharge but who do not want to be randomized. 5. Issues or concerns in the judgment of the investigator that may compromise the safety of the subject or confound the reliability of compliance and information acquired in this study",Enrolls postpartum,"Immediately postpartum of a live singleton infant, 37 weeks gestation, at HUP",1,1,"Immediately postpartum of a live singleton infant, 37 weeks gestation, at HUP",1
10,NCT05889468,The Association Between Postpartum Aspirin Use and NT-proBNP Levels as a Marker for Maternal Health Outcomes.,This study is a double-blinded randomized-controlled trial in which patients will be randomized to 81 mg of aspirin or placebo to be continued for 6 weeks' postpartum. The purpose of this study is to compare NT-proBNP levels at the 4-6 week postpartum visit between groups. There is currently no data on the maternal health effects associated with continuation of low-dose aspirin in the postpartum period. This study aims to fill a gap in the knowledge regarding the utility of low-dose aspirin following delivery.,"Inclusion Criteria:~18 years of age and older~English-speaking~postpartum~have met USPSTF recommendations for low-dose aspirin use during pregnancy: >1 high risk factor (history of preeclampsia in prior pregnancy, multifetal gestational, chronic hypertension, preexisting diabetes, renal disease, autoimmune disease) or >2 moderate risk factors (nulliparity, obesity, family history of preeclampsia, sociodemographic characteristics, age 35 years or older, or personal history factors) and reported at least 50% compliance with aspirin during pregnancy.~Exclusion Criteria:~hypersensitivity reaction to aspirin or other salicylates,~history of gastrointestinal bleeding~history of gastric or duodenal ulcers~severe hepatic dysfunction~bleeding disorders and diathesis~known cardiac dysfunction with reduced ejection fraction, or are taking or prescribed ACE inhibitors.~Patients who required ICU level care during their pregnancy will be excluded.",Postpartum intervention,The purpose of this study is to compare NT-proBNP levels at the 4-6 week postpartum visit between groups.,1,1,patients will be randomized to 81 mg of aspirin or placebo to be continued for 6 weeks' postpartum,1
