"","nct_id","official_title","summary","criteria","Postpartum_GPT","Postpartum_quote.x","Enrolls_postpartum","Postpartum_intervention","Postpartum_quote.y"
"1","NCT05772156","Prophylactic Methylergonovine in Patients Undergoing Cesarean Delivery With Twin Gestations: A Randomized Controlled Trial","Obstetrical hemorrhage (excessive bleeding related to pregnancy) is a leading cause of maternal morbidity (disease or symptom of disease) and mortality (death) worldwide with a significantly higher frequency and severity following cesarean delivery. Twin gestations (twin pregnancy) are at particularly higher risk for postpartum hemorrhage, yet the management of obstetrical bleeding following twin delivery remains identical to singleton delivery.~The purpose of this study is to understand the effect of prophylactic methylergonovine on blood loss in scheduled twin pregnancy cesarean deliveries. Participants will be randomized (like tossing a coin) to Methylergonovine (investigational drug) or water with salt (saline) (placebo). Methylergonovine or saline will be given as an injection immediately after delivery.","Inclusion Criteria:~Twin gestation~Scheduled cesarean delivery (>=34 weeks)~Exclusion criteria:~Patients with known hypertensive disease: history of chronic hypertension, gestational hypertension or preeclampsia with or without severe features~Use of protease inhibitors given known vasoconstrictive side effects with concomitant methylergonovine administration~Hypersensitivity to methylergonovine or any of the ingredients~Participating in another intervention study where the primary outcome includes postpartum bleeding or thromboembolism, or the study intervention directly affects postpartum bleeding or thromboembolism~Receipt of uterotonics, other than oxytocin, or planned or expected use of uterotonic prophylaxis~Non-elective cesarean delivery","Postpartum intervention","Methylergonovine or saline will be given as an injection immediately after delivery.",0,1,"Methylergonovine or saline will be given as an injection immediately after delivery."
"2","NCT02181933","A Prospective Randomised Open Label Clinical Trial to Determine the Efficacy of Nevirapine, Compared With a Combination of ZDV + 3TC, in Decreasing the Peripartum Mother to Child Transmission of HIV. Women, Who Present After 38 Weeks Gestation or in Labour After 35 Weeks Gestation and Who Are Anti-retroviral Naive, Will be Included.","The primary objective of the study was to evaluate the efficacy of nevirapine versus ZDV+3TC (Zidovudine + Lamivudine), when administered in labor and again at postdelivery, in reducing peripartum mother to child transmission of HIV (Human Immunodeficiency Virus).~The secondary objective was to assess the overall HIV transmission rate between the 2 groups (intrauterine, intrapartum and postpartum up to 6 weeks) as well as to explore the relationship between infection and timing of maternal dose relative to birth, infant feeding method, maternal peripheral blood viral load, and other potential risk factors for transmission.~Following the introduction of the second and third Amendments to the Protocol, 2 substudies were added. The objectives of these substudies were to evaluate the frequency of resistance-conferring mutations to nevirapine (Amendment 2) and to ZDV+3TC (Amendment 3); to determine whether there was a reversion of any resistant virus to the wild type; and to determine if the resistant virus was transmitted from the mother to the child.","Inclusion Criteria:~Pregnant women who present after 38 weeks gestation or in labour after 35 weeks gestation who are tested HIV positive. Estimated gestational age will be determined by one or more of the following:~Reliable menstrual history, which corresponds with uterine size~Physical examination~Estimated fetal weight~A consent form for the mother and neonate will be signed by either the mother or the guardian prior to inclusion~Exclusion Criteria:~Mothers who have taken any antiretrovirals in the last 12 months~Mothers who are not able to take oral medication~Mothers who present with ARDS (acute respiratory distress syndrome), septic shock or eclampsia~Mothers presenting in discomfort, i.e. regular painful uterine contractions, or other factors that may contribute to her not being able to understand and sign the informed consent for HIV testing and study participation~Use of another investigational drug or concurrent participation in another investigational protocol during the current pregnancy~Unwillingness or inability to reasonably comply with the protocol (i.e., mother and neonate/infant could not be followed for the full 6 weeks of the trial)~Grade 4 SGPT (Serum glutamate pyruvate transaminase) (>10 times the upper limit of normal value), if known prior to delivery~A recent history (6 months preceding the study) or current evidence of drug abuse and/or alcoholism~Mothers with fetuses with anomalies incompatible with life, if known prior to delivery~Decision to deliver the infant by elective Cesarean section~Amniocentesis was indicated~Infants with severe growth retardation diagnosed before birth~Infants who fall into the following groups will not receive treatment, but the mother-infant pair will remain in the trial~Infants with malformations incompatible with life~Life-threatening perinatal conditions which do not allow oral therapy (e.g., sepsis)","Postpartum intervention","The primary objective of the study was to evaluate the efficacy of nevirapine versus ZDV+3TC (Zidovudine + Lamivudine), when administered in labor and again at postdelivery, in reducing peripartum mother to child transmission of HIV.",0,0,""
"3","NCT01555931","Immediate vs. 4-8 Week Postpartum Levonorgestrel-releasing Intrauterine System Placement: A Randomized Clinical Trial (Short Title: PPIUD1)","This will be a randomized clinical trial of 190 women aged 18-45 who plan to breastfeed their infant for at least 6 months and desire to use the LNG-IUS as their primary contraceptive method postpartum. The investigators will compare the frequency of breastfeeding among women receiving the levonorgestrel-releasing intrauterine system (LNG-IUS) immediately after vaginal delivery compared to 4-8 weeks later. The investigators hypothesize there will be no difference in breastfeeding prevalence between the two groups.","Women ages 18-45~Pregnant and equal to or more than 24 weeks of estimated gestational age~States an intent to breastfeed for at least 6 months~States a plan to use the LNG-IUS postpartum~Anticipates a vaginal delivery~HIV negative~Intend to stay in the Chapel Hill area for at least 6 months after birth~No medical or personal conditions which in the judgment of study staff preclude participation in the study~Have no allergies to any component of the LNG-IUS~No known uterine anomalies~Fluent in English~No history of ectopic pregnancy~No known or suspected carcinoma of the breast~No known acute liver disease or liver tumor (benign or malignant)~No known or suspected uterine or cervical neoplasia or unresolved abnormal pap smear~No active pelvic inflammatory disease~No known hypersensitivity to any component of the LNG-IUS~No genital bleeding of unknown etiology~No history of solid organ transplantation~Additional eligibility criteria for entry into the randomized trial, as assessed postpartum~No endometritis or chorioamnionitis~Membranes ruptured for less than 24 hours prior to delivery (O'Hanley, Hayes)~No fever greater than or equal to 38°C during the intrapartum or postpartum period~Did not receive medications other than pitocin and/or misoprostol to control postpartum bleeding~Did not have a documented estimated blood loss of greater than 750mL intrapartum~Did not receive a blood transfusion for a diagnosis of postpartum hemorrhage~Did not have a third or fourth degree laceration at delivery.~The infant must be greater than 35 weeks EGA at birth as determined by physical exam at birth~The infant must weigh at least 2727 grams~Must have been a singleton birth~Infant not in the intensive care nursery~The infant has not been diagnosed with a condition which would preclude long term feeding","Postpartum intervention","The investigators will compare the frequency of breastfeeding among women receiving the levonorgestrel-releasing intrauterine system (LNG-IUS) immediately after vaginal delivery compared to 4-8 weeks later.",1,1,"This will be a randomized clinical trial of 190 women aged 18-45 who plan to breastfeed their infant for at least 6 months and desire to use the LNG-IUS as their primary contraceptive method postpartum."
"4","NCT04098874","Bupropion for the Prevention of Postpartum Smoking Relapse","This two-arm, double-blind, placebo-controlled randomized clinical trial will enroll pregnant women who quit smoking after learning they were pregnant and are motivated to stay abstinent postpartum. Participants will be randomized to receive extended-release bupropion (active 300mg or placebo once daily beginning 4 to 10 days postpartum to 12 weeks post-randomization). All participants will complete the same data collection procedures (e.g., biological sample collection for hormone and cotinine analysis and completion of validated questionnaires) at baseline (gestational week 36), weekly from 4 to 10 days postpartum through 12 weeks post-randomization and at weeks 12, 24, 36 and 52 post-randomization.","Inclusion Criteria:~Ability to provide informed consent~Age 18 to 40 years old~Stable health~7-day point prevalence abstinence demonstrated at randomization~Lifetime history of at least 100 cigarettes smoked~Quit smoking during the current pregnancy~Self-report of intention to remain abstinent after delivery ≥ 7 on a 10 point Likert-type scale~Uncomplicated delivery~Denies plans to become pregnant again during the trial.~Full-term delivery ≥ 37 weeks gestation~Home within 10 days of delivery~Exclusion Criteria:~Current use of other forms of tobacco or nicotine (e-cigs, chew, snuff, etc.)~Current use of cessation aids (e.g., varenicline, NRT)~Current use of illicit drugs or alcohol dependence~Current use of antidepressant medication~Bipolar disorder, eating disorder, or psychotic disorder based on the Structured Clinical Interview~Medications & conditions that may increase the risk of taking bupropion (e.g., current or history of pulmonary embolus, stroke, heart disease, kidney disease, glaucoma, diabetes, seizure disorder, traumatic head injury, use of medications metabolized by CYP2D6)~Family history of seizures or seizure disorder~Maternal use of medications that lower seizure threshold~Newborn with an elevated risk of seizure","Postpartum intervention","Participants will be randomized to receive extended-release bupropion (active 300mg or placebo once daily beginning 4 to 10 days postpartum to 12 weeks post-randomization).",1,1,"Participants will be randomized to receive extended-release bupropion (active 300mg or placebo once daily beginning 4 to 10 days postpartum to 12 weeks post-randomization)."
"5","NCT00066950","Prevention Management Model for Early Childhood Caries","The purpose of this study is to determine whether dental disease patterns and transmissable bacteria that are known to cause a severe form of dental decay in young children can be reduced or eliminated by treating mothers and their young infants early on with Chlorhexidine and fluoride varnish applications, respectively as part of a comprehensive Prevention Management Model.","Inclusion Criteria~Some evidence of geographic stability in South San Diego Bay Area~Planning on remaining in area approximately 3 years after birth of child~Must be able to provide consent in English or Spanish~Must be registered patients at San Ysidro Health Center in the prenatal program~Must be experiencing a normal pregnancy~Exclusion Criteria~Diabetes, anemia, placenta previa, seizure disorders, GDM, evidence of chromosomal disorders, Polyhydramnios, Thrombophlebitis, or RH-negative status~Vaginal bleeding, premature uterine contractions, viral or bacterial infections, diabetes, pregnant with twins or multiple births expected~Previous pregnancy complications where hospitalization was required","Postpartum intervention","treating mothers and their young infants early on with Chlorhexidine and fluoride varnish applications",0,0,""
"6","NCT01192035","PI or NNRTI as First-line Treatment of HIV in a West African Population With Low Adherence - the PIONA Trial","BACKGROUND: Since 1996 the combination of three or more drugs has been the mainstay of human immunodeficiency virus (HIV) treatment. The most important types of drugs are called nucleotide reverse transcriptase inhibitors (NRTIs), non-nucleotide reverse transcriptase inhibitors (NNRTIs) and protease inhibitors (PIs) Response to treatment is measured as increasing CD4+ cell count and decreasing HIV viral load. A major problem is the development of resistance. NNRTIs are recommended as part of first-line treatment of HIV in Africa but many Africans have a slower NNRTI clearance than Caucasians making them more susceptible for development of resistance in case of treatment interruptions. PIs might therefore be a better option in an African setting with low adherence.~AIM: To evaluate two different treatment regimens in HIV-1 infected patients:~A) A NNRTI (efavirenz/nevirapine) based regimen and B) A PI (ritonavir-boosted lopinavir) based regimen with regard to treatment outcomes. HYPOTHESIS: Treatment with a PI will be superior to treatment with a NNRTI due to less development of resistance.~METHODS: Treatment-naïve adult HIV-1 patients enrolled in an existing cohort The West African Retrovirus and Acquired Immune Deficiency (WARAID) cohort in Guinea Bissau with CD4+ cell count ≤ 350 cells/µL and/or clinical signs of immune suppression (World Health Organization (WHO) clinical stage 3 or 4) will be randomised 1:1 to: Treatment A: 2 NRTIs (lamivudine and either zidovudine or stavudine) and 1 NNRTI (efavirenz or nevirapine) or Treatment B: 2 NRTIs (same as in treatment A) and 1 PI (ritonavir-boosted lopinavir). Primary outcome: Viral load suppression <400 copies/ml 12 months after enrolment.~PERSPECTIVES: Guidelines for treatment of HIV in Africa are more or less a copy of the guidelines used in Europe and North America. Genetic differences in pharmacokinetics, more women infected in Africa and difficulties ensuring good adherence mean that results obtained from Caucasian patients are not directly transferrable to African patients. The results of this study will hopefully help guiding the treatment of HIV in Africa in the future. The investigators believe the HIV infected people in West Africa deserve the same evidence-based medicine as in developed countries.","Inclusion Criteria:~Antiretroviral treatment (ART) naïve HIV-1 infected patients. Women receiving ART during pregnancy can be included.~Age ≥ 18 years~CD4+ cell count ≤ 350 cells/µL and/or~Clinical signs of immune suppression (WHO clinical stage 3 or 4) irrespective of CD4+ cell count.~Exclusion Criteria:~Tuberculosis (TB) treatment with rifampicin at the time of enrolment.~Co-infection with HIV-2.~Grade 3 or 4 alanine transaminase (ALAT) elevation (>5 times upper normal limit).~Patients with cerebral disturbances that complicates the ability to give informed consent or follow the treatment regime.","Neither","0",1,0,"Women receiving ART during pregnancy can be included."
"7","NCT01061151","Breastfeeding Version of the PROMISE Study (Promoting Maternal and Infant Survival Everywhere)","The purpose of this study was to examine, in an integrated and comprehensive fashion, three critical questions currently facing HIV-infected pregnant and postpartum women and their infants:~What is the optimal intervention for the prevention of antepartum and intrapartum transmission of HIV?~What is the optimal intervention for the prevention of postpartum transmission in breastfeeding (BF) infants?~What is the optimal intervention for the preservation of maternal health after the risk period for prevention of mother-to-child-transmission ends (either at delivery or cessation of BF)?~The overall PROMISE protocol had three separate interventional components to address each of these three questions and was conducted at locations in Africa and other parts of the world. Due to variations in the standard of care for HIV-infected pregnant and postpartum women and their infants at different sites, not all of these questions were relevant. Therefore, two separate versions of the PROMISE protocol were developed, each containing only the relevant components. The 1077BF protocol was used at sites where the standard method of infant feeding was breastfeeding, whereas the 1077FF protocol was used at sites where the standard method of infant feeding was formula feeding. The analyses were collapsed across the two protocol versions, and therefore the summaries contain the results of the 1077BF and/or the 1077FF protocols.","Antepartum Component Inclusion Criteria:~Confirmed HIV-1 infection, defined as documented positive results from two samples collected at different time points prior to study entry. More information on this criterion can be found in the protocol.~Currently pregnant and greater than or equal to 14 weeks gestation based on clinical or other obstetrical measurements~CD4 count greater than or equal to 350 cells/mm^3, or greater than or equal to the country-specific threshold for initiation of treatment (if that threshold is greater than 350 cells/mm^3), on a specimen obtained within 30 days prior to study entry~Results of HBV screening (HBsAg testing) available from specimen obtained within 30 days prior to study entry~The following laboratory values from a specimen obtained within 30 days prior to study entry:~Hemoglobin greater than or equal to 7.5 g/dL~White blood cell count (WBC) greater than or equal to 1,500 cells/mm^3~Absolute neutrophil count (ANC) greater than or equal to 750 cells/mm^3~Platelets greater than or equal to 50,000 cells/mm^3~Alanine aminotransferase (ALT) less than or equal to 2.5 times the upper limit of normal (ULN)~Estimated creatinine clearance of greater than or equal to 60 mL/min using the Cockroft-Gault equation for women~Plans to deliver in the study-affiliated clinic or hospital~Has no plans to move outside of the study site area during the 24 months following delivery~Age of legal majority for the respective country and willing and able to provide written informed consent~Antepartum Component Exclusion Criteria:~Participation in PROMISE for a prior pregnancy~Ingestion of any antiretroviral (ARV) regimen with three or more drugs (regardless of duration) or more than 30 days of a single or dual ARV regimen during current pregnancy, according to self report or available medical records~Requires triple ARV therapy (HAART) for own health based on local standard guidelines~World Health Organization (WHO) stage 4 disease~Prior receipt of HAART for maternal treatment indications (e.g., CD4 less than 350 cells/mm^3 or clinical indications); however, could have received ARVs for the sole purpose of prevention of mother-to-child transmission (PMTCT) in previous pregnancies (prior PMTCT regimens could have included a triple ARV regimen, ZDV, 3TC-ZDV, and/or sdNVP for PMTCT, as well as use of a short dual nucleoside reverse transcriptase inhibitor [NRTI] tail to reduce risk of NVP resistance.)~In labor - at onset or beyond (may be eligible for the Late Presenter registration)~Clinically significant illness or condition requiring systemic treatment and/or hospitalization within 30 days prior to study entry~Current or history of tuberculosis (TB) disease (positive PPD without TB disease is not exclusionary)~Use of prohibited medications within 14 days prior to study entry (refer to the protocol for a list of prohibited medications)~Fetus detected to have serious congenital malformation (ultrasound not required to rule out this condition)~Current documented conduction heart defect (specialized assessments to rule out this condition are not required; a heart murmur alone and/or type 1 second-degree atrioventricular block [also known as Mobitz I or Wenckebach] is not considered exclusionary)~Known to meet the local standard criteria for treatment of HBV (Note: HBV DNA testing or other specialized assessments are not expected to be performed as part of this study. A woman would be excluded only if this information is documented from other sources and she meets the local standard criteria for HBV treatment based on those assessments.)~Social or other circumstances that would hinder long-term follow-up, in the opinion of the site investigator~Currently incarcerated~Late Presenter Inclusion Criteria:~Age of legal majority for the respective country~HIV-1 infection, defined as documented positive results from tests performed on one sample at any time prior to Late Presenter Registration~In labor (from onset/early labor or beyond) or within 5 days after delivery (with day of delivery considered day 0)~Has provided written informed consent~Has no plans to move outside of the study site area during the 24 months following delivery~If delivered, infant alive and healthy (In the case of a multiple birth, a mother-infant pair will be included in the Late Presenter registration only if both/all infants and the mother meet the eligibility criteria. If only one infant of a multiple birth is alive, the M-I pair may be registered if the infant and the mother otherwise meet all of the eligibility criteria.)~Late Presenter Exclusion Criteria:~Participation in PROMISE in prior pregnancy~Ingestion of any antiretroviral regimen during current pregnancy (including for solely for PMTCT), according to self report and available medical records (Note: Use of ARVs provided as standard of care for PMTCT during labor/delivery or postpartum prior to Late Presenter registration is not exclusionary.)~If known: CD4 count < 350 cells/mm3 or below the country-specific threshold for initiation of treatment, if that threshold is > 350 cells/mm3, on specimen obtained within 30 days prior to study entry (result not required prior to registration)~Requires triple ARV therapy (HAART) for own health according to local standard guidelines~WHO Stage 4 disease~Prior receipt of HAART for maternal treatment indications (e.g., CD4 < 350 cells/mm3 or clinical indications); however, could have received ARVs for the sole purpose of PMTCT in previous pregnancies. (Prior PMTCT regimens could have included a triple ARV regimen, ZDV, 3TCZDV and/or sdNVP for PMTCT, as well as use of a short dual NRTI tail to reduce risk of NVP resistance.)~Current or history of TB disease (positive PPD without TB disease is not exclusionary)~Known positive infant HIV nucleic acid test (NAT) result (result not required prior to registration)~Fetal demise or early neonatal death (prior to enrollment/registration)~Fetus detected with serious congenital malformation (ultrasound not required to rule out this condition)~Life threatening infant illness or birth condition incompatible with life~If delivered, infant birth weight < 2.0 kg~Social or other circumstances which would hinder long-term follow-up, in the opinion of the site investigator~Current documented conduction heart defect (specialized assessments to rule out this condition are not required; a heart murmur alone and/or type 1 second-degree atrioventricular block (also known as Mobitz I or Wenckebach) is not considered exclusionary)~Postpartum Component Inclusion Criteria:~Participation in the Antepartum Component or registered as a Late Presenter~Provided written informed consent~Has no plans to move outside of the study site area during the 24 months following delivery~Maternal CD4 count greater than or equal to 350 cells/mm^3, or greater than or equal to the country-specific threshold for initiation of treatment (if that threshold is greater than 350 cells/mm^3), from a specimen obtained within 30 days prior to study entry. More information on this criterion can be found in the protocol.~The following maternal laboratory values within 30 days prior to entry:~Hemoglobin greater than or equal to 7.0 g/dL~WBC greater than or equal to 1,500 cells/mm^3~ANC greater than or equal to 750 cells/mm^3~Platelets greater than or equal to 50,000 cells/mm^3~ALT less than or equal to 2.5 times the upper limit of normal (ULN)~Estimated creatinine clearance of greater than or equal to 60 mL/min using the Cockroft-Gault equation for women~Infant alive, healthy, less than or equal to 14 days of age, and uninfected (negative HIV NAT result on specimen drawn prior to study entry)~The following infant lab values on specimen obtained prior to study entry (within 14 days of birth):~Hemoglobin greater than or equal to 10 g/dL~WBC greater than or equal to 1,500 cells/mm^3~ANC greater than or equal to 750 cells/mm^3~Platelets greater than or equal to 50,000 cells/mm^3~ALT less than or equal to 2.5 times the ULN~For Registered Late Presenters: Confirmed maternal HIV-1 infection, defined as documented positive results from two samples collected at different time points at any time prior to entry. More information on this criterion can be found in the protocol.~Postpartum Component Exclusion Criteria:~Positive infant HIV NAT result on specimen drawn prior to entry or no infant HIV NAT result on specimen drawn prior to entry~Life-threatening infant illness or birth condition incompatible with life~Infant birth weight less than 2.0 kg~Social or other circumstances that would hinder long-term follow-up, as judged by the site investigator~Current or history of TB disease (positive PPD without TB disease is not exclusionary)~Current documented conduction heart defect (specialized assessments to rule out this condition are not required; a heart murmur alone and/or type 1 second-degree atrioventricular block [also known as Mobitz I or Wenckebach] is not considered exclusionary)~Requires triple ARV therapy (HAART) for own health~Maternal Health Component Inclusion Criteria:~Randomly assigned to triple ARV prophylaxis as part of the Postpartum Component and has continued triple ARV prophylaxis until the current randomization without treatment interruption (defined as more than 14 consecutive days of missed dosing) within the previous 30 days; OR randomly assigned to triple ARV prophylaxis in the Antepartum Component but ineligible for the Postpartum Component and has continued triple ARV prophylaxis until the current randomization without treatment interruption (defined as more than 7 consecutive days of missed dosing) within the previous 30 days~Within two weeks after complete breastfeeding cessation is achieved (defined as completely stopping all exposure to breast milk for greater than or equal to 28 days); i.e., within 29 to 42 days of last breast milk exposure, or reached 18 months postpartum (whichever comes first). Women who reach 18 months postpartum while still breastfeeding will be eligible for entry within 2 weeks before and 4 weeks after the Week 74 visit (Week 72-78); OR if the woman was randomized to triple ARV prophylaxis in the Postpartum Component and her infant is infected and still breastfeeding, she will be eligible for the Maternal Health Component within 42 days of specimen collection for the confirmatory infant HIV NAT; OR if the woman was randomized to triple ARV prophylaxis in the Antepartum Component but mother-infant pair was ineligible for the Postpartum Component she will be eligible for the Maternal Health Component beginning at the Week 1 visit (6-14 days postpartum) through 28 days after delivery; these women should be randomized as soon as possible, ideally within 6-14 days after delivery; OR if the woman was randomized to triple ARV prophylaxis in the Postpartum Component and breastfeeding risk for MTCT ceases for other reasons (e.g., infant death or permanent removal from home through legal services or adoption) within 28 days of event. More information on this criterion can be found in the protocol.~Provided written informed consent~CD4 cell count greater than or equal to 350 cells/mm^3, or greater than or equal to the country-specific threshold for initiation of treatment (if that threshold is greater than 350 cells/mm^3), on a specimen obtained within 30 days prior to study entry~The following laboratory values on a specimen obtained within 30 days prior to study entry:~ANC greater than or equal to 750 cells/mm^3~Hemoglobin greater than or equal to 7.0 gm/dL~Platelet count greater than or equal to 50,000 cells/mm^3~ALT (SGPT) less than or equal to 2.5 times the ULN~Estimated creatinine clearance of greater than or equal to 60 mL/min using the Cockroft-Gault equation for women~Intend to remain in current geographical area of residence for the duration of study~Maternal Health Component Exclusion Criteria:~WHO Stage 4 disease~Clinically significant illness or condition requiring systemic treatment and/or hospitalization within 30 days prior to study entry~Current or history of TB disease (positive PPD without TB disease is not exclusionary)~Use of prohibited medications within 14 days prior to study entry~Social or other circumstances that would hinder long term follow-up as judged by the site investigator~Current documented conduction heart defect (specialized assessments to rule out this condition are not required; a heart murmur alone and/or type 1 second-degree atrioventricular block [also known as Mobitz I or Wenckebach] is not considered exclusionary)~Requires a triple ARV regimen for own health","Enrolls postpartum","Participation in the Antepartum Component or registered as a Late Presenter~Provided written informed consent~Has no plans to move outside of the study site area during the 24 months following delivery~Maternal CD4 count greater than or equal to 350 cells/mm^3, or greater than or equal to the country-specific threshold for initiation of treatment (if that threshold is greater than 350 cells/mm^3), from a specimen obtained within 30 days prior to study entry. More information on this criterion can be found in the protocol.~The following maternal laboratory values within 30 days prior to entry:~Hemoglobin greater than or equal to 7.0 g/dL~WBC greater than or equal to 1,500 cells/mm^3~ANC greater than or equal to 750 cells/mm^3~Platelets greater than or equal to 50,000 cells/mm^3~ALT less than or equal to 2.5 times the upper limit of normal (ULN)~Estimated creatinine clearance of greater than or equal to 60 mL/min using the Cockroft-Gault equation for women~Infant alive, healthy, less than or equal to 14 days of age, and uninfected (negative HIV NAT result on specimen drawn prior to study entry)",1,1,"The purpose of this study was to examine, in an integrated and comprehensive fashion, three critical questions currently facing HIV-infected pregnant and postpartum women and their infants:~What is the optimal intervention for the prevention of antepartum and intrapartum transmission of HIV?~What is the optimal intervention for the prevention of postpartum transmission in breastfeeding (BF) infants?~What is the optimal intervention for the preservation of maternal health after the risk period for prevention of mother-to-child-transmission ends (either at delivery or cessation of BF)?"
"8","NCT01494038","A Phase IV Randomized Double-Blind Placebo-Controlled Trial to Evaluate the Safety of Immediate (Antepartum-Initiated) Versus Deferred (Postpartum-Initiated) Isoniazid Preventive Therapy Among HIV-Infected Women in High Tuberculosis (TB) Incidence Settings","Tuberculosis (TB) is a leading cause of death among HIV-infected persons in low-income settings and can be a serious complication for HIV-infected pregnant women and their infants. Isoniazid (INH) preventive therapy (IPT) is effective in preventing TB infection in HIV-infected adults, but the safety of IPT in pregnant women is unknown. This study evaluated the safety of IPT among HIV-infected pregnant women.","Inclusion Criteria:~Documented HIV-1 infection, defined as positive results from two samples collected at different time points. All samples tested must be whole blood, serum, or plasma. More information on this criterion can be found in the protocol.~Documented HIV treatment, according to World Health Organization (WHO) guidelines, for prevention of mother-to-child transmission (PMTCT) and standard of care for HIV infection~Pregnant females age 18 years or older~Pregnant females between greater than or equal to 13 and less than 18 who are able and willing to provide signed informed consent under local law or pregnant females unable to consent under local law whose parents/legal guardians provide consent or minimum age of consent according to locally applicable laws or regulations~Pregnancy gestational age confirmed by best available method at site to be greater than or equal to 14 weeks through less than or equal to 34 weeks (34 weeks, 6 days)~Weight greater than or equal to 35 kg at screening~The following laboratory values obtained within 30 days prior to study entry:~Absolute neutrophil count (ANC) greater than or equal to 750 cells/mm^3~Hemoglobin greater than or equal to 7.5 g/dL~Platelet count greater than or equal to 50,000/mm^3~Aspartate aminotransferase (AST)/serum glutamic oxaloacetic transaminase (SGOT), alkaline phosphatase (ALT)/serum glutamic pyruvic transaminase (SGPT), and total bilirubin less than or equal to 1.25 times the upper limit of normal (ULN). (Note: If participant is taking atazanavir, direct bilirubin may be used to determine eligibility.)~Intent to remain in current geographical area of residence for the duration of the study~Exclusion Criteria:~Any woman with a positive TB symptom screen per WHO guidelines, including any one or more of the following: any cough, fever, self-reported weight loss, or night sweats. Note: If a potential participant is found to be negative for TB upon further testing, the participant may be rescreened for the study.~Any positive acid-fast bacillus (AFB) smear, Xpert, or any other rapid TB screening test or culture from any site within the past 12 weeks, or chest radiograph (x-ray) with findings suggestive of active TB, or clinician suspects active TB~Known exposure to AFB smear-positive active TB case within past 12 weeks prior to study entry~Reported INH exposure (more than 30 days) in the past year prior to study entry~Receipt of any TB or atypical mycobacteria therapy for more than 30 days in the past year~Evidence of acute hepatitis, such as jaundice, dark urine (not concentrated urine), and/or acholic stools sustained for more than 3 days within 90 days prior to entry. More information on this criterion can be found in the protocol.~Grade 1 or higher peripheral neuropathy. More information on this criterion can be found in the protocol.~History of acute systemic adverse reaction or allergy to INH~Known current heavy alcohol use (more than 2 drinks per week) or alcohol exposure that, in the investigator's opinion, would compromise participation and the outcome of this study~Presence of new AIDS-defining opportunistic infection that has been treated less than 30 days prior to study entry~Receipt of an investigational agent or chemotherapy for active malignancy within 30 days prior to study entry~Any clinically significant diseases (other than HIV infection) or clinically significant findings during the screening medical history or physical examination that, in the investigator's opinion, would compromise participation and the outcome of this study","Neither","0",1,1,"Immediate (Antepartum-Initiated) Versus Deferred (Postpartum-Initiated) Isoniazid Preventive Therapy Among HIV-Infected Women"
"9","NCT05757167","Improving Neonatal Health Through Rapid Malaria Testing in Early Pregnancy With High-Sensitivity","The purpose of the INTREPiD study is to compare 1st trimester screening for malaria parasites with a high-sensitivity malaria rapid diagnostic test followed by treatment of test-positive women with artemether-lumefantrine (AL) against usual antenatal care on a composite adverse pregnancy outcome including low birth weight, small for gestational age, preterm, fetal loss, or neonatal death.","Inclusion Criteria:~Aged between 16 years and 40 years (inclusive)~Viable singleton pregnancy with gestational age estimated less than 13 6/7 weeks (inclusive) by ultrasound~HIV-uninfected~Willing to participate in the study schedule~Planning to remain in the study area for the duration of pregnancy and 1 month after delivery~Willing to deliver in a study-affiliated health facility~Exclusion Criteria:~High risk pregnancy that requires referral for specialized care by local guidelines~Active medical problem at the time of screening requiring higher level care~Antimalarial receipt in the 2 weeks prior to screening~Past allergy to Artemether or Lumefantrine or another condition that prohibits the receipt of either drug~Current participation in another clinical research study","Enrolls postpartum","Planning to remain in the study area for the duration of pregnancy and 1 month after delivery",0,0,""
"10","NCT00858832","Reduction of Endometritis After Cesarean Section With the Routine Use of Methergine","Endomyometritis is an infection in the uterus. It can occur in up to 1 out of 5 women having unplanned cesarean deliveries. Antibiotics are routinely given at the time of Cesarean delivery, but the infection in the uterus can still occur. When endomyometritis occurs it can prolong the woman's stay in the hospital after birth, slow down her recovery time at home, and increase medical costs. Methergine is a medication that is routinely used to stop uterine hemorrhage (excessive bleeding from the uterus) that sometimes happens after delivery. Methergine works by contracting (tightening) the uterus. These contractions also help the uterus to expel or remove parts of the placenta that increase the chance of developing a uterine infection.~This research study is being done to learn if routine use of Methergine can lower the chances of developing a uterine infection after cesarean delivery. Half of the women in this study will receive Methergine for a few days during their hospitalization after cesarean delivery. The other half of the women will not routinely receive Methergine.","Inclusion Criteria:~Female singleton gravidas~Patients receiving non-elective cesarean deliveries after trial of labor~No evidence of chorioamnionitis~Exclusion Criteria:~Diagnosis of chorioamnionitis~Elective cesarean section~Unable to provide informed consent~Immunocompromised patients and those on antiretroviral drugs~Patients with known infection~Hypertension (blood pressure greater than 140/90 x 2, six hours apart), including those with a past history, gestational or Preeclampsia.~Allergic to ergot alkaloids. This would include people allergic to migraine medicine.","Postpartum intervention","Half of the women in this study will receive Methergine for a few days during their hospitalization after cesarean delivery.",1,1,"Half of the women in this study will receive Methergine for a few days during their hospitalization after cesarean delivery."
