"","nct_id","official_title","summary","criteria","C_section_pain","Postpartum_GPT","Postpartum_quote.x","Enrolls_postpartum","Postpartum_intervention","Postpartum_quote.y"
"1","NCT02046382","Randomized Control Trial of IV Acetaminophen for Post Cesarean Delivery Pain Relief","This study is being done to evaluate the scheduled use of intravenous (IV) acetaminophen among cesarean section patients. The study hopes to find out if patients who receive scheduled IV acetaminophen for 48 hours following delivery have lower self-reported pain scores and use less narcotic pain medication than patients who do not receive IV acetaminophen.","Inclusion Criteria:~Age greater than or equal to 18 years~Scheduled cesarean section delivery~Patient of TriHealth's Faculty Medical Center or Tri-State Maternal Fetal Medicine Associates~Singleton pregnancy~Term delivery (greater than or equal to 37 weeks)~Spinal/epidural anesthesia with epidural analgesia (duramorph)~Use of pfannenstiel incision~Exclusion Criteria:~Weight less than 50 kg~Allergy to study drugs (acetaminophen, oxycodone, duramorph, NSAIDS)~Multiple gestation pregnancy~Cesarean section for pre-term delivery (less than 37 weeks)~Fetal anomalies~Inability to use epidural duramorph at time of procedure~General anesthesia used~Vertical skin incision~Opioid addiction~Liver dysfunction (hepatitis, HELLP (hemolysis, elevated liver enzymes, and low platelet count), preeclampsia)",1,"Postpartum intervention","The study hopes to find out if patients who receive scheduled IV acetaminophen for 48 hours following delivery have lower self-reported pain scores and use less narcotic pain medication than patients who do not receive IV acetaminophen.",1,1,"evaluate the scheduled use of intravenous (IV) acetaminophen among cesarean section patients"
"2","NCT01741259","A Comparison of Meperidine for Post-Cesarean Analgesia: Bolus Versus Infusion and Bolus","The purpose of this study is to determine if epidural meperidine administered by patient-controlled bolus button is equivalent to a low dose infusion plus patient-controlled bolus.","Inclusion Criteria are as follows:~Over the age of 18~Undergoing non-urgent, non-emergent cesarean section at Mercy Hospital St. Louis~Exclusion Criteria:~non-English speaking~mentally disabled~allergy to meperidine~seizure disorder~renal impairment defined as a serum creatinine >0.8 mg/dL or patients who give a history of renal impairment~fever greater than 101~patients receiving low molecular weight heparin at any dose or unfractionated heparin at doses greater than 5000 u subcutaneous twice daily~pre-eclampsia requiring magnesium due to post-partum room assignment~obstructive sleep apnea due to post-partum room assignment~post-partum hemorrhage due to post-partum room assignment",1,"Postpartum intervention","pre-eclampsia requiring magnesium due to post-partum room assignment~obstructive sleep apnea due to post-partum room assignment~post-partum hemorrhage due to post-partum room assignment",0,0,"The purpose of this study is to determine if epidural meperidine administered by patient-controlled bolus button is equivalent to a low dose infusion plus patient-controlled bolus."
"3","NCT05276206","Comparative Study Between Transversus Abdominus Plain Block, Local Subcutaneous Injection in the Wound, and Intravenous Nalbuphine in Decreasing Postoperative Pain in Cesarean Section","Approximately 1 in 5 women who undergo CS will experience severe acute postoperative pain. The severity of pain in the acute postoperative period is a significant predictor for the development of chronic pain, which occurs in 9.2%-18% of women who undergo CS. Furthermore, severe acute post-cesarean pain triples a woman's risk of developing postpartum depression and negatively affects breastfeeding and infant care. For these reasons, it is imperative to provide adequate postoperative analgesia in this patient population","Inclusion Criteria:~Pregnant women aged 20-35 years~Gestational age between 37-40 weeks~Pregnant women undergoing elective cesarean section~Medically free~Singleton pregnancy~Exclusion Criteria:~Emergency cesarean section~Diabetic~Hypertensive~Severe anemia~Multiple pregnancy~Complication during section",1,"Postpartum intervention","The study evaluates postoperative pain management in women who have undergone cesarean section, which is a treatment deployed after delivery.",0,0,"postoperative pain in Cesarean Section"
"4","NCT01170702","The Postoperative Analgesic Efficacy of Varied Concentrations of Ropivacaine Used for the Transverse Abdominis Plane (TAP) Block After Cesarean Delivery","Since there have been no published dose-response studies investigating the effective analgesic dose of ropivacaine for use in a TAP block for post-Cesarean delivery analgesia, the investigators propose a study primarily examining the effect on 24 hour post-Cesarean delivery opioid consumption of using either a placebo, 0.25% ropivacaine, 0.5% ropivacaine, or 0.75% ropivacaine for TAP blocks.","Inclusion Criteria:~ASA II-III patient~> 18 years of age who is pregnant~presenting for a cesarean delivery via Pfannenstiel incision who is eligible to receive a spinal anesthetic with 0.75% bupivacaine and fentanyl and whose is not eligible to receive intrathecal morphine due to a BMI >40 kg/m2.~Exclusion Criteria:~< 18 years of age~contraindication to placement of a spinal anesthetic~contraindication to use of non-steroidal anti-inflammatory drugs (NSAIDs)~patients receiving medical therapies considered to result in tolerance to opioids~patients with a history of established chronic pain, (e.g. chronic low back pain, fibromyalgia or headaches), defined as requiring regular medical follow-up with pain specialists, as well as recent use (within the year preceding pregnancy) of opioid analgesics as an outpatient~patients with a history of diabetes mellitus~patients undergoing a vertical midline skin incision~patients who are undergoing a cesarean delivery after a failed vaginal trial of labor~patients who had a prior epidural placed for labor analgesia during the same hospital encounter.",1,"Postpartum intervention","The study evaluates the effect on 24 hour post-Cesarean delivery opioid consumption of using either a placebo, 0.25% ropivacaine, 0.5% ropivacaine, or 0.75% ropivacaine for TAP blocks.",0,1,"post-Cesarean delivery analgesia"
"5","NCT01866254","Use of Intrathecal Hydromorphone in Elective Cesarean Deliveries","The purpose of this study is to determine if intrathecal hydromorphone will relieve pain as well as intrathecal morphine after cesarean delivery, with fewer side effects.","Inclusion Criteria:~Scheduled for elective Cesarean sections under spinal anesthesia or combined spinal anesthesia~ASA status of I-III~BMI < 40~Able to understand and sign informed consent~Exclusion Criteria:~Severe pre-eclampsia~Conversion to general anesthetic~History of chronic opioid use~Allergy to morphine, or hydromorphone~Hyperemesis gravidarum~Emergency case~Patients who have an infection at the intended site of spinal insertion",1,"Neither","0",0,0,"Scheduled for elective Cesarean sections under spinal anesthesia or combined spinal anesthesia"
"6","NCT00804609","A Study to Evaluate the Effects of Epidural Lidocaine Administration on the Pharmacokinetic and Pharmacodynamic Profiles of DepoDur® (Morphine Sulfate Extended-release Injection) in Patients Undergoing Cesarean Delivery","To evaluate the levels of morphine in a patient's blood when morphine is given into the epidural space in the form of DepoDur® either alone or following a dose of lidocaine also given in the epidural space.","Inclusion Criteria:~Inclusion criteria will include healthy parturients between the ages of 18 and 40 who have American Society of Anesthesiologists physical status I or II, have an uncomplicated, singleton, term pregnancy, and are scheduled to undergo cesarean delivery.~Exclusion Criteria:~Exclusion criteria for the study will included refusal to participate, American Society of Anesthesiologists physical status III or higher or any severe uncontrolled medical condition, significant systemic medical or obstetric disease, morbid obesity, opioid, Nonsteroidal Antiinflammatory Drug (NSAID), or local anesthetic allergy or intolerance, chronic analgesic or antidepressant use, accidental dural puncture, ineffective spinal or epidural, and conversion to general anesthesia.",1,"Neither","0",0,0,"patients undergoing Cesarean delivery"
"7","NCT02509312","A Prospective, Randomized, Control Trial of Ketorolac Versus Placebo on Opioid Analgesic Use, Estimated Blood Loss and Complications Following Cesarean Delivery With Epidural Morphine","In this randomized, double-blind control trial to evaluate the effect of ketorolac given at the time of cord clamp has on estimated blood loss and postcesarean pain control. Patients will be randomized to either placebo or ketorolac prior to surgery. Those randomized to ketorolac will receive ketorolac at cord clamp and three additional doses every 6 hours (total 4 doses/24 hours). Those in the placebo group will receive normal saline during those time periods. Our primary outcome is to assess whether intra-operative ketorolac increases the estimated blood loss during Cesarean delivery.","Inclusion Criteria:~Patients undergoing a scheduled or non-scheduled, non-urgent primary or repeat Cesarean delivery between 37-42 weeks gestational age,~Viable singleton intra-uterine pregnancy,~Patients undergoing a scheduled or unscheduled, non-emergent/non-urgent Cesarean delivery for placenta previa or vasa previa,~Neuraxial anesthesia with combined spinal-epidural placed for surgery,~Patients must be 18 years or older as well as willing and able to provide informed consent.~Exclusion Criteria:~Patients unable or unwilling to provide informed consent,~Urgent or emergent Cesarean delivery~Multiple fetal gestations (>1 intrauterine pregnancy),~Cesarean delivery for bleeding such as placental abruption or actively bleeding placenta previa or vasa previa,~Contraindication to NSAID use eg: allergy, chronic renal disease,~Patients with acute or chronic platelet dysfunction (e.g.: idiopathic thrombocytopenic purpura, HELLP syndrome),~Platelets <100k,~History of peptic ulcer disease,~Inherited or acquired coagulopathies or bleeding disorder, (disseminated intravascular coagulopathy, hemophilia),~Suspected or proven placenta accreta, increta or percreta,~Inability to receive epidural morphine,~Diagnosed chronic pain disorder on chronic adjunct or opioid analgesia,~Use of general anesthesia during procedure.~Intraoperative exclusion criteria:~- EBL > 1000 ml prior to cord clamp",1,"Postpartum intervention","The trial evaluates the effect of ketorolac given at the time of cord clamp on estimated blood loss and postcesarean pain control.",0,0,"evaluate the effect of ketorolac given at the time of cord clamp has on estimated blood loss and postcesarean pain control"
"8","NCT02490345","Effect of Gabapentin on Postoperative Pain Control After a Cesarean Section","The specific aims of this research study are to use 600 mg gabapentin as an adjunctive treatment for acute postoperative pain control in order to reduce postoperative opiate consumption and improve postoperative pain control.","Inclusion Criteria:~Pregnant women at least 18 years of age~Singleton gestation~Gestational age equal to or greater than 30 weeks~Women undergoing a non-emergent (often scheduled) repeat cesarean delivery~Spinal anesthesia utilized during cesarean~Exclusion Criteria:~History of opiate abuse~Women on opiates during pregnancy~Women requiring treatment with magnesium sulfate postpartum~Preexisting Fibromyalgia, chronic pain syndrome, or rheumatologic disorder~General anesthesia required for cesarean~Plans to breastfeed~History of major depression or postpartum depression requiring medication~Planned classical cesarean section",1,"Neither","0",0,1,"acute postoperative pain control"
"9","NCT02893423","The Dose Dependent Effect of Ropivacaine Transversus Abdominis Plane Blocks on Postoperative Analgesia After Cesarean Section","With this research the investigators hope to determine the lowest dose of ropivacaine used in transversus abdominis plane (TAP) blocks that can effectively treat pain in women after cesarean section (c-section).","Inclusion Criteria:~Pregnant patients undergoing elective c-section~Exclusion criteria:~Allergy to local anesthetics~Contraindication to tap blocks",1,"Postpartum intervention","The investigators hope to determine the lowest dose of ropivacaine used in transversus abdominis plane (TAP) blocks that can effectively treat pain in women after cesarean section (c-section).",0,1,"postoperative analgesia after cesarean section"
"10","NCT04805073","Assessing Efficacy of Intramuscular Promethazine for the Treatment of Intrathecal Morphine Induced Pruritus","Neuraxial narcotics are commonly used in obstetric patients for cesarean delivery to help with pain control over the first 24 hours after the surgery. The aim is to evaluate effectiveness of promethazine (IMP) treatment of intrathecal morphine induced pruritus (ITIMIP). A treatment for ITMIP, other than naloxone, will allow for increased use of intrathecal narcotics and decrease the use of systemic opioids in the initial post-operative period.","Inclusion Criteria:~Pregnant adult female patients of at least 18 years of age consenting to a cesarean birth~Willing to consent to study.~Exclusion Criteria:~Male patients~Incarceration~Inability to communicate with the investigators~Allergies to any medications used in the study~Possessing any contraindication to spinal anesthesia (lack of consent, elevated intracranial pressure, preexisting neurological disease, thrombocytopenia/coagulopathy, hypovolemia, infection at the site of the procedure)~Patients with an already prolonged QTc (>500 ms)~Any reason an investigator believes study participation would not be in the best interest of the potential subject.",1,"Postpartum intervention","Neuraxial narcotics are commonly used in obstetric patients for cesarean delivery to help with pain control over the first 24 hours after the surgery.",1,1,"Neuraxial narcotics are commonly used in obstetric patients for cesarean delivery to help with pain control over the first 24 hours after the surgery."
