NCT_ID,Fertility,Fertility_quote,Fertility_summary,Erectile,Erectile_quote,Erectile_summary
NCT00136084,0,,,0,,
NCT03227796,0,,,0,,
NCT06168734,0,,,0,,
NCT06168461,0,,,0,,
NCT01658202,0,,,0,,
NCT01662921,0,,,0,,
NCT01665417,0,,,0,,
NCT05798611,0,,,0,,
NCT05772156,0,,,0,,
NCT01226745,0,,,0,,
NCT00511199,0,,,0,,
NCT03767582,0,,,0,,
NCT03788434,0,,,0,,
NCT02510534,1,To determine the difference in clinical pregnancy rates with and without luteal progesterone support in a young reproductive aged population having undergone ovulation induction with combined clomiphene citrate and gonadotropin protocol with intrauterine insemination.,"The study focuses on improving pregnancy rates through ovulation induction and intrauterine insemination, which are interventions directly related to fertility and conception.",0,,
NCT05083468,0,,,0,,
NCT01251120,0,,,0,,
NCT02168205,0,,,0,,
NCT05129137,0,,,0,,
NCT05828953,0,,,0,,
NCT02706834,0,,,0,,
NCT02204163,0,,,0,,
NCT01587079,0,,,0,,
NCT01555931,0,,,0,,
NCT01535053,0,,,0,,
NCT02623998,0,,,0,,
NCT00332163,0,,,0,,
NCT02376972,0,,,0,,
NCT01863186,0,,,0,,
NCT04720456,0,,,0,,
NCT04695080,0,,,0,,
NCT06005597,0,,,0,,
NCT05979415,0,,,0,,
NCT00926575,0,,,0,,
NCT04983901,0,,,0,,
NCT01119963,0,,,0,,
NCT01707251,0,,,0,,
NCT01944800,0,,,0,,
NCT04290208,0,,,0,,
NCT01524133,0,,,0,,
NCT02848417,0,,,0,,
NCT04306146,0,,,0,,
NCT01225835,1,This study is aimed to demonstrate that highly purified Menotrophin produces significant lower progesterone serum levels during the follicular phase in comparison to Follitropin alpha in the treatment of subfertile females undergoing an in vitro fertilisation (IVF),"The study focuses on subfertile female patients undergoing in vitro fertilization (IVF), which is a direct intervention related to infertility and promoting conception.",0,,
NCT01321359,0,,,0,,
NCT01735370,0,,,0,,
NCT01233050,0,,,0,,
NCT01739218,0,,,0,,
NCT00840411,0,,,0,,
NCT02564146,0,,,0,,
NCT01280669,0,,,0,,
NCT01180296,0,,,0,,
NCT05996133,0,,,0,,
NCT01690520,0,,,0,,
NCT01686932,0,,,0,,
NCT05165485,0,,,0,,
NCT01573442,0,,,0,,
NCT00491829,0,,,0,,
NCT04165317,0,,,0,,
NCT02732314,0,,,0,,
NCT00583011,0,,,0,,
NCT01547390,0,,,0,,
NCT01754961,0,,,0,,
NCT03250507,0,,,0,,
NCT01433263,0,,,0,,
NCT01760330,0,,,0,,
NCT00622687,0,,,0,,
NCT01194245,0,,,0,,
NCT00640627,0,,,0,,
NCT02742441,0,,,0,,
NCT01773798,0,,,0,,
NCT01775605,0,,,0,,
NCT00314340,0,,,0,,
NCT01780259,0,,,0,,
NCT06119529,0,,,0,,
NCT06097728,0,,,0,,
NCT03911466,0,,,0,,
NCT00295022,0,,,0,,
NCT01589380,0,,,0,,
NCT01795248,0,,,0,,
NCT01170221,0,,,0,,
NCT02312115,0,,,0,,
NCT01803867,0,,,0,,
NCT01803945,0,,,0,,
NCT01810354,0,,,0,,
NCT02989571,0,,,0,,
NCT01818544,0,,,0,,
NCT05418712,0,,,0,,
NCT03034967,0,,,0,,
NCT00656227,0,,,0,,
