NCT_ID,AnyPregGPT,Preg_Only_GPT,Nonviable_GPT,Postpartum_GPT,Child_GPT,Summary,Summary_quote,Nonviable_quote,AnyPregGPT_updated,Postpartum_quote
NCT00136084,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and exclusion based on a positive pregnancy test.,Negative pregnancy test~Positive pregnancy test,0,Excluded,0
NCT00136084,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and exclusion based on a positive pregnancy test.,Negative pregnancy test~Positive pregnancy test,0,Excluded,0
NCT03227796,Excluded,0,0,Neither,0,"The study explicitly excludes women of childbearing potential, pregnant, or lactating women. It also requires men with female partners of childbearing potential to use effective contraception.","Exclusion Criteria:~Women of childbearing potential, or who are pregnant or lactating",0,Excluded,0
NCT06168734,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria.,Female patients who are pregnant.,0,Excluded,0
NCT06168461,Excluded,0,0,Postpartum intervention,0,The study explicitly excludes currently pregnant individuals and focuses on women who have had preeclampsia in the past 5 years. The intervention is aimed at treating lasting blood vessel damage after pregnancy.,Exclusion criteria:~currently pregnancy,0,Excluded,This study addresses this public health issue by examining whether starting low dose aspirin therapy after pregnancy is an effective treatment for lasting blood vessel damage in order to inform better clinical management of cardiovascular disease risk in women who have had preeclampsia.
NCT01658202,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It only specifies healthy smokers aged 18-45 years.",Unspecified,0,Unspecified,0
NCT01662921,Included,1,0,Neither,0,The trial explicitly includes pregnant individuals with gestational diabetes mellitus and excludes those with certain conditions or characteristics. The intervention is aimed at treating hyperglycemia during pregnancy.,Pregnant and 20-30 weeks gestation~Diagnosed with gestational diabetes,0,Included,0
NCT01665417,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,0,Unspecified,0
NCT05798611,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria.,Patients who are pregnant.,0,Excluded,0
NCT05772156,Included,1,0,Postpartum intervention,0,The study explicitly includes pregnant individuals with twin gestations undergoing cesarean delivery and evaluates a treatment (methylergonovine) given immediately after delivery to manage postpartum hemorrhage.,Inclusion Criteria: Twin gestation Scheduled cesarean delivery (>=34 weeks),0,Included,Methylergonovine or saline will be given as an injection immediately after delivery.
NCT01226745,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It is an extension study for patients with relapsing-remitting multiple sclerosis who have completed an initial 26-week Core Study.",Unspecified,0,Unspecified,0
NCT00511199,Excluded,0,0,Neither,0,"The trial explicitly excludes pregnant and breastfeeding individuals, as well as those who have not had spontaneous menstruation following a delivery or abortion.",Before spontaneous menstruation has occurred following a delivery or abortion. Breastfeeding or within 2 months after stopping breastfeeding prior to the start of trial medication.,0,Excluded,0
