NCT_ID,Fertility,Fertility_quote,Fertility_summary
NCT00114244,0,,
NCT00114244,0,,
NCT00337662,0,,
NCT00138424,0,,
NCT01635621,0,,
NCT00114166,0,,
NCT00113386,0,,
NCT00337272,0,,
NCT03985410,0,,
NCT00136084,0,,
NCT00364832,0,,
NCT00235755,0,,
NCT01581879,0,,
NCT00337194,0,,
NCT01635829,0,,
NCT00527735,0,,
NCT00368108,0,,
NCT00363896,0,,
NCT00527111,0,,
NCT00367640,0,,
NCT03992066,0,,
NCT01636128,0,,
NCT01636141,0,,
NCT00520013,0,,
NCT00526097,0,,
NCT00135694,0
NCT02307006,0,,
NCT03362684,0,,
NCT00124072,0,,
NCT00524303,0,,
NCT04461041,0,,
NCT00523991,0,,
NCT01636531,0,,
NCT01636570,0,,
NCT02307162,0,,
NCT03755765,0,,
NCT04780841,0,,
NCT00344448,0,,
NCT00324168,0,,
NCT00517829,0,,
NCT00112294,0,,
NCT01978600,0,,
NCT03107208,0,,
NCT01896609,0,,
NCT02362048,0,,
NCT00158223,0,,
NCT02362672,0,,
NCT03232320,0,,
NCT03509922,0,,
NCT03235752,0,,
NCT02365870,0,,
NCT01637168,0,,
NCT00078897,0,,
NCT00186537,0,,
NCT01746017,0,,
NCT03227796,0,,
NCT01717313,0,,
NCT01637493,0,,
NCT03232710,0,,
NCT01071837,0,,
NCT00132808,0,,
NCT02451540,0,,
NCT03365336,0,,
NCT02369068,0,,
NCT01061268,0,,
NCT05604287,0,,
NCT02452632,0,,
NCT02040298,0,,
NCT01637571,0,,
NCT02374060,0,,
NCT03207906,0,,
NCT04171115,0,,
NCT00082017,0,,
NCT02451462,0,,
NCT00516737,0,,
NCT01637675,0,,
NCT01637753,0,,
NCT02395978,0,,
NCT02748967,0,,
NCT00132730,0,,
NCT03973047,0,,
NCT01638104,0,,
NCT01638117,0,,
NCT01638325,0,,
NCT00522041,0,,
NCT00122980,0,,
NCT00176865,0,,
NCT03226626,0,,
NCT01638650,0,,
NCT02046382,0,,
NCT01638767,1,"The purpose of the study is to compare the rate of satisfaction as well as the level of stress in women using Marvelon daily or NuvaRing with single insertion in a long protocol. Moreover, this study allow us to verify if using NuvaRing, a vaginal contraceptive releasing constant daily doses for up to 35 days will allow us to facilitate the planning of In Vitro Fertilization cycles in long protocol.","The study focuses on comparing satisfaction and stress levels in women using different contraceptive methods to facilitate the planning of In Vitro Fertilization (IVF) cycles. The participants are specifically those referred for IVF, indicating that the study is related to interventions promoting fertility and conception."
NCT02376010,0,,
NCT05656092,0,,
NCT01638923,0,,
NCT01262352,0,,
NCT01638988,1,"This study objective is to determine the best treatment for such patients. The long-term consequence health of women with PCOS are multiple. The woman with PCOS has a risk of developing metabolic diseases, heart diseases, diabetes Type II or anovulatory infertility. The insulin resistance plays an important role in all this medical condition. Clomiphene Citrate (CC) remains the first line treatment to induce ovulation in women with PCOS and anovulatory infertility.","The study focuses on determining the best first-line treatment for infertility in women with PCOS, specifically targeting anovulatory infertility and the use of Clomiphene Citrate to induce ovulation."
NCT01639014,0,,
NCT02456558,0,,
NCT03798080,0,,
NCT01639456,0,,
NCT01639521,0,,
NCT00085839,0,,
NCT01639638,0,,
NCT01639768,0,,
NCT01015833,0,,
NCT03523273,0,,
NCT01639846,0,,
NCT03204318,0,,The study focuses on evaluating the efficacy and safety of relugolix in women with endometriosis-associated pain. It does not involve interventions related to infertility or promoting fertility/conception.
NCT01640457,0,,
NCT01641016,0,,
NCT02051452,0,,
NCT00087633,0,,
NCT02384200,0,,
NCT02051686,0,,
NCT06169059,0,,
NCT01743989,0,,
NCT00186069,0,,
NCT04217629,0,,
NCT01741259,0,,
NCT02387710,0,,
NCT01646840,0,,
NCT06168734,0,,
NCT01648777,0,,
NCT02388568,0,,
NCT01740791,0,,
NCT01740323,0,,
NCT03258242,0,,
NCT01299272,0,,
NCT00090051,0,,
NCT01650129,0,,
NCT01611415,0,,
NCT01740089,0,,
NCT01739933,0,,
NCT06168461,0,,
NCT00094497,0,,
NCT01650428,0
NCT01650649,0,,
NCT01650870,0
NCT00094887,0,,
NCT01299116,0,,
NCT01651156,0,,
NCT01651273,0,,
NCT01651364,0,,
NCT01651377,0,,
NCT01651494,0,,
NCT01651598,0,,
NCT01651663,0,,
NCT01651715,0,,
NCT00097695,0,,
NCT01651767,0,,
NCT01651962,0
NCT06168409,0,,
NCT01299038,0,,
NCT01652534,0,,
NCT01652547,0,,
NCT02054338,0,,
NCT01652781,0,,
NCT00100659,0,,
NCT01652820,0,,
NCT01652859,0,,
NCT01652898,0,,
NCT00101361,0,,
NCT04321278,0,,
NCT03225846,0,,
NCT01652937,0,,
NCT01611428,0,,
NCT01261338,0,,
NCT01260948,0,,
NCT01653522,0,,
NCT00200343,0,,
NCT00201123,0,,
NCT01653756,0,,
NCT01654016,0,,
NCT01712009,0,,
NCT01654120,0,,
NCT02695381,0,,
NCT01654211,0,,
NCT01654484,0,,
NCT01654640,0,,
NCT01654653,0,,
NCT05602649,0,,
NCT01654822,0
NCT01655056,0,,
NCT01655082,0,,
NCT01655407,0,,
NCT01655511,0,,
NCT01655641,0,,
NCT01655849,0,,
NCT01655914,0,,
NCT01656018,0,,
NCT01656148,0,,
NCT02390050,0,,
NCT01656330,0,,
NCT01656382,0,,
NCT01656577,0,,
NCT01656668,0,,
NCT01656720,0,,
NCT01656798,0,,
NCT01656980,0,,
NCT01657097,0,,
NCT01657240,0,,
NCT06158490,0,,
NCT01657448,0,,
NCT06153498,0,,
NCT01657838,0,,
NCT01657955,0,,
NCT01658176,0,,
NCT01658202,0,,
NCT01658215,0,,
NCT00202449,0,,
NCT03203304,0,,
NCT00203229,0,,
NCT00203931,0,,
NCT01658462,0,,
NCT02412982,0,,
NCT01658605,0,,
NCT04521452,0,,
NCT02450682,0,,
NCT01659008,0
NCT01659099,0,,
NCT01659177,0,,
NCT01021852,0,,
NCT00354874,0,,
NCT01659580,0,,
NCT01659892,0,,
NCT01659905,0,,
NCT01659918,0,,
NCT01659931,0,,
NCT01659775,0,,
NCT01660373,0,,
NCT01660477,0,,
NCT01661101,0,,
NCT01661244,0,,
NCT00354952,0,,
NCT01706939,0,,
NCT01661335,0,,
NCT06084663,0,,
NCT01661673,0,,
NCT06044233,0,,
NCT06043297,0,,
NCT06038916,0,,
NCT01662401,0,,
NCT01662466,1,"The purpose of this study is to determine the effect of treatment with trans-dermal testosterone cream compared to placebo on measures of ovarian reserve, oocyte and embryo quality, and pregnancy rates among women with evidence of diminished ovarian reserve that have persistently low serum testosterone and free testosterone after completing six previous weeks of DHEA supplementation.","This study focuses on women with diminished ovarian reserve who are planning to undergo in vitro fertilization (IVF). The intervention aims to improve ovarian reserve, oocyte and embryo quality, and pregnancy rates, which are directly related to fertility and conception."
NCT01662661,0,,
NCT01662687,0,,
NCT01662869,0,,
NCT01662921,0,,
NCT01663168,0,,
NCT00627640,0,,
NCT06021054,0,,
NCT01298570,0,,
NCT01259856,0,,
NCT01663441,0,,
NCT00624000,0,,
NCT01663662,0,,
NCT01664143,0,,
NCT01259466,0,,
NCT01664637,0,,
NCT01665209,0,,
NCT01665222,0,,
NCT05897541,0,,
NCT01665417,0,,
NCT01665638,0,,
NCT01665781,0,,
NCT01665976,0,,
NCT01709903,0,,
NCT03202446,0,,
NCT02452242,0,,
NCT01666613,0,,
NCT01666665,0,,
NCT01666678,0,,
NCT01666691,0,,
NCT01666704,0,,
NCT01667367,0,,
NCT05820685,0,,
NCT01668069,0,,
NCT01668121,0,,
NCT05798611,0,,
NCT03201978,0,,
NCT01668459,0,,
NCT01668641,0,,
NCT01668862,0,,
NCT01669070,0,,
