"","var"
"1","NCT00136084 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and exclusion based on a positive pregnancy test. Negative pregnancy test~Positive pregnancy test"
"2","NCT00136084 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and exclusion based on a positive pregnancy test. Negative pregnancy test~Positive pregnancy test"
"3","NCT03227796 The study explicitly excludes women of childbearing potential, pregnant, or lactating women. It also requires men with female partners of childbearing potential to use effective contraception. Exclusion Criteria:~Women of childbearing potential, or who are pregnant or lactating"
"4","NCT06168734 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Female patients who are pregnant."
"5","NCT06168461 The study explicitly excludes currently pregnant individuals and focuses on women who have had preeclampsia in the past 5 years. The intervention is aimed at treating lasting blood vessel damage after pregnancy. Exclusion criteria:~currently pregnancy"
"6","NCT05798611 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Patients who are pregnant."
"7","NCT00511199 The trial explicitly excludes pregnant and breastfeeding individuals, as well as those who have not had spontaneous menstruation following a delivery or abortion. Before spontaneous menstruation has occurred following a delivery or abortion. Breastfeeding or within 2 months after stopping breastfeeding prior to the start of trial medication."
"8","NCT03767582 Pregnant and breastfeeding women are explicitly excluded from the trial. Woman who are pregnant or breastfeeding."
"9","NCT02510534 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: Pregnancy within 3 months"
"10","NCT05083468 Pregnant individuals are explicitly excluded from the trial as the inclusion criteria require women of childbearing potential to have a negative pregnancy test and use contraception. If of childbearing potential, must have a negative pregnancy test at the screening visit (blood test) and before the first study drug administration (Day -1 urine test). They must agree not to attempt to become pregnant, must not be breastfeeding, must not donate ova from signing the consent form until at least 30 days after the last does of study drug, and must agree to: i. Use 2 forms of highly effective contraceptive method at least 2 weeks prior to screening, between signing consent, during the study, and at least 30 days after the last dose of study therapy, OR ii. Use at least one highly effective contraceptive method, plus an additional barrier-method of contraception at least 2 weeks prior to screening, between signing the consent, during the study, and at least 30 days after the last dose of study drug."
"11","NCT02168205 The study explicitly excludes pregnant individuals by requiring participants to be male or postmenopausal women and by implementing a pregnancy prevention risk management plan. Must be male or postmenopausal* women of any race between ≥61 to ≤85 years of age (inclusive) at the time of signing the Informed Consent... Must agree to comply with the conditions described in the counseling document (part of the pomalidomide Pregnancy Prevention Risk Management Plan)."
"12","NCT05129137 Pregnant individuals are explicitly excluded from the trial as the inclusion criteria specify 'non-pregnant female human subjects'. Inclusion Criteria: Male and non-pregnant female human subjects, age 18 - 45 years."
"13","NCT05828953 Pregnant individuals are explicitly excluded from the trial as female participants of childbearing potential must use contraception and have a negative pregnancy test before study entry. Female participants of childbearing potential must agree to use contraception (such as intrauterine device, contraceptive pill, or condom) during the study and for 6 months after the end of the study; must have a negative serum pregnancy test within 7 days before study entry and must not be lactating."
"14","NCT02706834 The study explicitly excludes pregnant individuals by requiring participants to be of non-childbearing potential. Is a healthy male and female (non-child bearing potential) participants."
"15","NCT02204163 The trial explicitly enrolls only pediatric patients with Prader-Willi Syndrome, excluding pregnant individuals. Pediatric patients with PWS confirmed by methylation PCR genetic testing"
"16","NCT01587079 Pregnant and lactating women are explicitly excluded from the trial. The study requires a negative pregnancy test and acceptable contraceptive methods for females of childbearing potential. Women who are pregnant or lactating"
"17","NCT01535053 The trial explicitly excludes pregnant individuals as participants must practice effective contraception and cannot breast-feed during treatment. The study focuses on gestational trophoblastic neoplasia, which involves nonviable pregnancies. Patients must be willing to practice effective contraception for the duration of the study"
"18","NCT02623998 Pregnant individuals are explicitly excluded from the trial as it requires a negative pregnancy test and agreement to use reliable birth control for females with childbearing potential. a negative pregnancy test and an agreement to use a reliable method of birth control for the duration of the trial in all females with childbearing potential"
"19","NCT02376972 Pregnant individuals are explicitly excluded from the trial as participants must have a negative urine pregnancy test and agree to use an adequate method of birth control to avoid pregnancy. Non-pregnant (negative urine pregnancy test at Entry Visit/V1) nor breast-feeding patient"
"20","NCT01863186 Pregnant and lactating individuals are explicitly excluded from the trial. Females of childbearing potential must agree to using birth control methods and must have had documented proof. Female subject who is pregnant or lactating."
"21","NCT04720456 Pregnant individuals are explicitly excluded from the trial. Subjects who are pregnant."
"22","NCT04695080 Pregnant individuals are explicitly excluded from the trial. The exclusion criteria mention pregnancy, planning to father a child, breastfeeding, and the requirement for effective contraception. Pregnancy including planning to father a child or breastfeeding~Unwillingness to use effective contraception throughout the trial period until at least six months after the last administration of IMP."
"23","NCT05979415 Pregnant individuals are explicitly excluded from the trial as the inclusion criteria require female subjects to not be pregnant or breastfeeding and to use effective contraception or commit to abstinence. Female subjects, who are not pregnant or breastfeeding, and one of the following conditions applies: ... Have a negative urine pregnancy test at Screening and Day -1, as verified by the study doctor prior to starting study therapy."
"24","NCT00926575 Pregnant and lactating individuals are explicitly excluded from the trial. Exclusion Criteria:~Pregnancy/lactation"
"25","NCT04983901 Pregnant individuals are explicitly excluded from the trial as participants must agree not to attempt to become pregnant during the study, and if of childbearing potential, must have a negative pregnancy test and use effective contraception. If of childbearing potential (including being < 2 years postmenopausal), is willing to practice sexual abstinence or use an effective dual form of contraception with her partner (eg, 2 barrier methods, barrier method plus hormonal method) during treatment and up 28 days post treatment"
"26","NCT01944800 Pregnant and lactating individuals are explicitly excluded from the trial. The exclusion criteria include a requirement for a negative pregnancy test and agreement to use reliable birth control methods. for women of childbearing potential no negative pregnancy test and no agree to use reliable method of birth control during the study~Pregnancy, giving birth within the last 90 days, or lactation"
"27","NCT01524133 Pregnant females are explicitly excluded from the trial. Exclusion Criteria: Pregnant females"
"28","NCT01225835 The study explicitly excludes pregnant individuals as it focuses on subfertile premenopausal female patients undergoing IVF treatment. The inclusion criteria require participants to be eligible for IVF treatment, which implies they are not currently pregnant. Subfertile premenopausal female patients eligible for in vitro fertilisation (IVF) treatment"
"29","NCT01735370 Pregnant individuals are explicitly excluded from the trial as it requires a negative Beta-hCG pregnancy test and the use of contraceptives for females of childbearing potential. Subjects having negative Beta-hCG Pregnancy test (only for female subjects)."
"30","NCT01233050 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Additionally, women of child-bearing age must have a negative pregnancy test prior to surgery. Exclusion Criteria: Pregnant. If of child-bearing age, patients must have a negative (serum or urine) pregnancy prior to surgery."
"31","NCT01739218 Pregnant or lactating females are explicitly excluded from the trial. Pregnant or lactating females"
"32","NCT00840411 The study explicitly excludes pregnant and lactating females, as well as requires a negative pregnancy test for female participants. Females who are pregnant or lactating."
"33","NCT02564146 Pregnant females and females of childbearing potential unable to perform adequate contraceptive measures or practice complete abstinence from heterosexual intercourse are explicitly excluded from the trial. Pregnant females, breast feeding females or females of childbearing potential unable to perform adequate contraceptive measures or practice complete abstinence from heterosexual intercourse"
"34","NCT01690520 Pregnant or breastfeeding individuals are explicitly excluded from the trial. Pregnant or breastfeeding"
"35","NCT05165485 The study explicitly excludes pregnant and lactating women, and requires women of childbearing potential to have a negative pregnancy test and use highly effective birth control measures. Participant is female and is nonpregnant and nonlactating. A woman of childbearing potential must have a documented negative urine pregnancy test at screening."
"36","NCT01573442 The trial explicitly includes only postmenopausal women, excluding pregnant individuals. Women who are postmenopausal by surgery, radiotherapy or presence of natural amenorrhea ≥ 12 months"
"37","NCT02732314 Pregnant and lactating individuals are explicitly excluded from the trial. Is currently pregnant or lactating or planning to become pregnant in the next 6 months."
"38","NCT01754961 Pregnant and breastfeeding women are explicitly excluded from the trial. Women who are pregnant or breastfeeding."
"39","NCT03250507 The study explicitly excludes pregnant individuals as it involves open abdominal hysterectomies, which are surgical procedures to remove the uterus, making pregnancy impossible. The goal of this study is to evaluate the effectiveness of different formulations of bupivacaine infiltrated into the transversus abdominis plane (TAP) on post-operative pain management after open abdominal hysterectomy."
"40","NCT01433263 Pregnant or lactating women are explicitly excluded from the trial. Additionally, women capable of becoming pregnant must use highly effective contraception and have negative pregnancy test results throughout the study. Pregnant or lactating women. Women capable of becoming pregnant must use highly effective contraception during the study and for 8 weeks after stopping treatment. All female patients must have negative pregnancy test results throughout the study."
"41","NCT01760330 The study is focused on children undergoing palatoplasty, explicitly excluding pregnant individuals by targeting a pediatric population. This project is being used to assess the utility of intravenous acetaminophen in the pediatric population undergoing palate repairs."
"42","NCT00622687 Pregnant individuals were explicitly excluded from the trial as a negative pregnancy test was required for fertile women. For fertile women, a negative pregnancy test was required."
"43","NCT02742441 Pregnant and lactating individuals are explicitly excluded from the trial. The inclusion criteria specify that females must be post-menopausal, surgically sterile, or use an effective method of birth control with a negative urine pregnancy test at the Baseline Visit. Subject is pregnant, lactating, or is planning to become pregnant during the study."
"44","NCT01773798 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Female of childbearing potential who is pregnant, breast-feeding or intend to become pregnant or is not using adequate contraceptive methods (adequate contraceptive measures include sterilisation, hormonal intrauterine devices, oral contraceptives, condom with spermizide, sexual abstinence or vasectomised partner)"
"45","NCT00314340 Pregnant individuals are explicitly excluded from the trial as participants must take a mandatory commercial pregnancy test before any study medication is consumed. Patient is pregnant (as ascertained by a self-report and a mandatory commercial pregnancy test before any study medication is consumed)"
"46","NCT01780259 Pregnant individuals are excluded as participants must agree to a protocol-defined method of contraception. Agree to protocol-defined method of contraception"
"47","NCT06119529 Pregnant and lactating women are explicitly excluded from the trial. Exclusion Criteria: Women who are pregnant and/or lactating"
"48","NCT01589380 Pregnant and breastfeeding women are explicitly excluded from the trial. Female of child-bearing potential who do not use adequate contraception and women who are pregnant or breast-feeding."
"49","NCT01795248 The trial explicitly excludes pregnant and breastfeeding women, as well as those planning to become pregnant within the next 5 years. It also requires safe contraception and a negative pregnancy test. Exclusion Criteria for women with previous GDM: Pregnant or breast feeding women. Women planning to become pregnant within the next 5 years. Safe contraception and negative pregnancy test."
"50","NCT01803867 Pregnant individuals are explicitly excluded from the trial as women of childbearing potential must have a negative serum pregnancy test and must agree to practice adequate contraception or remain abstinent. Women of childbearing potential must have a negative serum pregnancy test at the Screening Visit and Women of childbearing potential and engaged in heterosexual relations must agree to practice adequate contraception for at least 60 days after study dosing."
"51","NCT01803945 The trial explicitly excludes pregnant and breastfeeding women, as well as those with a positive serum pregnancy test. Female patients that are breastfeeding or female patients with a positive serum pregnancy test."
"52","NCT03034967 Pregnant individuals are explicitly excluded from the trial as the inclusion criteria specify that female participants must not be pregnant or breastfeeding and must follow contraceptive guidance. A female participant is eligible to participate if she is not pregnant, not breastfeeding, and at least one of the following conditions applies: Not a woman of childbearing potential (WOCBP) OR A WOCBP who agrees to follow the contraceptive guidance during the treatment period and for at least 60 hours after the last dose of study treatment."
"53","NCT00656227 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Subjects who are pregnant or who become pregnant up to and including Day 0. Subjects must use suitable forms of contraception during at least the first two months of the trial."
"54","NCT00665665 Pregnant individuals are explicitly excluded from the trial as females of childbearing potential must have a negative pregnancy test and must use double barrier contraception. Females who consent to using double barrier method of contraception, are post-menopausal and older than 50 years, or have had total hysterectomy"
"55","NCT00208767 Pregnant individuals are explicitly excluded from the trial as premenopausal females with potential for pregnancy are not eligible. Premenopausal females with potential for pregnancy"
"56","NCT00443729 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Patient is or plans to become pregnant, or is nursing a child"
"57","NCT01098448 Pregnant or nursing individuals are explicitly excluded from the trial. Exclusion Criteria:~pregnant or nursing (if female)"
"58","NCT02269917 Pregnant individuals are excluded from the trial as participants must take contraceptives to participate. Participants must take contraceptives to participate."
"59","NCT02814058 Pregnant and breastfeeding women are explicitly excluded from the trial. Women must use effective contraceptive methods and have a negative BHCG urine test. women cannot be pregnant or in breastfeeding period and should be committed to use an effective contraceptive method during the study"
"60","NCT01658020 Pregnant individuals are explicitly excluded from the trial as female subjects who might be pregnant must do a pregnancy test and results should be negative before randomization. Additionally, subjects who have used single hormone contraception for pregnancy control or have not been more than 1 year after tubal ligation and menopause are excluded. Female subjects who might be pregnant must do pregnancy test and results should be negative before randomization is done. She must receive written informed consent form (NOTE: Subject who has used single hormone contraception for pregnancy control or has not been more than 1 year after Tubule ligation and menopause are excluded from the study)"
"61","NCT03082573 Pregnant individuals are explicitly excluded from the trial. Exclusion Criteria: Pregnancy"
"62","NCT03845023 Pregnant and nursing women are explicitly excluded from the trial. Women who are pregnant or nursing."
"63","NCT03467932 The study explicitly excludes pregnant and breastfeeding individuals as stated in the exclusion criteria. Subject is pregnant or breastfeeding."
"64","NCT02984683 Pregnant or breast-feeding women are explicitly excluded from the trial. Participants with reproductive potential must agree to use accepted and effective method of contraception during the study treatment period and for 6 months following discontinuation of study drug. Pregnant or breast-feeding women. Participants with reproductive potential who do not agree to use accepted and effective method of contraception during the study treatment period and for 6 months following discontinuation of study drug."
"65","NCT01145326 Pregnant individuals are excluded from the trial as it explicitly mentions that women who are currently breastfeeding are excluded. women who are currently breastfeeding"
"66","NCT01721655 The study focuses on preterm infants with chronic lung disease and does not include pregnant individuals. The inclusion criteria specify gestational age < 32 weeks at the time of delivery, indicating the study is for neonates. Inclusion Criteria: Gestational age < 32 weeks at time of delivery"
"67","NCT01882361 Pregnant individuals are explicitly excluded from the trial as participants must have a negative pregnancy test and use medically acceptable contraception if of childbearing age. If female, must have a negative pregnancy test and use of medically acceptable contraception if of childbearing age"
"68","NCT00925587 Pregnant and breastfeeding individuals are explicitly excluded from the trial. The exclusion criteria mention 'Pregnancy or breast feeding, or inadequate contraception'. Pregnancy or breast feeding, or inadequate contraception"
"69","NCT03067194 Pregnant women, nursing mothers, or fertile women who do not practice contraception with appropriate methods are explicitly excluded from the trial. Pregnant women, nursing mothers or Fertile women who not practice contraception with appropriate methods"
"70","NCT02733627 Pregnant individuals are explicitly excluded from the trial as female subjects must be surgically sterilized or postmenopausal to participate. Male subjects, or female subjects who meet any of the following criteria starting from at least 30 days before the first administration of trial medication and until 30 days after trial completion: Surgically sterilised (including hysterectomy) Postmenopausal, defined as at least 1 year of spontaneous amenorrhea (in questionable cases a blood sample with simultaneous levels of Follicle Stimulating Hormone (FSH) above 40 U/L and estradiol below 30 ng/L is confirmatory)"
"71","NCT01063283 Pregnant and lactating individuals are explicitly excluded from the trial. The study requires the use of adequate contraception for women of child-bearing potential. Pregnancy (positive pregnancy test) or lactation."
"72","NCT03424707 Pregnant or lactating women are explicitly excluded from the trial. The study focuses on evaluating the efficacy and safety of a fixed dose combination of Pelubiprofen/Eperisone in patients with acute low back pain. Pregnant or lactating women and appropriate contraceptive *~* Use of hormonal contraceptive, intrauterine devices, spouse sterilization (vasectomy, tubal ligation, etc.), double blockage (use of spermicide in combination with vaginal septum, vaginal sponge or neck cap)"
"73","NCT04175392 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Self-reported pregnant patients"
"74","NCT02635750 Pregnant individuals are excluded as the study requires the use of adequate contraception or other methods to prevent pregnancy. Male subjects, or female subjects who meet any of the following criteria starting from at least 30 days before the first administration of trial medication and until 30 days after trial completion: Use of adequate contraception, e.g. any of the following methods plus condom: intrauterine device (non-hormonal), sexually abstinent, a vasectomised sexual partner (vasectomy at least 1 year prior to enrolment), surgically sterilised (including hysterectomy), postmenopausal, defined as at least 1 year of spontaneous amenorrhea (in questionable cases a blood sample with simultaneous levels of FSH above 40 U/L and estradiol below 30 ng/L is confirmatory)"
"75","NCT05256225 Pregnant individuals are explicitly excluded from the trial as participants must have a negative pregnancy test if of child-bearing potential. Although the uterus will have been removed in the vast majority of patients, for patients of child-bearing potential: negative urine or serum pregnancy test."
"76","NCT01946386 Pregnant and breastfeeding women are explicitly excluded from the trial. Female subjects who are pregnant or who are breast feeding."
"77","NCT03739268 The study explicitly excludes pregnant individuals by only including men and postmenopausal women. Inclusion Criteria: Men and postmenopausal women"
"78","NCT06220721 The trial explicitly enrolls postpartum individuals within 1 month of giving birth and excludes pre-gestational conditions. Postpartum day 0-3 and prior to discharge"
"79","NCT06216561 Pregnant and nursing individuals are explicitly excluded from the trial. Additionally, women of child-bearing potential must have a negative pregnancy test and use adequate contraception. Women of child-bearing potential with negative pregnancy test prior to undergoing CRS-HIPEC. Participants who are pregnant or nursing."
"80","NCT03262116 Pregnant individuals are explicitly excluded from the trial. The exclusion criteria include a positive pregnancy test, breastfeeding, planning to become pregnant, or being sexually active without contraception. Pregnancy (positive urine HCG), breast feeding, plan to become pregnant in the immediate future, or sexually active without use of contraception Subjects must use acceptable contraception for the two weeks prior to the study, throughout the study and for the two weeks following the study."
"81","NCT03140072 Pregnant individuals are explicitly excluded from the trial as all females must have a negative pregnancy test and must be of non-childbearing potential. All females must have a negative pregnancy test at the screening visit and on admission to the clinical unit, must not be lactating and must be of non-childbearing potential."
"82","NCT05718921 Pregnant or lactating women are explicitly excluded from the trial. Pregnant or lactating women."
"83","NCT00807001 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Additionally, subjects of childbearing potential must agree to use a consistent form of an acceptable double-barrier method of birth control. Subject is pregnant or breastfeeding"
"84","NCT01089075 Pregnant and lactating individuals are explicitly excluded from the trial. The study does not focus on nonviable pregnancies or postpartum interventions. Exclusion Criteria: Pregnancy and lactation period (during study treatment)"
"85","NCT01251315 Pregnant and nursing females are explicitly excluded from the study. Females who are pregnant or nursing or have a high likelihood of becoming pregnant during the study."
"86","NCT01976208 Pregnant individuals are explicitly excluded from the trial. Participants must agree to use contraception and not be pregnant during the study and for 6 months after. Agreed to be not pregnant, contraception during study and later 6 months. Patients who are currently pregnant or nursing or intend to become pregnant over the course of the study or later 6 months"
"87","NCT05494528 Pregnant subjects are explicitly excluded from the trial. Additionally, female subjects or the spouse of male subjects with child-bearing potential must practice adequate contraception. Pregnant subjects. Female subjects or the spouse of male subjects, with child-bearing potential who are unwilling or unable to practice adequate contraception, defined as vasectomy in men, tubal ligation in women, or use of condoms and spermicides, or birth control pills, or intrauterine devices from 4 weeks prior to Day 1 until 90 days after the last dose of study drug."
"88","NCT01109498 Pregnant individuals are explicitly excluded from the trial as female participants must be of non-child bearing potential or have a negative pregnancy test and not be breastfeeding. Additionally, female subjects must use appropriate contraception, and their spouse must use barrier contraception for the duration of the study. Females must be of non-child bearing potential or with a negative pregnancy test and not breast feeding. Female subjects must use appropriate contraception (if relevant) and their spouse must use barrier contraception for the duration of the study (12 weeks)."
"89","NCT05180773 The study explicitly excludes pregnant individuals and only enrolls women within 5 months postpartum. It does not study nonviable pregnancies or interventions for children. Postpartum women currently breastfeeding and planning to continue."
"90","NCT01057511 Pregnant women are explicitly excluded from the trial as indicated by the exclusion criteria. Pregnant women who indicate hCG positive."
"91","NCT04850144 Pregnant or lactating females and females of childbearing potential not using contraception of acceptable effectiveness are explicitly excluded from the trial. Pregnant or lactating females and females of childbearing potential not using contraception of acceptable effectiveness"
"92","NCT00774787 Pregnant or nursing individuals are explicitly excluded from the trial. Pregnant or nursing"
"93","NCT03565861 Pregnant individuals are excluded as participants must agree to use 2 forms of contraceptive methods for the duration of the study. If of child bearing potential (both men and women) must agree to use 2 forms of contraceptive methods for the duration of study."
"94","NCT06171113 The study explicitly excludes pregnant individuals by stating that only female participants who are not of childbearing potential are eligible. Male participants and female participants who are not of child bearing potential."
"95","NCT02889562 Pregnant individuals are explicitly excluded from the trial as women of childbearing potential must have a negative pregnancy test and agree to use contraception. Women of childbearing potential (WOCBP) must have a negative serum or urine pregnancy test (minimum sensitivity 25 IU/L or equivalent units of HCG) within 24 hours prior to the start of study drug. Women must not be breastfeeding. WOCBP must agree to follow instructions for method(s) of contraception for the duration of treatment with study drug(s)."
"96","NCT01890655 Pregnant individuals are excluded as the study requires two methods of contraception for males and females of reproductive potential. For males and females of reproductive potential, two methods of contraception must be used throughout the study and for 12 weeks after cessation of study medication."
"97","NCT04470024 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and the use of contraceptives. Women of childbearing potential must have negative serum/urine pregnancy test <5 days prior to start of study. Males and women of childbearing potential, must agree to take appropriate precautions to avoid pregnancy during treatment and through 180 days after last dose of study treatment."
"98","NCT05216614 Pregnant or breastfeeding mothers are explicitly excluded from the trial. Pregnant or breastfeeding mothers."
"99","NCT05081388 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Pregnancy"
"100","NCT05799495 Pregnant individuals are explicitly excluded from the trial as all fertile participants must agree to use a highly effective method of contraception. All fertile participants must agree to use a highly effective method of contraception."
"101","NCT02767089 The study explicitly excludes pregnant individuals by requiring women to be surgically sterile. Women are to be surgically sterile."
"102","NCT00073008 The trial explicitly excludes pregnant individuals by requiring women of childbearing potential to have a negative serum pregnancy test at screening and to use acceptable methods of birth control. Women of childbearing potential must have a negative serum pregnancy test at screening, and agree to 1 of the following: a Complete abstinence from intercourse from 2 weeks prior to administration of the first dose of GW572016 until 28 days after the final dose of GW572016; or b Consistent and correct use of 1 of the following acceptable methods of birth control."
