NCT_ID,ChatGPT_Check,Explanation
NCT00136084,Excluded,The requirement for a negative pregnancy test and exclusion based on a positive pregnancy test clearly indicates that pregnant individuals are explicitly excluded from the trial.
NCT00136084,Excluded,The requirement for a negative pregnancy test and exclusion based on a positive pregnancy test clearly indicates that pregnant individuals are explicitly excluded from the trial.
NCT00136084,Excluded,The requirement for a negative pregnancy test and exclusion based on a positive pregnancy test clearly indicates that pregnant individuals are explicitly excluded from the trial.
NCT03227796,Excluded,"The study explicitly states that women of childbearing potential, pregnant, or lactating women are excluded. This is clearly mentioned in the exclusion criteria."
NCT06168734,Excluded,The exclusion criteria explicitly state that female patients who are pregnant are excluded from the trial.
NCT06168461,Excluded,"The study explicitly states that currently pregnant individuals are excluded, as indicated by the exclusion criteria mentioning 'currently pregnancy'."
NCT05798611,Excluded,The exclusion criteria explicitly state that pregnant individuals are excluded from the trial with the phrase 'Patients who are pregnant.'
NCT00511199,Excluded,"The trial explicitly mentions the exclusion of pregnant and breastfeeding individuals, as well as those who have not had spontaneous menstruation following a delivery or abortion. This clearly indicates that pregnant and lactating people are excluded from the trial."
NCT03767582,Excluded,"The justification clearly states that pregnant and breastfeeding women are explicitly excluded from the trial, and the quote 'Woman who are pregnant or breastfeeding' supports this exclusion."
NCT02510534,Excluded,"The exclusion criteria explicitly mention that pregnancy within 3 months is a criterion for exclusion, which clearly indicates that pregnant individuals are excluded from the trial."
NCT05083468,Excluded,"The evidence explicitly states that pregnant individuals are excluded from the trial. The inclusion criteria require women of childbearing potential to have a negative pregnancy test and use contraception, and they must not be breastfeeding."
NCT02168205,Excluded,"The study explicitly excludes pregnant individuals by requiring participants to be male or postmenopausal women and by implementing a pregnancy prevention risk management plan. The criteria clearly state that participants must be male or postmenopausal women, which inherently excludes pregnant individuals."
NCT05129137,Excluded,"The inclusion criteria explicitly state 'non-pregnant female human subjects', which clearly indicates that pregnant individuals are excluded from the trial."
NCT05828953,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. It specifies that female participants of childbearing potential must use contraception, have a negative pregnancy test before study entry, and must not be lactating."
NCT02706834,Excluded,The study explicitly excludes pregnant individuals by requiring participants to be of non-childbearing potential. The phrase 'non-child bearing potential' clearly indicates that pregnant individuals are not eligible for the trial.
NCT02204163,Excluded,"The trial explicitly enrolls only pediatric patients with Prader-Willi Syndrome, which inherently excludes pregnant individuals as they are not pediatric patients."
NCT01587079,Excluded,The evidence provided clearly states that pregnant and lactating women are explicitly excluded from the trial. The requirement for a negative pregnancy test and acceptable contraceptive methods for females of childbearing potential further supports this exclusion.
NCT01535053,Excluded,The trial explicitly excludes pregnant individuals as it requires participants to practice effective contraception and prohibits breast-feeding during treatment. This indicates that pregnant and lactating individuals are not eligible to participate.
NCT02623998,Excluded,"The trial explicitly requires a negative pregnancy test and an agreement to use reliable birth control for females with childbearing potential, which indicates that pregnant individuals are excluded."
NCT02376972,Excluded,"The evidence provided clearly states that participants must have a negative urine pregnancy test and agree to use birth control, which explicitly excludes pregnant individuals. Additionally, it specifies that non-pregnant and non-breastfeeding patients are required."
NCT01863186,Excluded,"The evidence explicitly states that pregnant and lactating individuals are excluded from the trial. It mentions that females of childbearing potential must use birth control methods and have documented proof, and it specifically lists 'Female subject who is pregnant or lactating' as a criterion for exclusion."
NCT04720456,Excluded,The quote 'Subjects who are pregnant' clearly indicates that pregnant individuals are explicitly excluded from the trial.
NCT04695080,Excluded,"The exclusion criteria explicitly mention pregnancy, planning to father a child, and breastfeeding, which clearly indicates that pregnant and lactating individuals are excluded from the trial."
NCT05979415,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. The inclusion criteria require female subjects to not be pregnant or breastfeeding and to use effective contraception or commit to abstinence. Additionally, a negative urine pregnancy test is required at Screening and Day -1."
NCT00926575,Excluded,"The exclusion criteria explicitly mention 'Pregnancy/lactation,' which clearly indicates that pregnant and lactating individuals are excluded from the trial."
NCT04983901,Excluded,"The evidence clearly states that pregnant individuals are excluded from the trial. Participants must agree not to attempt to become pregnant, must have a negative pregnancy test, and use effective contraception if of childbearing potential."
NCT01944800,Excluded,"The evidence clearly states that pregnant and lactating individuals are excluded from the trial. The exclusion criteria include a requirement for a negative pregnancy test and agreement to use reliable birth control methods, and it explicitly mentions pregnancy, recent childbirth, and lactation as exclusion factors."
NCT01524133,Excluded,"The justification clearly states that pregnant females are explicitly excluded from the trial, and this is supported by the quote from the exclusion criteria."
NCT01225835,Excluded,"The study focuses on subfertile premenopausal female patients undergoing IVF treatment, which inherently implies that participants cannot be currently pregnant. The inclusion criteria requiring eligibility for IVF treatment further supports this exclusion."
