NCT_ID,AnyPregGPT,Summary,Summary_quote,AnyPregGPT_updated
NCT01190163,Included,The trial explicitly includes pregnant women with 38 or more weeks of gestational age for cervical ripening prior to induction of labor.,This is a comparative trial between oxytocin alone and dinoprostone for cervical ripening in unfavorable cervix pregnant women with 38 or more weeks of gestational age.,Included
NCT01190163,Included,The trial explicitly includes pregnant women with 38 or more weeks of gestational age for cervical ripening prior to induction of labor.,This is a comparative trial between oxytocin alone and dinoprostone for cervical ripening in unfavorable cervix pregnant women with 38 or more weeks of gestational age.,Included
NCT01732926,Unspecified,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,Unspecified
NCT01640340,Unspecified,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. Therefore, the status of pregnant individuals in the trial is unspecified.",Unspecified,Unspecified
NCT00705783,Unspecified,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,Unspecified
NCT04372121,Excluded,Pregnant or breastfeeding individuals are explicitly excluded from the trial.,The subject will be excluded if she: is pregnant or breast feeding or is planning a pregnancy within the duration of the of the study (including the Follow-up Period),Excluded
NCT03283371,Unspecified,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,Unspecified
NCT00811057,Included,The study explicitly includes pregnant women in preterm labor (20-34 weeks gestation) as part of the inclusion criteria.,Inclusion Criteria: Pregnancies with intact membranes in confirmed preterm labor; 20 - 32 weeks' gestation;,Included
NCT02542943,Excluded,Pregnant or breast feeding women are explicitly excluded from the trial.,Exclusion Criteria: Pregnant or breast feeding women,Excluded
NCT02393573,Unspecified,"The study does not mention pregnant individuals in the inclusion or exclusion criteria. There is no specific mention of pregnancy, lactating, contraceptives, or childbearing status.",Unspecified,Unspecified
NCT00120302,Excluded,"The study explicitly excludes females of childbearing potential who are pregnant or breastfeeding, and requires a negative pregnancy test for all females of childbearing potential at the screening visit.","At baseline and throughout the study, females of childbearing potential: Who are pregnant or breast-feeding. A negative pregnancy test (urine) for all females of childbearing potential is required at the screening visit.",Excluded
NCT05641298,Excluded,The study explicitly excludes pregnant or lactating individuals as participants must have a negative pregnancy test and agree to use a highly effective method of contraception during the study and 30 days after the last dose.,Participants must have a negative pregnancy test and agree to use a highly effective method of contraception during the study and 30 days after last dose. Female participant who is pregnant or lactating.,Excluded
NCT01449799,Excluded,"Pregnant and lactating females are explicitly excluded from the trial. Additionally, female subjects of childbearing potential must use contraception to minimize the risk of pregnancy.","Pregnant females as determined by positive serum Human Chorionic Gonadotrophin (hCG test) at screening or prior to dosing. Lactating females. A female subject of child bearing potential, is eligible if she agrees to use one of the contraception methods listed in Section 8.1 of the protocol for an appropriate period of time (as determined by the product label or investigator) prior to the start of dosing to sufficiently minimize the risk of pregnancy at that point.",Excluded
NCT03079921,Excluded,The study explicitly excludes pregnant individuals by requiring a negative pregnancy test and the use of effective contraceptive measures for female participants of child-bearing potential.,"For female participants of child-bearing potential: Positive pregnancy test, presently breast-feeding, or unwillingness to use effective contraceptive measures for the duration of study participation.",Excluded
NCT01949051,Excluded,The study explicitly excludes pregnant and lactating females. It requires female participants of child-bearing potential to have a negative pregnancy test and to use contraception.,A female subject is eligible to participate if she is of: Non-childbearing potential defined as pre-menopausal females with a documented tubal ligation or hysterectomy...; or postmenopausal defined as 12 months of spontaneous amenorrhea...; child-bearing potential with negative pregnancy test as determined by urine human chorionic gonadotropin (hCG) test at screening or prior to dosing and agrees to use one of the contraception methods... Female subjects must agree to use contraception until 1 week post-last dose. ~Lactating females.,Excluded
NCT00722566,Unspecified,"The study does not mention pregnant individuals in the inclusion or exclusion criteria. There is no specific mention of pregnancy, lactating, contraceptives, or childbearing status.",Unspecified,Unspecified
NCT00171132,Excluded,"The study explicitly targets postmenopausal women, which excludes pregnant individuals.","The purpose of the study is to show that valsartan compared to atenolol has favorable effects on exercise capacity, quality of life, diastolic function and elevated blood pressure in hypertensive postmenopausal overweight women with impaired exercise tolerance despite normal left ventricular ejection fraction (LVEF).",Excluded
NCT01367561,Excluded,The study explicitly excludes females from participation.,Exclusion Criteria: Females,Excluded
NCT02284256,Excluded,The study explicitly excludes pregnant individuals by requiring a negative pregnancy test for females of child-bearing potential and stating that participants must use contraception.,"If female and of child-bearing potential, subject has negative pregnancy test during screening and is not breast-feeding~If subject is a sexually active male or a sexually active female of child-bearing potential, subject agrees to use a medically accepted form of contraception from the time of consent to completion of all follow-up study visits",Excluded
NCT04524026,Excluded,"The study involves ovarian stimulation and IVF, which inherently excludes pregnant individuals. Additionally, the inclusion criteria specify that participants must be oocyte donors, which implies they cannot be pregnant.","The goal of the randomised controlled study (RCT) is to identify novel strategies that can improve the luteal phase endocrinology after ovarian stimulation, with the aim of using less or no luteal support in IVF while making the endometrium thinner and more receptive to embryo implantation.",Excluded
NCT05083468,Excluded,"The study explicitly excludes pregnant individuals by requiring women of childbearing potential to have a negative pregnancy test and to use highly effective contraceptive methods. Additionally, it specifies that participants must not be breastfeeding and must not donate ova.","If of childbearing potential, must have a negative pregnancy test at the screening visit (blood test) and before the first study drug administration (Day -1 urine test). They must agree not to attempt to become pregnant, must not be breastfeeding, must not donate ova from signing the consent form until at least 30 days after the last does of study drug, and must agree to: i. Use 2 forms of highly effective contraceptive method at least 2 weeks prior to screening, between signing consent, during the study, and at least 30 days after the last dose of study therapy, OR ii. Use at least one highly effective contraceptive method, plus an additional barrier-method of contraception at least 2 weeks prior to screening, between signing the consent, during the study, and at least 30 days after the last dose of study drug.",Excluded
NCT00624559,Excluded,Pregnant individuals are explicitly excluded from the trial.,Exclusion Criteria:~pregnant~women using oral contraceptives or hormone replacement therapy,Excluded
NCT01063283,Excluded,The study explicitly excludes pregnant or lactating individuals as part of the exclusion criteria.,Pregnancy (positive pregnancy test) or lactation.,Excluded
NCT02989571,Included,The study explicitly includes pregnant individuals as it focuses on nulliparous women undergoing induction of labor.,Inclusion Criteria: Pregnant,Included
NCT03129945,Included,The study explicitly includes pregnant individuals as it focuses on medications to stop preterm labor in pregnant women.,The purpose of this research study is to determine the best medication to stop preterm labor.,Included
NCT00127985,Excluded,Pregnant individuals are explicitly excluded from the trial.,Exclusion Criteria: Pregnancy.,Excluded
NCT00096616,Unspecified,"The trial does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,Unspecified
NCT00710242,Included,The study explicitly includes pregnant individuals as it is assessing the safety and efficacy of a treatment during late pregnancy to reduce prolonged labor.,The study is a Proof-of-concept study to evaluate if DF01 can prevent protracted labor.,Included
NCT03482440,Excluded,The study explicitly excludes currently pregnant women.,Exclusion Criteria: current pregnancy,Excluded
NCT01739218,Excluded,The study explicitly excludes pregnant or lactating females from participation.,Pregnant or lactating females,Excluded
NCT03565861,Excluded,The study explicitly requires participants of childbearing potential to use 2 forms of contraceptive methods for the duration of the study.,If of child bearing potential (both men and women) must agree to use 2 forms of contraceptive methods for the duration of study.,Excluded
NCT01009671,Unspecified,The study does not mention pregnant individuals in the inclusion or exclusion criteria. It focuses on patients with osteoarthritis of the knee aged 40 to 80 years.,Unspecified,Unspecified
NCT00469690,Excluded,"The study explicitly excludes female patients who are pregnant, nursing an infant, or planning a pregnancy.","Female patients who are pregnant, nursing an infant or planning a pregnancy",Excluded
NCT02010242,Unspecified,"The study does not mention pregnant individuals in the inclusion or exclusion criteria. There is no specific mention of pregnancy, lactating, contraceptives, or childbearing status.",Unspecified,Unspecified
NCT02914353,Excluded,The study explicitly excludes pregnant individuals as indicated by the requirement for a negative pregnancy test at screening or check-in.,Positive pregnancy test at screening or check-in (Day -1).,Excluded
NCT02234869,Unspecified,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,Unspecified
NCT05832502,Included,"The study explicitly includes pregnant women as participants, as indicated by the inclusion criteria which specify that participants must be pregnant at ≥ 27 0/7 to ≤35 6/7 gestation on the day of planned vaccination.","Pregnant at ≥ 27 0/7 to ≤35 6/7 gestation on the day of planned vaccination, verified by ultrasound scan (U/S).",Included
NCT03242018,Excluded,The study explicitly excludes women of childbearing potential who are not willing to use highly effective methods of birth control or who are unwilling or unable to be tested for pregnancy during the study.,"Women of childbearing potential (WOCBP) not willing to use highly effective method(s) of birth control during the study treatment period and the follow-up period, or who are unwilling or unable to be tested for pregnancy during the study.",Excluded
NCT05494528,Excluded,The study explicitly excludes pregnant subjects and requires female subjects or the spouse of male subjects with child-bearing potential to practice adequate contraception.,"Pregnant subjects. Female subjects or the spouse of male subjects, with child-bearing potential who are unwilling or unable to practice adequate contraception, defined as vasectomy in men, tubal ligation in women, or use of condoms and spermicides, or birth control pills, or intrauterine devices from 4 weeks prior to Day 1 until 90 days after the last dose of study drug.",Excluded
NCT03367377,Unspecified,"The study does not mention pregnant individuals in the inclusion or exclusion criteria. There is no specific mention of pregnancy, lactating, contraceptives, or childbearing status.",Unspecified,Unspecified
NCT06168461,Excluded,The study explicitly excludes currently pregnant individuals.,Exclusion criteria: currently pregnancy,Excluded
NCT02404870,Excluded,The study explicitly excludes pregnant individuals by requiring a negative urine pregnancy test and the use of effective contraceptive methods for the duration of the study.,Positive urine pregnancy test and/or planning to become pregnant during the course of the study. You are unwilling to use effective contraceptive methods for duration of study (hormonal or barrier).,Excluded
NCT02285920,Excluded,"The study explicitly excludes pregnant individuals, those anticipating pregnancy, and those who are breastfeeding.","Exclusion Criteria:~Pregnancy, anticipated pregnancy, or breastfeeding",Excluded
NCT01951625,Unspecified,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,Unspecified
NCT03545516,Included,"The study involves post Cesarean delivery, which inherently includes pregnant individuals as they are undergoing Cesarean sections.",All scheduled Cesarean deliveries with intrathecal or epidural anesthesia,Included
NCT01313624,Excluded,"The study explicitly excludes pregnant and breastfeeding individuals, as well as those unwilling to follow contraceptive measures.","Exclusion Criteria:~Pregnant, breastfeeding, or unwilling to follow contraceptive measures for the study",Excluded
NCT00393731,Included,The study explicitly includes pregnant women as it involves induction of labor in women with an unripe cervix.,Inclusion Criteria: Women that are hospitalized for induction of labor that have a Bishop's score <5,Included
NCT04909723,Excluded,The study explicitly excludes pregnant individuals by requiring women of child-bearing potential to not be pregnant and to use highly effective contraceptives.,"If woman of child-bearing potential, must not be pregnant, and must also agree to use an appropriate highly-effective contraceptive.",Excluded
NCT04152382,Unspecified,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. Therefore, the status of pregnant individuals in the trial is unspecified.",Unspecified,Unspecified
NCT00565279,Unspecified,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,Unspecified
NCT01934712,Unspecified,"The trial does not mention pregnant individuals in the inclusion or exclusion criteria. There is no specific mention of pregnancy, lactating, contraceptives, or childbearing status.",Unspecified,Unspecified
